"id"	"成熟期"	"科名"	"保存编号"	"品种名称"	"其他"	"原产地"	"柱头色"	"叶色"	"千粒重"	"类别"	"出苗期"	"样品类型"	"省"	"粒色"	"有效分蘖数"	"保存单位"	"库编号"	"花药色"	"播种期"	"学名"	"统一编号"	"译名"	"属名"	"粒形"	"株高"	"叶鞘色"
"76"	"4.10"	"Gramineae(禾本科)"	"5005"	"薏仁米"	"--"	"贵州"	"黄"	"绿"	"107.90"	"栽培"	"5.09"	"地方"	"贵州"	"黑"	"1.5"	"贵州省农科院旱粮所"	"I7C00806"	"黄"	"4.29"	"--"	"ZI000219"	"YI REN MI"	"Coix(薏苡属)"	"卵圆球"	"200.00"	"绿"
"77"	"4.10"	"Gramineae(禾本科)"	"5006"	"薏仁米"	"--"	"贵州"	"黄"	"绿"	"102.50"	"栽培"	"5.08"	"地方"	"贵州"	"白黄"	"2.5"	"贵州省农科院旱粮所"	"I7C00807"	"黄"	"4.29"	"--"	"ZI000220"	"YI REN MI"	"Coix(薏苡属)"	"卵圆球"	"220.00"	"紫红"
"78"	"4.10"	"Gramineae(禾本科)"	"5007"	"薏仁米"	"--"	"贵州"	"黄"	"绿"	"107.50"	"栽培"	"5.09"	"地方"	"贵州"	"黑"	"2.5"	"贵州省农科院旱粮所"	"I7C00808"	"黄"	"4.29"	"--"	"ZI000221"	"YI REN MI"	"Coix(薏苡属)"	"卵圆球"	"185.00"	"绿"
"79"	"9.18"	"Gramineae(禾本科)"	"I012"	"草珠子"	"--"	"阿旗"	"白"	"绿"	"318.50"	"野生"	"5.17"	"野生"	"内蒙"	"灰"	"4.0"	"内蒙古赤峰市农科所"	"I7C01316"	"黄"	"5.06"	"Coix lacryma-jobi var. frumentacea Mak.(薏苡)"	"ZI000222"	"CAO ZHU ZI"	"Coix(薏苡属)"	"圆球"	"105.00"	"绿"
"80"	"9.18"	"Gramineae(禾本科)"	"I013"	"草珠子"	"--"	"左旗"	"白"	"绿"	"315.20"	"野生"	"5.17"	"野生"	"内蒙"	"灰"	"4.0"	"内蒙古赤峰市农科所"	"I7C01317"	"黄"	"5.06"	"Coix lacryma-jobi var. frumentacea Mak.(薏苡)"	"ZI000223"	"CAO ZHU ZI"	"Coix(薏苡属)"	"圆球"	"98.00"	"绿"
"81"	"9.18"	"Gramineae(禾本科)"	"I014"	"草珠子"	"--"	"右旗"	"白"	"绿"	"314.50"	"野生"	"5.17"	"野生"	"内蒙"	"灰"	"4.5"	"内蒙古赤峰市农科所"	"I7C01318"	"黄"	"5.06"	"Coix lacryma-jobi var. frumentacea Mak.(薏苡)"	"ZI000224"	"CAO ZHU ZI"	"Coix(薏苡属)"	"圆球"	"103.00"	"绿"
"82"	"9.20"	"Gramineae(禾本科)"	"I015"	"草珠子"	"--"	"林西"	"白"	"绿"	"318.40"	"野生"	"5.21"	"野生"	"内蒙"	"灰"	"3.5"	"内蒙古赤峰市农科所"	"I7C01319"	"黄"	"5.10"	"Coix lacryma-jobi var. frumentacea Mak.(薏苡)"	"ZI000225"	"CAO ZHU ZI"	"Coix(薏苡属)"	"圆球"	"85.00"	"绿"
"83"	"9.20"	"Gramineae(禾本科)"	"I016"	"草珠子"	"--"	"克旗"	"白"	"绿"	"312.50"	"野生"	"5.21"	"野生"	"内蒙"	"灰"	"3.5"	"内蒙古赤峰市农科所"	"I7C01320"	"黄"	"5.10"	"Coix lacryma-jobi var. frumentacea Mak.(薏苡)"	"ZI000226"	"CAO ZHU ZI"	"Coix(薏苡属)"	"圆球"	"87.00"	"绿"
"84"	"9.15"	"Gramineae(禾本科)"	"I017"	"草珍珠"	"--"	"奈曼"	"白"	"绿"	"316.60"	"野生"	"5.14"	"野生"	"内蒙"	"灰"	"4.0"	"内蒙古赤峰市农科所"	"I7C01321"	"黄"	"5.03"	"Coix lacryma-jobi var. frumentacea Mak.(薏苡)"	"ZI000227"	"CAO ZHEN ZHU"	"Coix(薏苡属)"	"圆球"	"92.00"	"绿"
"85"	"11.04"	"Gramineae(禾本科)"	"GY129"	"川谷"	"--"	"凤山"	"紫"	"绿"	"122.60"	"栽培"	"6.17"	"地方"	"山西"	"白"	"3.4"	"广西农科院品资所"	"I7C01367"	"黄"	"6.08"	"--"	"ZI000275"	"CHUAN GU"	"Coix(薏苡属)"	"圆球"	"192.60"	"紫"
"86"	"11.18"	"Gramineae(禾本科)"	"GY130"	"野陆谷"	"--"	"凤山"	"紫"	"浓绿"	"80.70"	"野生"	"6.20"	"野生"	"山西"	"灰黑"	"9.4"	"广西农科院品资所"	"I7C01368"	"浅紫"	"6.08"	"--"	"ZI000276"	"YE LU GU"	"Coix(薏苡属)"	"卵圆球"	"142.40"	"紫"
"87"	"11.08"	"Gramineae(禾本科)"	"GY131"	"薏米"	"--"	"凤山"	"紫"	"绿"	"122.80"	"栽培"	"6.20"	"地方"	"山西"	"黑"	"4.0"	"广西农科院品资所"	"I7C01369"	"黄"	"6.08"	"--"	"ZI000277"	"YI MI"	"Coix(薏苡属)"	"卵圆球"	"241.80"	"紫"
"88"	"11.11"	"Gramineae(禾本科)"	"GY132"	"陆谷"	"--"	"凤山"	"紫"	"绿"	"113.10"	"栽培"	"6.17"	"地方"	"山西"	"黑"	"3.2"	"广西农科院品资所"	"I7C01370"	"黄"	"6.08"	"--"	"ZI000278"	"LU GU"	"Coix(薏苡属)"	"圆球"	"214.40"	"紫"
"89"	"11.18"	"Gramineae(禾本科)"	"GY133"	"野苡米"	"--"	"东兰"	"紫"	"浓绿"	"86.80"	"野生"	"6.21"	"野生"	"山西"	"灰黑"	"11.6"	"广西农科院品资所"	"I7C01371"	"黄"	"6.08"	"--"	"ZI000279"	"YE YI MI"	"Coix(薏苡属)"	"卵圆球"	"170.20"	"紫"
"90"	"11.11"	"Gramineae(禾本科)"	"GY134"	"89-12选"	"--"	"选育"	"紫"	"绿"	"152.80"	"栽培"	"6.17"	"地方"	"山西"	"黑灰"	"2.6"	"广西农科院品资所"	"I7C01372"	"黄"	"6.08"	"--"	"ZI000280"	"89-12 XUAN"	"Coix(薏苡属)"	"圆球"	"247.80"	"紫"
"91"	"11.08"	"Gramineae(禾本科)"	"GY135"	"野苡米"	"--"	"天峨"	"白"	"绿"	"102.20"	"野生"	"6.17"	"野生"	"山西"	"灰白"	"8.0"	"广西农科院品资所"	"I7C01373"	"黄"	"6.08"	"--"	"ZI000281"	"YE YI MI"	"Coix(薏苡属)"	"长圆球"	"166.00"	"绿"
"92"	"11.08"	"Gramineae(禾本科)"	"GY136"	"野苡米"	"--"	"天峨"	"紫"	"绿"	"102.00"	"野生"	"6.17"	"野生"	"山西"	"灰白"	"7.6"	"广西农科院品资所"	"I7C01374"	"黄"	"6.08"	"--"	"ZI000282"	"YE YI MI"	"Coix(薏苡属)"	"长圆球"	"167.00"	"绿"
"93"	"11.04"	"Gramineae(禾本科)"	"GY137"	"薏米"	"--"	"凤山"	"紫"	"黄绿"	"116.80"	"栽培"	"6.17"	"地方"	"山西"	"白"	"3.4"	"广西农科院品资所"	"I7C01375"	"浅紫"	"6.08"	"--"	"ZI000283"	"YI MI"	"Coix(薏苡属)"	"圆球"	"213.40"	"紫"
"94"	"11.04"	"Gramineae(禾本科)"	"GY138"	"薏米"	"--"	"凤山"	"紫"	"绿"	"115.20"	"栽培"	"6.16"	"地方"	"山西"	"白"	"4.0"	"广西农科院品资所"	"I7C01376"	"黄"	"6.08"	"--"	"ZI000284"	"YI MI"	"Coix(薏苡属)"	"圆球"	"191.60"	"紫"
