"id"	"科名"	"可溶固形物"	"品种名称"	"原产地"	"省"	"外观评价"	"果仁甜苦"	"内质评价"	"总糖％"	"维生素C"	"风味"	"特异及用途"	"单果重评价"	"肉色"	"果实成熟期"	"肉质"	"单果重G"	"成熟期评价"	"总酸％"	"色泽"	"学名"	"统一编号"	"译名"	"果形"	"属名"	"核粘离性"	"果仁大小G"	"发育期D"
"29"	"Rosaceae(蔷薇科)"	"11.3"	"熊岳梅杏"	"辽宁熊岳"	"辽宁"	"较差"	"甜"	"中"	"8.5"	"10.2"	"甜酸"	"--"	"很小"	"橙黄"	"7.11"	"松软"	"27.3"	"中"	"1.4"	"紫红"	"Prunus sibirica var. pleniflor(辽梅杏)"	"XC0029"	"XIONG YUE MEI XING"	"圆"	"Prunus(李属)"	"离"	"0.60"	"77"
"30"	"Rosaceae(蔷薇科)"	"11.9"	"中白杏"	"黑龙江"	"黑龙"	"较差"	"苦"	"中"	"9.6"	"12.0"	"酸甜"	"多糖"	"很小"	"黄"	"7.17"	"松软"	"23.8"	"晚"	"1.7"	"红"	"Prunus armeniaca L.(杏)"	"XC0030"	"ZHONG BAI XING"	"卵圆"	"Prunus(李属)"	"离"	"0.56"	"85"
"31"	"Rosaceae(蔷薇科)"	"12.6"	"昌黎水白杏"	"河北昌黎"	"河北"	"较好"	"苦"	"中上"	"6.8"	"6.4"	"甜酸"	"--"	"中"	"浅黄"	"7.05"	"硬脆"	"50.6"	"中"	"1.1"	"紫红"	"Prunus armeniaca L.(杏)"	"XC0031"	"CHANG LI SHUI BAI XING"	"扁圆"	"Prunus(李属)"	"粘"	"0.50"	"72"
"32"	"Rosaceae(蔷薇科)"	"12.3"	"香白杏"	"辽宁熊岳"	"辽宁"	"较差"	"甜"	"中上"	"7.9"	"3.7"	"酸甜"	"--"	"小"	"白绿"	"7.09"	"松软"	"32.4"	"中"	"1.7"	"紫红"	"Prunus armeniaca L.(杏)"	"XC0032"	"XIANG BAI XING"	"圆"	"Prunus(李属)"	"粘"	"0.55"	"76"
"33"	"Rosaceae(蔷薇科)"	"12.6"	"建平香白"	"河北"	"河北"	"中"	"甜"	"中"	"7.6"	"6.4"	"酸"	"--"	"较小"	"白绿"	"7.17"	"松软"	"41.8"	"晚"	"1.3"	"紫红"	"Prunus armeniaca L.(杏)"	"XC0033"	"JIAN PING XIANG BAI"	"圆"	"Prunus(李属)"	"半离"	"0.70"	"84"
"34"	"Rosaceae(蔷薇科)"	"11.2"	"临潼红杏"	"陕西临潼"	"陕西"	"中"	"甜"	"中上"	"6.7"	"8.8"	"酸甜"	"--"	"小"	"黄"	"7.04"	"硬脆"	"39.8"	"中"	"1.8"	"红"	"Prunus armeniaca L.(杏)"	"XC0034"	"LIN TONG HONG XING"	"圆"	"Prunus(李属)"	"离"	"0.65"	"71"
"35"	"Rosaceae(蔷薇科)"	"13.7"	"房山大红杏"	"河北延庆"	"河北"	"较好"	"甜"	"上"	"7.1"	"5.6"	"甜酸"	"质优"	"中"	"橙黄"	"7.02"	"硬脆"	"52.0"	"中"	"1.5"	"紫红"	"Prunus armeniaca L.(杏)"	"XC0035"	"FANG SHAN DA HONG XING"	"圆"	"Prunus(李属)"	"粘"	"0.70"	"68"
"36"	"Rosaceae(蔷薇科)"	"9.6"	"驼骆黄"	"北京"	"北京"	"中"	"甜"	"中"	"7.1"	"5.4"	"甜酸"	"极早熟"	"中"	"橙黄"	"6.18"	"松软"	"49.5"	"极早"	"1.9"	"紫红"	"Prunus armeniaca L.(杏)"	"XC0036"	"TUO LUO HUANG"	"圆"	"Prunus(李属)"	"粘"	"0.40"	"55"
"37"	"Rosaceae(蔷薇科)"	"10.7"	"密坨罗"	"北京"	"北京"	"好"	"甜"	"中"	"7.0"	"7.7"	"酸甜"	"大果"	"大"	"浅黄"	"7.13"	"松软"	"68.1"	"中"	"1.2"	"红"	"Prunus armeniaca L.(杏)"	"XC0037"	"MI TUO LUO"	"圆"	"Prunus(李属)"	"离"	"0.63"	"80"
"38"	"Rosaceae(蔷薇科)"	"11.8"	"法三"	"法国"	"国外"	"较差"	"苦"	"中"	"6.9"	"8.7"	"甜酸"	"--"	"小"	"浅黄"	"7.13"	"松软"	"35.0"	"中"	"1.7"	"红"	"Prunus armeniaca L.(杏)"	"XC0038"	"FA SAN"	"圆"	"Prunus(李属)"	"离"	"0.64"	"79"
"39"	"Rosaceae(蔷薇科)"	"10.9"	"海东杏"	"陕西长安"	"陕西"	"中"	"甜"	"中上"	"6.4"	"7.2"	"甜酸"	"--"	"较大"	"橙黄"	"7.13"	"松软"	"56.5"	"中"	"0.9"	"黄"	"Prunus armeniaca L.(杏)"	"XC0039"	"HAI DONG XING"	"扁圆"	"Prunus(李属)"	"离"	"0.55"	"80"
"40"	"Rosaceae(蔷薇科)"	"14.5"	"库车1号"	"新疆"	"新疆"	"差"	"甜"	"中"	"8.2"	"10.6"	"酸甜"	"--"	"极小"	"橙黄"	"6.29"	"松软"	"14.3"	"早"	"1.4"	"淡黄"	"Prunus armeniaca L.(杏)"	"XC0040"	"KU CHE 1 HAO"	"椭圆"	"Prunus(李属)"	"离"	"0.33"	"67"
"41"	"Rosaceae(蔷薇科)"	"13.9"	"库车2号"	"新疆"	"新疆"	"差"	"甜"	"中"	"6.1"	"8.5"	"甜"	"--"	"很小"	"黄"	"7.13"	"硬韧"	"25.1"	"晚"	"1.8"	"红"	"Prunus armeniaca L.(杏)"	"XC0041"	"KU CHE 2 HAO"	"卵圆"	"Prunus(李属)"	"离"	"0.38"	"82"
"42"	"Rosaceae(蔷薇科)"	"10.4"	"库车3号"	"新疆"	"新疆"	"差"	"甜"	"中"	"5.2"	"8.0"	"甜"	"--"	"很小"	"黄"	"7.10"	"硬脆"	"20.6"	"中"	"1.1"	"橙黄"	"Prunus armeniaca L.(杏)"	"XC0042"	"KU CHE 3 HAO"	"扁圆"	"Prunus(李属)"	"离"	"0.42"	"78"
"43"	"Rosaceae(蔷薇科)"	"11.2"	"小拳杏"	"辽宁旅顺"	"辽宁"	"中"	"甜"	"中"	"4.4"	"2.8"	"甜酸"	"多酸"	"中"	"黄"	"7.03"	"松软"	"48.2"	"中"	"2.3"	"红"	"Prunus armeniaca L.(杏)"	"XC0043"	"XIAO QUAN XING"	"扁圆"	"Prunus(李属)"	"半离"	"0.60"	"71"
"44"	"Rosaceae(蔷薇科)"	"11.4"	"大拳杏"	"辽宁旅顺"	"辽宁"	"中"	"甜"	"中"	"6.1"	"9.5"	"甜酸"	"多酸"	"中"	"黄"	"7.03"	"松软"	"49.9"	"中"	"2.1"	"红"	"Prunus armeniaca L.(杏)"	"XC0044"	"DA QUAN XING"	"扁圆"	"Prunus(李属)"	"半离"	"0.50"	"71"
"45"	"Rosaceae(蔷薇科)"	"11.0"	"金钢拳"	"华北"	"北京"	"中"	"甜"	"中上"	"6.8"	"6.3"	"甜酸"	"--"	"较小"	"橙红"	"7.07"	"硬"	"40.9"	"中"	"1.7"	"紫红"	"Prunus armeniaca L.(杏)"	"XC0045"	"JIN GANG QUAN"	"卵圆"	"Prunus(李属)"	"离"	"0.55"	"74"
"46"	"Rosaceae(蔷薇科)"	"11.3"	"软条京杏"	"山西太谷"	"山西"	"中"	"甜"	"中下"	"8.2"	"16.3"	"酸涩"	"--"	"较小"	"橙黄"	"7.07"	"硬脆"	"44.1"	"中"	"1.3"	"紫红"	"Prunus armeniaca L.(杏)"	"XC0046"	"RUAN TIAO JING XING"	"卵圆"	"Prunus(李属)"	"粘"	"0.53"	"74"
