"id"	"备注"	"老荚日数"	"单荚重"	"品种名称"	"株型"	"保存编号"	"译名"	"青荚日数"	"荚形"	"荚壁纤维"	"种子来源"	"荚厚"	"翼瓣次色"	"种子形状"	"种子皮色"	"嫩荚色"	"株高"	"种子大小"	"保存单位"	"亩产"	"翼瓣色"	"种质库编号"	"统一编号"	"栽培季节"	"熟性"	"种皮次色"	"抗逆性"	"抗病虫性"	"荚宽"	"品质"	"嫩荚次色"	"荚长"
"35"	"*"	"80"	"24.0"	"金山豆角107"	"蔓生"	"G42-117"	"JIN SHAN DOU JIAO 107"	"60"	"细长条"	"中"	"广东东莞市"	"0.8"	"--"	"肾形"	"棕"	"绿"	"--"	"中"	"广东农科院经作所"	"1850"	"浅紫"	"Ⅱ7E0259"	"V07E0095"	"3-7播"	"--"	"白"	"中"	"中"	"0.8"	"好"	"--"	"56.0"
"36"	"*"	"85"	"17.0"	"高脚白豆角"	"蔓生"	"G42-72"	"GAO JIAO BAI DOU JIAO"	"65"	"细长条"	"--"	"广东东莞市"	"0.7"	"--"	"肾形"	"棕"	"浅绿"	"--"	"中"	"广东农科院经作所"	"1650"	"浅紫"	"Ⅱ7E0094"	"V07E0096"	"2-8播"	"--"	"白"	"强"	"强"	"0.7"	"好"	"--"	"44.0"
"37"	"*"	"85"	"13.0"	"东莞豆角"	"蔓生"	"G42-73"	"DONG GUAN DOU JIAO"	"65"	"棍形"	"中"	"广东东莞市"	"0.8"	"--"	"肾形"	"棕"	"浅绿"	"--"	"中"	"广东农科院经作所"	"1600"	"浅紫"	"Ⅱ7E0095"	"V07E0097"	"2-8播"	"--"	"白"	"强"	"强"	"0.8"	"好"	"--"	"32.0"
"38"	"*"	"--"	"21.0"	"金山豆角74"	"蔓生"	"G42-118"	"JIN SHAN DOU JIAO 74"	"65"	"细长条"	"中"	"广东东莞市"	"0.7"	"--"	"肾形"	"棕"	"浅绿"	"--"	"中"	"广东农科院经作所"	"1850"	"浅紫"	"Ⅱ7E0120"	"V07E0098"	"2-6播"	"--"	"白"	"中"	"中"	"0.7"	"好"	"--"	"60.0"
"39"	"*"	"80"	"29.0"	"细藤金山豆"	"蔓生"	"G42-121"	"XI TENG JIN SHAN DOU"	"60"	"细长条"	"中"	"广东东莞市"	"0.7"	"--"	"肾形"	"棕"	"浅绿"	"--"	"中"	"广东农科院经作所"	"1850"	"浅紫"	"Ⅱ7E0303"	"V07E0099"	"3-6播"	"--"	"--"	"中"	"中"	"0.8"	"好"	"--"	"69.0"
"40"	"--"	"72"	"24.0"	"东莞白豆角"	"蔓生"	"G42-136"	"DONG GUAN BAI DOU JIAO"	"65"	"细长条"	"多"	"广东东莞市"	"0.9"	"--"	"肾形"	"棕"	"--"	"--"	"中"	"广东农科院经作所"	"1500"	"浅紫"	"Ⅱ7E0263"	"V07E0100"	"3-8"	"--"	"白"	"强"	"强"	"0.9"	"好"	"--"	"50.0"
"41"	"--"	"54"	"21.0"	"青皮豆角"	"蔓生"	"G42-204"	"QING PI DOU JIAO"	"46"	"细长条"	"中"	"广东东莞市"	"0.6"	"--"	"肾形"	"红"	"绿"	"--"	"中"	"广东农科院经作所"	"1400"	"浅紫"	"Ⅱ7E0593"	"V07E0101"	"4-9"	"--"	"--"	"中"	"中"	"0.6"	"好"	"--"	"55.5"
"42"	"--"	"55"	"27.0"	"长条白皮豆角"	"蔓生"	"G42-201"	"CHANG TIAO BAI PI DOU JIAO"	"50"	"细长条"	"中"	"广东东莞市"	"0.6"	"--"	"肾形"	"白"	"--"	"--"	"中"	"广东农科院经作所"	"3000"	"浅紫"	"Ⅱ7E0799"	"V07E0102"	"3-9"	"--"	"棕"	"强"	"强"	"0.6"	"好"	"--"	"37.0"
"43"	"*"	"80"	"23.0"	"中藤金山豆"	"蔓生"	"G42-120"	"ZHONG TENG JIN SHAN DOU"	"60"	"细长条"	"中"	"广东东莞市"	"0.6"	"--"	"肾形"	"棕"	"浅绿"	"--"	"中"	"广东农科院经作所"	"1850"	"浅紫"	"Ⅱ7E0514"	"V07E0103"	"2-6播"	"--"	"白"	"中"	"中"	"0.6"	"好"	"--"	"60.0"
"44"	"*"	"75"	"24.0"	"中花十号"	"蔓生"	"G42-86"	"ZHONG HUA SHI HAO"	"55"	"细长条"	"中"	"广东广州市"	"0.7"	"--"	"肾形"	"褐"	"绿"	"--"	"中"	"广东农科院经作所"	"1800"	"浅紫"	"Ⅱ7E0102"	"V07E0147"	"2-6播"	"--"	"--"	"弱"	"中"	"0.7"	"好"	"--"	"52.0"
"45"	"--"	"49"	"17.5"	"青豇一号"	"蔓生"	"G42-228"	"QING JIANG YI HAO"	"43"	"细长条"	"中"	"广东广州市农科所"	"0.7"	"--"	"肾形"	"浅红"	"绿"	"--"	"中"	"广东农科院经作所"	"1000"	"浅紫"	"Ⅱ7E0843"	"V07E0155"	"3-8"	"--"	"--"	"中"	"中"	"0.7"	"好"	"--"	"48.5"
