"id"	"耐旱性"	"科名"	"保存编号"	"库编号"	"锈脚"	"原产地"	"鲜皮厚度"	"叶色"	"雌蕾色"	"根型"	"花叶病"	"麻骨色"	"原麻产量"	"叶形"	"备注"	"分株力"	"雌蕾现蕾期"	"蔸型"	"译名"	"单纤维强力"	"生长整齐度"	"品种名称"	"生长均匀度"	"抗风性"	"工艺成熟天"	"叶面皱纹"	"省"	"学名"	"统一编号"	"雌花开花期"	"保存单位"	"单纤支数"	"属名"	"鲜皮出麻率"	"种子来源"	"株高"	"有效株率"	"茎粗"	"单位编号"	"米色"	"抽穗日数"	"北纬"	"粒色"	"高程"	"单株秆重"	"粗蛋白"	"东经"	"主茎节数"	"刺毛长度"	"单株粒重"	"蚕豆"	"脂肪酸160"
"235"	"弱"	"Urticaceae(荨麻科)"	"86"	"830"	"短"	"湖北南漳县"	"0.72"	"深绿"	"淡红"	"浅"	"MS"	"绿白"	"60.0"	"椭圆"	"--"	"强"	"8月下旬"	"串生"	"luoyuzhuma"	"52.3"	"较整齐"	"洛浴苎麻"	"较均匀"	"弱"	"165"	"多"	"湖北"	"Boehmeria nivea (L.) Gaud(苎麻)"	"ZZM00627"	"9月中旬"	"湖北农科院经作所"	"1311"	"Boehmeria(苎麻属)"	"12.0"	"湖北南漳县"	"145.0"	"70.0"	"0.76"														
"236"	"中"	"Urticaceae(荨麻科)"	"87"	"--"	"短"	"湖北安陆县"	"0.70"	"深绿"	"微红"	"中"	"R"	"绿白"	"120.0"	"椭圆"	"--"	"强"	"9月上旬"	"散生"	"anluxiyelu"	"52.2"	"较整齐"	"安陆细叶绿"	"较均匀"	"强"	"170"	"少"	"湖北"	"Boehmeria nivea (L.) Gaud(苎麻)"	"ZZM00628"	"9月下旬"	"湖北农科院经作所"	"1536"	"Boehmeria(苎麻属)"	"11.0"	"湖北安陆县"	"150.0"	"76.0"	"0.83"														
"237"	"中"	"Urticaceae(荨麻科)"	"88"	"--"	"短"	"湖北安陆县"	"0.80"	"黄绿"	"淡红"	"中"	"R"	"黄白"	"120.0"	"椭圆"	"--"	"中"	"9月上旬"	"散生"	"anluhuangyema"	"45.1"	"较整齐"	"安陆黄叶麻"	"较均匀"	"强"	"180"	"多"	"湖北"	"Boehmeria nivea (L.) Gaud(苎麻)"	"ZZM00629"	"9月下旬"	"湖北农科院经作所"	"1724"	"Boehmeria(苎麻属)"	"10.8"	"湖北安陆县"	"150.0"	"78.0"	"0.87"														
"238"	"强"	"Urticaceae(荨麻科)"	"004"	"549"	"长"	"蜀达县"	"0.74"	"黄绿"	"黄白"	"深"	"S"	"绿白"	"100.0"	"卵圆"	"--"	"弱"	"9月下旬"	"丛生"	"daxianbaima"	"64.4"	"整齐"	"达县白麻"	"均匀"	"强"	"195"	"少"	"四川"	"Boehmeria nivea (L.) Gaud(苎麻)"	"ZZM00630"	"10月上旬"	"川达县地区农科所"	"1000"	"Boehmeria(苎麻属)"	"12.0"	"蜀达县"	"150.0"	"74.0"	"1.00"														
"239"	"强"	"Urticaceae(荨麻科)"	"005"	"933"	"短"	"蜀达县"	"0.67"	"绿"	"黄绿"	"深"	"MS"	"绿白"	"100.0"	"卵圆"	"--"	"弱"	"9月下旬"	"丛生"	"wuma"	"53.6"	"较整齐"	"乌麻"	"较均匀"	"强"	"198"	"少"	"四川"	"Boehmeria nivea (L.) Gaud(苎麻)"	"ZZM00631"	"9月上旬"	"川达县地区农科所"	"1574"	"Boehmeria(苎麻属)"	"12.0"	"蜀达县"	"158.0"	"70.2"	"1.00"														
"240"	"中"	"Urticaceae(荨麻科)"	"006"	"934"	"长"	"蜀达县"	"0.40"	"绿"	"淡红"	"浅"	"MS"	"绿白"	"75.0"	"宽卵"	"--"	"强"	"9月上旬"	"串生"	"huangma"	"38.1"	"较整齐"	"黄麻"	"不均匀"	"中"	"183"	"少"	"四川"	"Boehmeria nivea (L.) Gaud(苎麻)"	"ZZM00632"	"9月中旬"	"川达县地区农科所"	"1874"	"Boehmeria(苎麻属)"	"10.7"	"蜀达县"	"130.0"	"61.0"	"0.80"														
"241"	"强"	"Urticaceae(荨麻科)"	"007"	"854"	"长"	"蜀达县"	"0.52"	"黄绿"	"淡红"	"深"	"MS"	"绿白"	"75.0"	"卵圆"	"--"	"弱"	"9月上旬"	"丛生"	"dahuangma"	"66.8"	"较整齐"	"大黄麻"	"不均匀"	"弱"	"182"	"少"	"四川"	"Boehmeria nivea (L.) Gaud(苎麻)"	"ZZM00633"	"9月中旬"	"川达县地区农科所"	"1417"	"Boehmeria(苎麻属)"	"10.5"	"蜀达县"	"150.0"	"61.7"	"0.84"														
"242"	"强"	"Urticaceae(荨麻科)"	"008"	"936"	"短"	"蜀达县"	"0.63"	"黄绿"	"黄白"	"深"	"MS"	"绿白"	"100.0"	"宽卵"	"--"	"中"	"9月中旬"	"丛生"	"wumingma"	"54.5"	"较整齐"	"无名麻"	"较均匀"	"强"	"188"	"少"	"四川"	"Boehmeria nivea (L.) Gaud(苎麻)"	"ZZM00634"	"9月下旬"	"川达县地区农科所"	"1154"	"Boehmeria(苎麻属)"	"10.0"	"蜀达县"	"150.0"	"62.5"	"0.95"														
"243"	"强"	"Urticaceae(荨麻科)"	"009"	"937"	"无"	"蜀达县"	"0.65"	"深绿"	"黄白"	"中"	"S"	"微红"	"100.0"	"尖椭"	"--"	"弱"	"9月下旬"	"散生"	"daxianjiama"	"50.3"	"整齐"	"达县家麻"	"均匀"	"强"	"182"	"多"	"四川"	"Boehmeria nivea (L.) Gaud(苎麻)"	"ZZM00635"	"10月上旬"	"川达县地区农科所"	"1693"	"Boehmeria(苎麻属)"	"12.8"	"蜀达县"	"140.0"	"72.6"	"0.90"														
"244"	"弱"	"Urticaceae(荨麻科)"	"045"	"968"	"短"	"蜀巴中"	"0.60"	"深绿"	"淡红"	"浅"	"S"	"绿白"	"55.0"	"宽卵"	"--"	"强"	"9月上旬"	"串生"	"bazhongbaima1hao"	"55.4"	"不整齐"	"巴中白麻1号"	"不均匀"	"强"	"187"	"多"	"四川"	"Boehmeria nivea (L.) Gaud(苎麻)"	"ZZM00652"	"9月中旬"	"川达县地区农科所"	"1681"	"Boehmeria(苎麻属)"	"7.5"	"蜀巴中"	"136.0"	"56.7"	"0.70"														
