"id"	"备注"	"蚜害病评价"	"异亮氨酸"	"酩氨酸"	"样品类型"	"花色"	"单荚粒数"	"全生育日数"	"粒型"	"赤斑病评价"	"支链淀粉"	"赤斑病级"	"丙氨酸"	"锈病指数"	"译名"	"粒色"	"色氨酸"	"有效枝"	"属名"	"粗脂肪"	"省"	"丝氨酸"	"赖氨酸"	"甘氨酸"	"天冬氨酸"	"蚜害病指数"	"亮氨酸"	"熟性"	"褐斑病评价"	"谷氨酸"	"荚宽"	"粗蛋白"	"百粒重"	"粒形"	"成熟期"	"精氨酸"	"直链淀粉"	"库编号"	"品种名称"	"均匀度"	"苏氨酸"	"蛋氨酸"	"保存编号"	"学名"	"褐斑病级"	"播种期"	"种子来源"	"锈病病级"	"原产地"	"抗涝性"	"脯氨酸"	"株高"	"组氨酸"	"单株荚数"	"保存单位"	"芽期耐盐"	"缬氨酸"	"统一编号"	"蚜害病级"	"锈病评价"	"单株产量"	"褐斑病指数"	"苯丙氨酸"	"胱氨酸"	"总淀粉"	"荚长"	"赤斑病指数"	"总和"	"科名"	"苗期耐盐"	"穗形"	"酪氨酸"	"穗柄长"	"蛋白质"	"赖氨占蛋白"	"脂肪"	"锤度"	"分枝数"	"来源地"	"结荚习性"	"分蘖性"	"荚色"	"引入时间"	"生长习性"	"丝黑穗病率"	"灌浆抗寒性"	"高程"	"水份"	"颖壳包皮度"	"幼苗色"	"壳色"	"苗期抗寒性"
"1826"	"--"	"HS"	"--"	"--"	"国外"	"白"	"29.7"	"101"	"中"	"--"	"--"	"--"	"--"	"--"	"YIN 85-544"	"浅绿"	"--"	"3.0"	"Vicia(巢菜属)"	"--"	"国外"	"--"	"--"	"--"	"--"	"--"	"--"	"中"	"--"	"--"	"1.5"	"--"	"90.0"	"中厚"	"7.17"	"--"	"--"	"I2M02844"	"引85-544"	"均匀"	"--"	"--"	"544"	"Vicia faba L.(蚕豆)"	"--"	"4.07"	"--"	"--"	"ICARDA"	"--"	"--"	"62.6"	"--"	"11.3"	"河北省张家口农专"	"--"	"--"	"H0003487"	"9"	"--"	"26.5"	"--"	"--"	"--"	"--"	"6.2"	"--"	"--"	"Leguminosae(豆科)"	"--"																						
"1827"	"--"	"HS"	"--"	"--"	"国外"	"白"	"30.7"	"101"	"中"	"--"	"--"	"--"	"--"	"--"	"YIN 85-545"	"浅绿"	"--"	"3.1"	"Vicia(巢菜属)"	"--"	"国外"	"--"	"--"	"--"	"--"	"--"	"--"	"中"	"--"	"--"	"1.4"	"--"	"77.1"	"中厚"	"7.17"	"--"	"--"	"I2M02845"	"引85-545"	"均匀"	"--"	"--"	"545"	"Vicia faba L.(蚕豆)"	"--"	"4.07"	"--"	"--"	"ICARDA"	"--"	"--"	"66.8"	"--"	"10.3"	"河北省张家口农专"	"--"	"--"	"H0003488"	"9"	"--"	"24.1"	"--"	"--"	"--"	"--"	"6.6"	"--"	"--"	"Leguminosae(豆科)"	"--"																						
"1828"	"--"	"HS"	"--"	"--"	"国外"	"白"	"30.3"	"103"	"中"	"--"	"--"	"--"	"--"	"51.5"	"YIN 85-546"	"浅绿"	"--"	"3.6"	"Vicia(巢菜属)"	"--"	"国外"	"--"	"--"	"--"	"--"	"--"	"--"	"中"	"MS"	"--"	"1.5"	"--"	"94.0"	"中厚"	"7.19"	"--"	"--"	"I2M02846"	"引85-546"	"均匀"	"--"	"--"	"546"	"Vicia faba L.(蚕豆)"	"3-5"	"4.07"	"--"	"--"	"ICARDA"	"--"	"--"	"69.8"	"--"	"13.4"	"河北省张家口农专"	"--"	"--"	"H0003489"	"9"	"--"	"27.9"	"51.5"	"--"	"--"	"--"	"5.7"	"--"	"--"	"Leguminosae(豆科)"	"--"																						
"1829"	"--"	"HS"	"--"	"--"	"国外"	"白"	"24.2"	"103"	"中"	"--"	"--"	"--"	"--"	"--"	"YIN 85-547"	"浅绿"	"--"	"3.1"	"Vicia(巢菜属)"	"--"	"国外"	"--"	"--"	"--"	"--"	"--"	"--"	"中"	"--"	"--"	"1.5"	"--"	"77.8"	"中厚"	"7.19"	"--"	"--"	"I2M02847"	"引85-547"	"均匀"	"--"	"--"	"547"	"Vicia faba L.(蚕豆)"	"--"	"4.07"	"--"	"--"	"ICARDA"	"--"	"--"	"70.0"	"--"	"10.4"	"河北省张家口农专"	"--"	"--"	"H0003490"	"9"	"--"	"20.2"	"--"	"--"	"--"	"--"	"6.1"	"--"	"--"	"Leguminosae(豆科)"	"--"																						
"1830"	"--"	"HS"	"--"	"--"	"国外"	"白"	"27.1"	"103"	"中"	"--"	"--"	"--"	"--"	"53.1"	"YIN 85-548"	"浅绿"	"--"	"2.7"	"Vicia(巢菜属)"	"--"	"国外"	"--"	"--"	"--"	"--"	"--"	"--"	"中"	"MS"	"--"	"1.5"	"--"	"100.9"	"中厚"	"7.19"	"--"	"--"	"I2M02848"	"引85-548"	"均匀"	"--"	"--"	"548"	"Vicia faba L.(蚕豆)"	"3-5"	"4.07"	"--"	"--"	"ICARDA"	"--"	"--"	"77.0"	"--"	"10.8"	"河北省张家口农专"	"--"	"--"	"H0003491"	"9"	"--"	"26.9"	"53.1"	"--"	"--"	"--"	"6.5"	"--"	"--"	"Leguminosae(豆科)"	"--"																						
"1831"	"--"	"--"	"--"	"--"	"国外"	"白"	"18.1"	"103"	"中"	"--"	"--"	"--"	"--"	"--"	"YIN 85-549"	"浅绿"	"--"	"2.8"	"Vicia(巢菜属)"	"--"	"国外"	"--"	"--"	"--"	"--"	"--"	"--"	"中"	"--"	"--"	"1.5"	"--"	"88.6"	"中厚"	"7.19"	"--"	"--"	"I2M02849"	"引85-549"	"均匀"	"--"	"--"	"549"	"Vicia faba L.(蚕豆)"	"--"	"4.07"	"--"	"--"	"ICARDA"	"--"	"--"	"73.3"	"--"	"9.3"	"河北省张家口农专"	"--"	"--"	"H0003492"	"--"	"--"	"16.9"	"--"	"--"	"--"	"--"	"6.0"	"--"	"--"	"Leguminosae(豆科)"	"--"																						
"1832"	"--"	"HS"	"--"	"--"	"国外"	"白"	"17.0"	"103"	"中"	"--"	"--"	"--"	"--"	"--"	"YIN 85-550"	"浅绿"	"--"	"3.1"	"Vicia(巢菜属)"	"--"	"国外"	"--"	"--"	"--"	"--"	"--"	"--"	"中"	"--"	"--"	"1.5"	"--"	"86.4"	"中厚"	"7.19"	"--"	"--"	"I2M02850"	"引85-550"	"均匀"	"--"	"--"	"550"	"Vicia faba L.(蚕豆)"	"--"	"4.07"	"--"	"--"	"ICARDA"	"--"	"--"	"73.4"	"--"	"8.5"	"河北省张家口农专"	"--"	"--"	"H0003493"	"9"	"--"	"14.4"	"--"	"--"	"--"	"--"	"5.7"	"--"	"--"	"Leguminosae(豆科)"	"--"																						
"1833"	"--"	"HS"	"--"	"--"	"国外"	"白"	"27.7"	"104"	"中"	"--"	"--"	"--"	"--"	"--"	"YIN 85-551"	"浅绿"	"--"	"2.8"	"Vicia(巢菜属)"	"--"	"国外"	"--"	"--"	"--"	"--"	"--"	"--"	"中"	"--"	"--"	"1.4"	"--"	"77.7"	"中厚"	"7.20"	"--"	"--"	"I2M02851"	"引85-551"	"均匀"	"--"	"--"	"551"	"Vicia faba L.(蚕豆)"	"--"	"4.07"	"--"	"--"	"ICARDA"	"--"	"--"	"76.9"	"--"	"16.9"	"河北省张家口农专"	"--"	"--"	"H0003494"	"9"	"--"	"23.3"	"--"	"--"	"--"	"--"	"5.6"	"--"	"--"	"Leguminosae(豆科)"	"--"																						
"1834"	"--"	"HS"	"--"	"--"	"国外"	"白"	"25.9"	"100"	"中"	"--"	"--"	"--"	"--"	"71.7"	"YIN 85-552"	"浅绿"	"--"	"2.5"	"Vicia(巢菜属)"	"--"	"国外"	"--"	"--"	"--"	"--"	"--"	"--"	"早"	"S"	"--"	"1.5"	"--"	"82.7"	"中厚"	"7.16"	"--"	"--"	"I2M02852"	"引85-552"	"均匀"	"--"	"--"	"552"	"Vicia faba L.(蚕豆)"	"5-9"	"4.07"	"--"	"--"	"ICARDA"	"--"	"--"	"72.3"	"--"	"12.4"	"河北省张家口农专"	"--"	"--"	"H0003495"	"9"	"--"	"20.8"	"71.7"	"--"	"--"	"--"	"5.6"	"--"	"--"	"Leguminosae(豆科)"	"--"																						
"1835"	"--"	"HS"	"--"	"--"	"国外"	"白"	"35.8"	"100"	"--"	"--"	"--"	"--"	"--"	"--"	"YIN 85-553"	"浅绿"	"--"	"3.2"	"Vicia(巢菜属)"	"--"	"国外"	"--"	"--"	"--"	"--"	"--"	"--"	"早"	"--"	"--"	"1.4"	"--"	"68.7"	"中厚"	"7.16"	"--"	"--"	"I2M02853"	"引85-553"	"均匀"	"--"	"--"	"553"	"Vicia faba L.(蚕豆)"	"--"	"4.07"	"--"	"--"	"ICARDA"	"--"	"--"	"68.4"	"--"	"19.0"	"河北省张家口农专"	"--"	"--"	"H0003496"	"9"	"--"	"23.9"	"--"	"--"	"--"	"--"	"5.6"	"--"	"--"	"Leguminosae(豆科)"	"--"																						
"1836"	"--"	"--"	"--"	"--"	"国外"	"白"	"14.3"	"104"	"中"	"--"	"--"	"--"	"--"	"--"	"YIN 85-554"	"浅绿"	"--"	"2.6"	"Vicia(巢菜属)"	"--"	"国外"	"--"	"--"	"--"	"--"	"--"	"--"	"中"	"--"	"--"	"1.7"	"--"	"104.9"	"中厚"	"7.20"	"--"	"--"	"I2M02854"	"引85-554"	"均匀"	"--"	"--"	"554"	"Vicia faba L.(蚕豆)"	"--"	"4.07"	"--"	"--"	"ICARDA"	"--"	"--"	"66.7"	"--"	"6.1"	"河北省张家口农专"	"--"	"--"	"H0003497"	"--"	"--"	"13.8"	"--"	"--"	"--"	"--"	"6.5"	"--"	"--"	"Leguminosae(豆科)"	"--"																						
"1837"	"--"	"HS"	"--"	"--"	"国外"	"白"	"18.0"	"104"	"中"	"--"	"--"	"--"	"--"	"70.4"	"YIN 85-555"	"浅绿"	"--"	"2.9"	"Vicia(巢菜属)"	"--"	"国外"	"--"	"--"	"--"	"--"	"--"	"--"	"中"	"S"	"--"	"1.5"	"--"	"95.4"	"中厚"	"7.20"	"--"	"--"	"I2M02855"	"引85-555"	"均匀"	"--"	"--"	"555"	"Vicia faba L.(蚕豆)"	"5-9"	"4.07"	"--"	"--"	"ICARDA"	"--"	"--"	"65.4"	"--"	"9.2"	"河北省张家口农专"	"--"	"--"	"H0003498"	"9"	"--"	"16.6"	"70.4"	"--"	"--"	"--"	"5.6"	"--"	"--"	"Leguminosae(豆科)"	"--"																						
"1838"	"--"	"HS"	"--"	"--"	"国外"	"白"	"20.1"	"104"	"中"	"--"	"--"	"--"	"--"	"46.3"	"YIN 85-556"	"浅绿"	"--"	"2.5"	"Vicia(巢菜属)"	"--"	"国外"	"--"	"--"	"--"	"--"	"--"	"--"	"中"	"MS"	"--"	"1.5"	"--"	"90.2"	"中厚"	"7.20"	"--"	"--"	"I2M02856"	"引85-556"	"均匀"	"--"	"--"	"556"	"Vicia faba L.(蚕豆)"	"3-5"	"4.07"	"--"	"--"	"ICARDA"	"--"	"--"	"65.8"	"--"	"8.9"	"河北省张家口农专"	"--"	"--"	"H0003499"	"9"	"--"	"18.5"	"46.3"	"--"	"--"	"--"	"5.9"	"--"	"--"	"Leguminosae(豆科)"	"--"																						
"1839"	"--"	"HS"	"--"	"--"	"国外"	"白"	"36.3"	"104"	"中"	"--"	"--"	"--"	"--"	"43.4"	"YIN 85-557"	"浅绿"	"--"	"4.4"	"Vicia(巢菜属)"	"--"	"国外"	"--"	"--"	"--"	"--"	"--"	"--"	"中"	"MS"	"--"	"1.5"	"--"	"85.9"	"中厚"	"7.20"	"--"	"--"	"I2M02857"	"引85-557"	"均匀"	"--"	"--"	"557"	"Vicia faba L.(蚕豆)"	"3-5"	"4.07"	"--"	"--"	"ICARDA"	"--"	"--"	"67.2"	"--"	"16.9"	"河北省张家口农专"	"--"	"--"	"H0003500"	"9"	"--"	"30.2"	"43.4"	"--"	"--"	"--"	"5.7"	"--"	"--"	"Leguminosae(豆科)"	"--"																						
"1840"	"--"	"HS"	"--"	"--"	"国外"	"白"	"27.6"	"104"	"中"	"--"	"--"	"--"	"--"	"--"	"YIN 85-558"	"浅绿"	"--"	"3.0"	"Vicia(巢菜属)"	"--"	"国外"	"--"	"--"	"--"	"--"	"--"	"--"	"中"	"--"	"--"	"1.5"	"--"	"96.3"	"中厚"	"7.20"	"--"	"--"	"I2M02858"	"引85-558"	"均匀"	"--"	"--"	"558"	"Vicia faba L.(蚕豆)"	"--"	"4.07"	"--"	"--"	"ICARDA"	"--"	"--"	"64.3"	"--"	"13.5"	"河北省张家口农专"	"--"	"--"	"H0003501"	"9"	"--"	"25.3"	"--"	"--"	"--"	"--"	"6.8"	"--"	"--"	"Leguminosae(豆科)"	"--"																						
"1841"	"--"	"HS"	"--"	"--"	"国外"	"白"	"20.6"	"104"	"中"	"--"	"--"	"--"	"--"	"--"	"YIN 85-559"	"浅绿"	"--"	"2.3"	"Vicia(巢菜属)"	"--"	"国外"	"--"	"--"	"--"	"--"	"--"	"--"	"中"	"--"	"--"	"1.5"	"--"	"103.9"	"中厚"	"7.20"	"--"	"--"	"I2M02859"	"引85-559"	"均匀"	"--"	"--"	"559"	"Vicia faba L.(蚕豆)"	"--"	"4.07"	"--"	"--"	"ICARDA"	"--"	"--"	"71.4"	"--"	"8.4"	"河北省张家口农专"	"--"	"--"	"H0003502"	"9"	"--"	"19.7"	"--"	"--"	"--"	"--"	"6.4"	"--"	"--"	"Leguminosae(豆科)"	"--"																						
"1842"	"--"	"HS"	"--"	"--"	"国外"	"白"	"22.5"	"104"	"中"	"--"	"--"	"--"	"--"	"--"	"YIN 85-560"	"浅绿"	"--"	"2.9"	"Vicia(巢菜属)"	"--"	"国外"	"--"	"--"	"--"	"--"	"--"	"--"	"中"	"--"	"--"	"1.7"	"--"	"120.4"	"中厚"	"7.20"	"--"	"--"	"I2M02860"	"引85-560"	"均匀"	"--"	"--"	"560"	"Vicia faba L.(蚕豆)"	"--"	"4.07"	"--"	"--"	"ICARDA"	"--"	"--"	"68.7"	"--"	"9.7"	"河北省张家口农专"	"--"	"--"	"H0003503"	"9"	"--"	"25.2"	"--"	"--"	"--"	"--"	"6.6"	"--"	"--"	"Leguminosae(豆科)"	"--"																						
"1843"	"--"	"HS"	"--"	"--"	"国外"	"白"	"22.8"	"102"	"中"	"--"	"--"	"--"	"--"	"68.5"	"YIN 85-561"	"浅绿"	"--"	"2.4"	"Vicia(巢菜属)"	"--"	"国外"	"--"	"--"	"--"	"--"	"--"	"--"	"中"	"S"	"--"	"1.5"	"--"	"105.6"	"中厚"	"7.18"	"--"	"--"	"I2M02861"	"引85-561"	"均匀"	"--"	"--"	"561"	"Vicia faba L.(蚕豆)"	"5-7"	"4.07"	"--"	"--"	"ICARDA"	"--"	"--"	"67.5"	"--"	"7.2"	"河北省张家口农专"	"--"	"--"	"H0003504"	"9"	"--"	"21.5"	"68.5"	"--"	"--"	"--"	"7.3"	"--"	"--"	"Leguminosae(豆科)"	"--"																						
"1844"	"--"	"--"	"--"	"--"	"国外"	"白"	"34.6"	"102"	"中"	"--"	"--"	"--"	"--"	"--"	"YIN 85-562"	"浅绿"	"--"	"2.2"	"Vicia(巢菜属)"	"--"	"国外"	"--"	"--"	"--"	"--"	"--"	"--"	"中"	"--"	"--"	"1.4"	"--"	"78.1"	"中厚"	"7.18"	"--"	"--"	"I2M02862"	"引85-562"	"均匀"	"--"	"--"	"562"	"Vicia faba L.(蚕豆)"	"--"	"4.07"	"--"	"--"	"ICARDA"	"--"	"--"	"79.0"	"--"	"14.1"	"河北省张家口农专"	"--"	"--"	"H0003505"	"--"	"--"	"24.0"	"--"	"--"	"--"	"--"	"6.2"	"--"	"--"	"Leguminosae(豆科)"	"--"																						
"1845"	"--"	"--"	"--"	"--"	"国外"	"白"	"22.3"	"102"	"中"	"--"	"--"	"--"	"--"	"--"	"YIN 85-563"	"浅绿"	"--"	"1.7"	"Vicia(巢菜属)"	"--"	"国外"	"--"	"--"	"--"	"--"	"--"	"--"	"中"	"--"	"--"	"1.5"	"--"	"95.5"	"中厚"	"7.18"	"--"	"--"	"I2M02863"	"引85-563"	"均匀"	"--"	"--"	"563"	"Vicia faba L.(蚕豆)"	"--"	"4.07"	"--"	"--"	"ICARDA"	"--"	"--"	"70.2"	"--"	"10.3"	"河北省张家口农专"	"--"	"--"	"H0003506"	"--"	"--"	"20.6"	"--"	"--"	"--"	"--"	"5.7"	"--"	"--"	"Leguminosae(豆科)"	"--"																						
"1846"	"--"	"HS"	"--"	"--"	"国外"	"白"	"25.1"	"102"	"中"	"--"	"--"	"--"	"--"	"--"	"YIN 85-564"	"浅绿"	"--"	"2.6"	"Vicia(巢菜属)"	"--"	"国外"	"--"	"--"	"--"	"--"	"--"	"--"	"中"	"--"	"--"	"1.4"	"--"	"93.4"	"中厚"	"7.18"	"--"	"--"	"I2M02864"	"引85-564"	"均匀"	"--"	"--"	"564"	"Vicia faba L.(蚕豆)"	"--"	"4.07"	"--"	"--"	"ICARDA"	"--"	"--"	"66.9"	"--"	"12.1"	"河北省张家口农专"	"--"	"--"	"H0003507"	"9"	"--"	"23.2"	"--"	"--"	"--"	"--"	"5.9"	"--"	"--"	"Leguminosae(豆科)"	"--"																						
"1847"	"--"	"HS"	"--"	"--"	"国外"	"白"	"33.3"	"102"	"中"	"--"	"--"	"--"	"--"	"50.0"	"YIN 85-565"	"浅绿"	"--"	"3.6"	"Vicia(巢菜属)"	"--"	"国外"	"--"	"--"	"--"	"--"	"--"	"--"	"中"	"MS"	"--"	"1.7"	"--"	"106.3"	"中厚"	"7.18"	"--"	"--"	"I2M02865"	"引85-565"	"均匀"	"--"	"--"	"565"	"Vicia faba L.(蚕豆)"	"3-5"	"4.07"	"--"	"--"	"ICARDA"	"--"	"--"	"67.9"	"--"	"12.7"	"河北省张家口农专"	"--"	"--"	"H0003508"	"9"	"--"	"31.8"	"50.0"	"--"	"--"	"--"	"6.6"	"--"	"--"	"Leguminosae(豆科)"	"--"																						
"1848"	"--"	"HS"	"--"	"--"	"国外"	"白"	"36.1"	"102"	"中"	"--"	"--"	"--"	"--"	"--"	"YIN 85-566"	"浅绿"	"--"	"3.1"	"Vicia(巢菜属)"	"--"	"国外"	"--"	"--"	"--"	"--"	"--"	"--"	"中"	"--"	"--"	"1.5"	"--"	"87.7"	"中厚"	"7.18"	"--"	"--"	"I2M02866"	"引85-566"	"均匀"	"--"	"--"	"566"	"Vicia faba L.(蚕豆)"	"--"	"4.07"	"--"	"--"	"ICARDA"	"--"	"--"	"63.2"	"--"	"14.2"	"河北省张家口农专"	"--"	"--"	"H0003509"	"9"	"--"	"30.1"	"--"	"--"	"--"	"--"	"5.8"	"--"	"--"	"Leguminosae(豆科)"	"--"																						
"1849"	"--"	"HS"	"--"	"--"	"国外"	"白"	"26.5"	"102"	"中"	"--"	"--"	"--"	"--"	"69.4"	"YIN 85-567"	"浅绿"	"--"	"2.5"	"Vicia(巢菜属)"	"--"	"国外"	"--"	"--"	"--"	"--"	"--"	"--"	"中"	"S"	"--"	"1.3"	"--"	"71.2"	"中厚"	"7.18"	"--"	"--"	"I2M02867"	"引85-567"	"均匀"	"--"	"--"	"567"	"Vicia faba L.(蚕豆)"	"5-7"	"4.07"	"--"	"--"	"ICARDA"	"--"	"--"	"67.7"	"--"	"11.5"	"河北省张家口农专"	"--"	"--"	"H0003510"	"9"	"--"	"20.1"	"69.4"	"--"	"--"	"--"	"5.8"	"--"	"--"	"Leguminosae(豆科)"	"--"																						
"1850"	"--"	"HS"	"--"	"--"	"国外"	"白"	"23.4"	"106"	"中"	"--"	"--"	"--"	"--"	"--"	"YIN 85-568"	"浅绿"	"--"	"2.7"	"Vicia(巢菜属)"	"--"	"国外"	"--"	"--"	"--"	"--"	"--"	"--"	"中"	"--"	"--"	"1.6"	"--"	"91.6"	"中厚"	"7.22"	"--"	"--"	"I2M02868"	"引85-568"	"均匀"	"--"	"--"	"568"	"Vicia faba L.(蚕豆)"	"--"	"4.07"	"--"	"--"	"ICARDA"	"--"	"--"	"60.0"	"--"	"9.0"	"河北省张家口农专"	"--"	"--"	"H0003511"	"9"	"--"	"21.9"	"--"	"--"	"--"	"--"	"6.4"	"--"	"--"	"Leguminosae(豆科)"	"--"																						
"1851"	"--"	"HS"	"--"	"--"	"国外"	"白"	"40.2"	"104"	"--"	"--"	"--"	"--"	"--"	"--"	"YIN 85-569"	"浅绿"	"--"	"3.4"	"Vicia(巢菜属)"	"--"	"国外"	"--"	"--"	"--"	"--"	"--"	"--"	"中"	"--"	"--"	"1.2"	"--"	"67.5"	"中厚"	"7.20"	"--"	"--"	"I2M02869"	"引85-569"	"均匀"	"--"	"--"	"569"	"Vicia faba L.(蚕豆)"	"--"	"4.07"	"--"	"--"	"ICARDA"	"--"	"--"	"65.7"	"--"	"17.4"	"河北省张家口农专"	"--"	"--"	"H0003512"	"9"	"--"	"27.3"	"--"	"--"	"--"	"--"	"7.9"	"--"	"--"	"Leguminosae(豆科)"	"--"																						
"1852"	"--"	"HS"	"--"	"--"	"国外"	"白"	"39.0"	"101"	"中"	"--"	"--"	"--"	"--"	"--"	"YIN 85-570"	"浅绿"	"--"	"3.9"	"Vicia(巢菜属)"	"--"	"国外"	"--"	"--"	"--"	"--"	"--"	"--"	"中"	"--"	"--"	"1.5"	"--"	"96.8"	"中薄"	"7.17"	"--"	"--"	"I2M02870"	"引85-570"	"均匀"	"--"	"--"	"570"	"Vicia faba L.(蚕豆)"	"--"	"4.07"	"--"	"--"	"ICARDA"	"--"	"--"	"68.5"	"--"	"15.3"	"河北省张家口农专"	"--"	"--"	"H0003513"	"9"	"--"	"37.9"	"--"	"--"	"--"	"--"	"7.5"	"--"	"--"	"Leguminosae(豆科)"	"--"																						
"1853"	"--"	"--"	"--"	"--"	"国外"	"白"	"39.9"	"105"	"中"	"--"	"--"	"--"	"--"	"--"	"YIN 85-571"	"浅绿"	"--"	"3.1"	"Vicia(巢菜属)"	"--"	"国外"	"--"	"--"	"--"	"--"	"--"	"--"	"中"	"--"	"--"	"1.5"	"--"	"109.4"	"中厚"	"7.21"	"--"	"--"	"I2M02871"	"引85-571"	"均匀"	"--"	"--"	"571"	"Vicia faba L.(蚕豆)"	"--"	"4.07"	"--"	"--"	"ICARDA"	"--"	"--"	"71.5"	"--"	"15.4"	"河北省张家口农专"	"--"	"--"	"H0003514"	"--"	"--"	"39.6"	"--"	"--"	"--"	"--"	"6.6"	"--"	"--"	"Leguminosae(豆科)"	"--"																						
"1854"	"--"	"HS"	"--"	"--"	"国外"	"白"	"21.0"	"103"	"中"	"--"	"--"	"--"	"--"	"67.8"	"YIN 85-572"	"浅绿"	"--"	"2.5"	"Vicia(巢菜属)"	"--"	"国外"	"--"	"--"	"--"	"--"	"--"	"--"	"中"	"S"	"--"	"1.6"	"--"	"103.6"	"中厚"	"7.19"	"--"	"--"	"I2M02872"	"引85-572"	"均匀"	"--"	"--"	"572"	"Vicia faba L.(蚕豆)"	"5-7"	"4.07"	"--"	"--"	"ICARDA"	"--"	"--"	"61.6"	"--"	"7.8"	"河北省张家口农专"	"--"	"--"	"H0003515"	"9"	"--"	"22.1"	"67.8"	"--"	"--"	"--"	"6.4"	"--"	"--"	"Leguminosae(豆科)"	"--"																						
"1855"	"--"	"HS"	"--"	"--"	"国外"	"白"	"26.1"	"105"	"中"	"--"	"--"	"--"	"--"	"--"	"YIN 85-573"	"浅绿"	"--"	"2.6"	"Vicia(巢菜属)"	"--"	"国外"	"--"	"--"	"--"	"--"	"--"	"--"	"中"	"--"	"--"	"1.6"	"--"	"106.0"	"中厚"	"7.21"	"--"	"--"	"I2M02873"	"引85-573"	"均匀"	"--"	"--"	"573"	"Vicia faba L.(蚕豆)"	"--"	"4.07"	"--"	"--"	"ICARDA"	"--"	"--"	"71.0"	"--"	"9.8"	"河北省张家口农专"	"--"	"--"	"H0003516"	"9"	"--"	"25.8"	"--"	"--"	"--"	"--"	"6.7"	"--"	"--"	"Leguminosae(豆科)"	"--"																						
"1856"	"--"	"HS"	"--"	"--"	"国外"	"白"	"24.2"	"105"	"中"	"--"	"--"	"--"	"--"	"--"	"YIN 85-574"	"浅绿"	"--"	"2.4"	"Vicia(巢菜属)"	"--"	"国外"	"--"	"--"	"--"	"--"	"--"	"--"	"中"	"--"	"--"	"1.5"	"--"	"83.6"	"中薄"	"7.21"	"--"	"--"	"I2M02874"	"引85-574"	"均匀"	"--"	"--"	"574"	"Vicia faba L.(蚕豆)"	"--"	"4.07"	"--"	"--"	"ICARDA"	"--"	"--"	"74.0"	"--"	"11.7"	"河北省张家口农专"	"--"	"--"	"H0003517"	"9"	"--"	"20.9"	"--"	"--"	"--"	"--"	"6.5"	"--"	"--"	"Leguminosae(豆科)"	"--"																						
"1857"	"--"	"HS"	"--"	"--"	"国外"	"白"	"23.9"	"103"	"中"	"--"	"--"	"--"	"--"	"--"	"YIN 85-575"	"浅绿"	"--"	"2.5"	"Vicia(巢菜属)"	"--"	"国外"	"--"	"--"	"--"	"--"	"--"	"--"	"中"	"--"	"--"	"1.4"	"--"	"72.5"	"中厚"	"7.19"	"--"	"--"	"I2M02875"	"引85-575"	"均匀"	"--"	"--"	"575"	"Vicia faba L.(蚕豆)"	"--"	"4.07"	"--"	"--"	"ICARDA"	"--"	"--"	"73.0"	"--"	"10.1"	"河北省张家口农专"	"--"	"--"	"H0003518"	"9"	"--"	"15.1"	"--"	"--"	"--"	"--"	"5.2"	"--"	"--"	"Leguminosae(豆科)"	"--"																						
"1858"	"--"	"HS"	"--"	"--"	"国外"	"白"	"26.2"	"103"	"中"	"--"	"--"	"--"	"--"	"59.3"	"YIN 85-576"	"浅绿"	"--"	"2.3"	"Vicia(巢菜属)"	"--"	"国外"	"--"	"--"	"--"	"--"	"--"	"--"	"中"	"MS"	"--"	"1.4"	"--"	"82.7"	"中厚"	"7.19"	"--"	"--"	"I2M02876"	"引85-576"	"均匀"	"--"	"--"	"576"	"Vicia faba L.(蚕豆)"	"5-7"	"4.07"	"--"	"--"	"ICARDA"	"--"	"--"	"81.4"	"--"	"12.0"	"河北省张家口农专"	"--"	"--"	"H0003519"	"9"	"--"	"21.8"	"59.3"	"--"	"--"	"--"	"5.7"	"--"	"--"	"Leguminosae(豆科)"	"--"																						
"1859"	"--"	"HS"	"--"	"--"	"国外"	"白"	"29.4"	"103"	"中"	"--"	"--"	"--"	"--"	"--"	"YIN 85-577"	"浅绿"	"--"	"2.6"	"Vicia(巢菜属)"	"--"	"国外"	"--"	"--"	"--"	"--"	"--"	"--"	"中"	"--"	"--"	"1.4"	"--"	"86.0"	"中厚"	"7.19"	"--"	"--"	"I2M02877"	"引85-577"	"均匀"	"--"	"--"	"577"	"Vicia faba L.(蚕豆)"	"--"	"4.07"	"--"	"--"	"ICARDA"	"--"	"--"	"81.4"	"--"	"13.4"	"河北省张家口农专"	"--"	"--"	"H0003520"	"9"	"--"	"24.8"	"--"	"--"	"--"	"--"	"6.3"	"--"	"--"	"Leguminosae(豆科)"	"--"																						
