"id"	"成熟期"	"主花序长度"	"科名"	"花序色"	"保存编号"	"品种名称"	"原产地"	"叶色"	"千粒重"	"类别"	"省"	"粒色"	"来源地"	"花序性"	"样品类型"	"系谱"	"播种期"	"学名"	"统一编号"	"保存单位"	"其它"	"属名"	"茎色"	"株高"
"218"	"9.28"	"55.0"	"Amaranthaceae(苋科)"	"红"	"52"	"保德玉谷"	"保德县"	"红"	"0.40"	"--"	"山西"	"白"	"--"	"直立"	"地方"	"A.tricolor L.(苋)"	"5.25"	"Amaranthus tricofor L.(苋)"	"ZX000092"	"山西省农科院品资所"	"--"	"Amaranthus(苋属)"	"红"	"170.0"
"219"	"9.30"	"57.0"	"Amaranthaceae(苋科)"	"红"	"53"	"穗变红"	"保德县"	"红"	"0.38"	"--"	"山西"	"白"	"--"	"直立"	"地方"	"A.tricolor L.(苋)"	"5.27"	"Amaranthus tricofor L.(苋)"	"ZX000093"	"山西省农科院品资所"	"--"	"Amaranthus(苋属)"	"红"	"183.0"
"220"	"9.30"	"41.0"	"Amaranthaceae(苋科)"	"红"	"54"	"84-8"	"省农科院"	"红"	"0.30"	"--"	"山西"	"白"	"--"	"直立"	"地方"	"A.tricolor L.(苋)"	"5.14"	"Amaranthus tricofor L.(苋)"	"ZX000094"	"山西省农科院品资所"	"--"	"Amaranthus(苋属)"	"红"	"172.0"
"221"	"10.07"	"55.0"	"Amaranthaceae(苋科)"	"绿"	"55"	"籽粒苋"	"太谷县"	"绿"	"0.38"	"--"	"山西"	"白"	"--"	"直立"	"地方"	"A.tricolor L.(苋)"	"5.14"	"Amaranthus tricofor L.(苋)"	"ZX000095"	"山西省农科院品资所"	"--"	"Amaranthus(苋属)"	"绿"	"200.0"
"222"	"10.02"	"70.0"	"Amaranthaceae(苋科)"	"绿"	"56"	"玉谷"	"太谷县"	"绿"	"0.34"	"--"	"山西"	"白"	"--"	"直立"	"地方"	"A.tricolor L.(苋)"	"5.10"	"Amaranthus tricofor L.(苋)"	"ZX000096"	"山西省农科院品资所"	"--"	"Amaranthus(苋属)"	"绿"	"180.0"
"223"	"10.04"	"70.0"	"Amaranthaceae(苋科)"	"绿"	"57"	"祁县玉米"	"祁县"	"绿"	"0.39"	"--"	"山西"	"白"	"--"	"直立"	"地方"	"A.tricolor L.(苋)"	"5.09"	"Amaranthus tricofor L.(苋)"	"ZX000097"	"山西省农科院品资所"	"--"	"Amaranthus(苋属)"	"绿"	"190.0"
"224"	"10.02"	"65.0"	"Amaranthaceae(苋科)"	"绿"	"58"	"麻糖谷"	"祁县"	"绿"	"0.37"	"--"	"山西"	"白"	"--"	"直立"	"地方"	"A.tricolor L.(苋)"	"5.12"	"Amaranthus tricofor L.(苋)"	"ZX000098"	"山西省农科院品资所"	"--"	"Amaranthus(苋属)"	"绿"	"185.0"
"225"	"10.07"	"60.0"	"Amaranthaceae(苋科)"	"绿"	"59"	"84-3"	"省农科院"	"绿"	"0.29"	"--"	"山西"	"白"	"--"	"直立"	"地方"	"A.tricolor L.(苋)"	"5.14"	"Amaranthus tricofor L.(苋)"	"ZX000099"	"山西省农科院品资所"	"--"	"Amaranthus(苋属)"	"绿"	"240.0"
"226"	"9.28"	"35.0"	"Amaranthaceae(苋科)"	"红"	"60"	"红玉谷"	"买石县"	"红"	"0.31"	"--"	"山西"	"白"	"--"	"直立"	"地方"	"A.tricolor L.(苋)"	"5.10"	"Amaranthus tricofor L.(苋)"	"ZX000100"	"山西省农科院品资所"	"--"	"Amaranthus(苋属)"	"红"	"180.0"
"227"	"10.01"	"50.0"	"Amaranthaceae(苋科)"	"绿"	"61"	"绿玉谷"	"买石县"	"绿"	"0.34"	"--"	"山西"	"白"	"--"	"直立"	"地方"	"A.tricolor L.(苋)"	"5.12"	"Amaranthus tricofor L.(苋)"	"ZX000101"	"山西省农科院品资所"	"--"	"Amaranthus(苋属)"	"绿"	"210.0"
"228"	"10.03"	"50.0"	"Amaranthaceae(苋科)"	"绿"	"62"	"介休麻糖籽"	"介休市"	"绿"	"0.36"	"--"	"山西"	"白"	"--"	"直立"	"地方"	"A.tricolor L.(苋)"	"5.14"	"Amaranthus tricofor L.(苋)"	"ZX000102"	"山西省农科院品资所"	"--"	"Amaranthus(苋属)"	"绿"	"200.0"
"229"	"8.25"	"42.0"	"Amaranthaceae(苋科)"	"黄绿"	"X025"	"农绿苋"	"克旗"	"绿"	"0.50"	"栽培"	"内蒙"	"白"	"--"	"直立"	"地方"	"A.hybridus L.(绿穗苋)"	"5.10"	"Amaranthus hybridus L.(绿穗苋)"	"ZX000150"	"内蒙古赤峰市农科所"	"--"	"Amaranthus(苋属)"	"绿"	"175.0"
"230"	"8.23"	"55.0"	"Amaranthaceae(苋科)"	"黄绿"	"X026"	"农绿苋"	"翁旗"	"绿"	"0.50"	"栽培"	"内蒙"	"白"	"--"	"直立"	"地方"	"A.hybridus L.(绿穗苋)"	"5.07"	"Amaranthus hybridus L.(绿穗苋)"	"ZX000151"	"内蒙古赤峰市农科所"	"--"	"Amaranthus(苋属)"	"绿"	"187.0"
"231"	"8.20"	"51.0"	"Amaranthaceae(苋科)"	"黄绿"	"X027"	"农绿苋"	"郊区"	"绿"	"0.49"	"栽培"	"内蒙"	"白"	"--"	"直立"	"地方"	"A.hybridus L.(绿穗苋)"	"5.06"	"Amaranthus hybridus L.(绿穗苋)"	"ZX000152"	"内蒙古赤峰市农科所"	"--"	"Amaranthus(苋属)"	"绿"	"175.0"
"232"	"8.20"	"56.0"	"Amaranthaceae(苋科)"	"黄绿"	"X028"	"农绿苋"	"红山区"	"绿"	"0.49"	"栽培"	"内蒙"	"白"	"--"	"直立"	"地方"	"A.hybridus L.(绿穗苋)"	"5.05"	"Amaranthus hybridus L.(绿穗苋)"	"ZX000153"	"内蒙古赤峰市农科所"	"--"	"Amaranthus(苋属)"	"绿"	"175.0"
"233"	"8.20"	"51.0"	"Amaranthaceae(苋科)"	"黄绿"	"X029"	"农绿苋"	"元宝山区"	"绿"	"0.49"	"栽培"	"内蒙"	"白"	"--"	"直立"	"地方"	"A.hybridus L.(绿穗苋)"	"5.06"	"Amaranthus hybridus L.(绿穗苋)"	"ZX000154"	"内蒙古赤峰市农科所"	"--"	"Amaranthus(苋属)"	"绿"	"172.0"
"234"	"8.20"	"50.0"	"Amaranthaceae(苋科)"	"黄绿"	"X030"	"农绿苋"	"敖汉旗"	"绿"	"0.48"	"栽培"	"内蒙"	"白"	"--"	"直立"	"地方"	"A.hybridus L.(绿穗苋)"	"5.01"	"Amaranthus hybridus L.(绿穗苋)"	"ZX000155"	"内蒙古赤峰市农科所"	"--"	"Amaranthus(苋属)"	"绿"	"182.0"
"235"	"8.20"	"56.0"	"Amaranthaceae(苋科)"	"黄绿"	"X031"	"农绿苋"	"宁城县"	"绿"	"0.49"	"栽培"	"内蒙"	"白"	"--"	"直立"	"地方"	"A.hybridus L.(绿穗苋)"	"5.01"	"Amaranthus hybridus L.(绿穗苋)"	"ZX000156"	"内蒙古赤峰市农科所"	"--"	"Amaranthus(苋属)"	"绿"	"191.0"
"236"	"8.20"	"55.0"	"Amaranthaceae(苋科)"	"黄绿"	"X032"	"农绿苋"	"喀旗"	"绿"	"0.48"	"栽培"	"内蒙"	"白"	"--"	"直立"	"地方"	"A.hybridus L.(绿穗苋)"	"5.01"	"Amaranthus hybridus L.(绿穗苋)"	"ZX000157"	"内蒙古赤峰市农科所"	"--"	"Amaranthus(苋属)"	"绿"	"181.0"
"237"	"8.24"	"115.0"	"Amaranthaceae(苋科)"	"粉红"	"X033"	"农红苋(早)"	"阿旗"	"黄绿"	"0.48"	"栽培"	"内蒙"	"白粉"	"--"	"下垂"	"地方"	"A.caudatus L.(尾穗苋)"	"5.07"	"Amaranthus paniculatus L.(繁穗苋)"	"ZX000158"	"内蒙古赤峰市农科所"	"--"	"Amaranthus(苋属)"	"黄绿"	"218.0"
