"id"	"青熟果色"	"品种名称"	"省"	"保存编号"	"抗逆性"	"备注"	"亩产"	"种子来源"	"译名"	"首花节位"	"生育期"	"株高"	"保存单位"	"种质库编号"	"统一编号"	"栽培季节"	"熟性"	"种子多少"	"单果重"	"青果肉质"	"抗病虫性"	"株幅"	"果形"
"58"	"紫红"	"营口线茄"	"黑龙江"	"18-13"	"中"	"*引自辽宁营口"	"1000"	"黑龙江萝北县"	"YING KOU XIAN QIE"	"9"	"41"	"65.0"	"黑龙江省园艺所"	"Ⅱ6B0253"	"V06B0260"	"3中-7上"	"早"	"少"	"121.0"	"松"	"中"	"47.0"	"圆筒形"
"59"	"黑紫"	"黑油瓶"	"黑龙江"	"18-25"	"中"	"*"	"1000"	"黑龙江密山县"	"HEI YOU PING"	"8"	"41"	"40.0"	"黑龙江省园艺所"	"Ⅱ6B0957"	"V06B0261"	"3中-7上"	"早"	"中"	"140.0"	"松"	"中"	"41.0"	"圆筒形"
"60"	"紫红"	"火茄"	"黑龙江"	"18-8"	"强"	"*"	"750"	"黑龙江明水县"	"HUO QIE"	"8"	"41"	"54.0"	"黑龙江省园艺所"	"Ⅱ6B0954"	"V06B0262"	"3中-7上"	"早"	"多"	"85.0"	"松"	"抗"	"42.2"	"长卵形"
"61"	"紫"	"齐茄二号"	"黑龙江"	"18-96"	"中"	"--"	"532"	"黑龙江齐齐哈尔市"	"QI QIE ER HAO"	"10"	"43"	"95.0"	"黑龙江省园艺所"	"Ⅱ6B0634"	"V06B0269"	"5下-9中"	"中"	"中"	"225.0"	"松"	"中"	"60.0"	"圆筒形"
"62"	"紫红"	"意茄二号"	"黑龙江"	"18-201"	"中"	"--"	"876"	"黑龙江园艺所"	"YI QIE ER HAO"	"11"	"60"	"105.0"	"黑龙江省园艺所"	"Ⅱ6B0474"	"V06B0283"	"5下-9下"	"晚"	"多"	"650.0"	"致密"	"中"	"20.0"	"长卵形"
"63"	"紫"	"龙单茄一号"	"黑龙江"	"18-97"	"强"	"--"	"532"	"黑龙江园艺所"	"LONG DAN QIE YI HAO"	"9"	"43"	"95.0"	"黑龙江省园艺所"	"Ⅱ6B0485"	"V06B0284"	"5下-9中"	"中"	"多"	"225.0"	"松"	"抗"	"60.0"	"羊角形"
"64"	"紫"	"龙茄一号"	"黑龙江"	"18-95"	"强"	"--"	"594"	"黑龙江园艺所"	"LONG QIE YI HAO"	"10"	"48"	"95.0"	"黑龙江省园艺所"	"Ⅱ6B0249"	"V06B0285"	"5下-9中"	"中"	"中"	"225.0"	"松"	"抗"	"52.5"	"羊角形"
"65"	"紫"	"团茄"	"湖北"	"续Ⅱ6B0007"	"中"	"--"	"438"	"湖北竹溪县"	"TUAN QIE"	"9"	"55"	"92.0"	"湖北农科院经作所"	"Ⅱ6B0951"	"V06B0294"	"1上-10上"	"--"	"中"	"175.0"	"松"	"中"	"60.0"	"长卵形"
"66"	"黑紫"	"五线茄"	"湖南"	"6-B23"	"耐热旱"	"*"	"750"	"湖南安乡县"	"WU XIAN QIE"	"6"	"60"	"68.0"	"湖南农科院蔬菜所"	"Ⅱ6B0681"	"V06B0295"	"1上-4上-6上9下"	"早"	"--"	"325.0"	"松"	"抗"	"76.0"	"长卵形"
"67"	"白"	"白圆茄"	"湖南"	"6-B11"	"耐热不耐涝"	"*"	"1314"	"湖南常德市"	"BAI YUAN QIE"	"6"	"80"	"110.2"	"湖南农科院蔬菜所"	"Ⅱ6B0679"	"V06B0296"	"2下-4上-6下8中"	"中"	"--"	"200.0"	"松"	"抗"	"77.0"	"圆球形"
