"id"	"内质评价"	"可溶性糖％"	"品种名称"	"原产地"	"特异及用途"	"省"	"学名"	"图象"	"单果重评价"	"果实成熟期"	"成熟期评价"	"风味"	"单果重G"	"译名"	"汁液"	"外观评价"	"色泽"	"始果年龄"	"肉质"	"属名"	"可溶固形物"	"生育期D"	"生育期评价"	"统一编号"	"早果性评价"	"果形"	"维生素C"	"科名"	"可滴定酸％"
"115"	"中"	"10.9"	"乔纳红"	"美国"	"--"	"国外"	"Malus pumila Mill.(苹果)"	"--"	"中"	"9月下旬"	"中晚"	"微酸"	"134.6"	"QIAO NA HONG"	"多"	"好"	"浓红"	"4"	"松脆"	"Malus(苹果属)"	"14.2"	"210"	"中"	"PGB0170"	"早"	"扁圆锥"	"3.7"	"Rosaceae(蔷薇科)"	"0.81"
"116"	"上"	"10.1"	"乔纳金"	"美国"	"三倍体,优质,丰产"	"国外"	"Malus pumila Mill.(苹果)"	"--"	"很大"	"10月上旬"	"中晚"	"酸甜适度"	"211.2"	"QIAO NA JIN"	"多"	"好"	"鲜红"	"3"	"松脆"	"Malus(苹果属)"	"12.7"	"212"	"中"	"PGB0171"	"早"	"圆锥"	"4.0"	"Rosaceae(蔷薇科)"	"0.63"
"117"	"中"	"--"	"武田短枝"	"日本"	"--"	"国外"	"Malus pumila Mill.(苹果)"	"--"	"较大"	"9月下旬"	"中晚"	"淡甜"	"164.8"	"WU TIAN DUAN ZHI"	"多"	"好"	"浓红"	"6"	"脆致密"	"Malus(苹果属)"	"10.6"	"203"	"中"	"PGB0172"	"中"	"圆锥"	"--"	"Rosaceae(蔷薇科)"	"--"
"118"	"上"	"10.4"	"新乔纳金"	"日本"	"三倍体,优质,丰产"	"国外"	"Malus pumila Mill.(苹果)"	"--"	"中"	"10月上旬"	"中晚"	"酸甜适度"	"131.2"	"XIN QIAO NA JIN"	"多"	"极好"	"鲜红"	"3"	"松脆"	"Malus(苹果属)"	"13.3"	"207"	"中"	"PGB0174"	"中"	"圆"	"1.9"	"Rosaceae(蔷薇科)"	"0.77"
"119"	"上"	"--"	"魁红"	"美国"	"--"	"国外"	"Malus pumila Mill.(苹果)"	"--"	"较大"	"9月下旬"	"中晚"	"淡甜"	"175.9"	"KUI HONG"	"多"	"极好"	"浓红"	"5"	"松脆"	"Malus(苹果属)"	"10.8"	"221"	"长"	"PGB0175"	"中"	"圆锥"	"--"	"Rosaceae(蔷薇科)"	"--"
"120"	"中上"	"9.9"	"弗来堡"	"美国"	"--"	"国外"	"Malus pumila Mill.(苹果)"	"--"	"较大"	"9月下旬"	"中晚"	"甜酸"	"150.4"	"FU LAI BAO"	"多"	"中"	"淡红"	"6"	"脆"	"Malus(苹果属)"	"13.1"	"--"	"--"	"PGB0176"	"中"	"阔圆锥"	"7.3"	"Rosaceae(蔷薇科)"	"0.72"
"121"	"中"	"--"	"法10"	"法国"	"--"	"国外"	"Malus pumila Mill.(苹果)"	"--"	"较大"	"9月中旬"	"中"	"微酸"	"151.7"	"FA 10"	"多"	"好"	"红"	"--"	"松脆"	"Malus(苹果属)"	"12.5"	"209"	"中"	"PGB0178"	"--"	"扁圆"	"--"	"Rosaceae(蔷薇科)"	"--"
"122"	"下"	"--"	"法5"	"法国"	"--"	"国外"	"Malus pumila Mill.(苹果)"	"--"	"较大"	"9月下旬"	"中晚"	"酸"	"158.5"	"FA 5"	"多"	"极差"	"锈色"	"5"	"脆"	"Malus(苹果属)"	"13.8"	"209"	"中"	"PGB0179"	"中"	"扁圆"	"--"	"Rosaceae(蔷薇科)"	"--"
"123"	"下"	"--"	"法8"	"法国"	"--"	"国外"	"Malus pumila Mill.(苹果)"	"--"	"较大"	"9月下旬"	"中晚"	"酸"	"176.3"	"FA 8"	"多"	"中"	"黄绿"	"--"	"松脆"	"Malus(苹果属)"	"13.0"	"209"	"中"	"PGB0180"	"--"	"扁圆"	"--"	"Rosaceae(蔷薇科)"	"--"
"124"	"中上"	"10.6"	"恩维尔金矮生"	"美国"	"--"	"国外"	"Malus pumila Mill.(苹果)"	"--"	"较大"	"9月下旬"	"中晚"	"甜酸"	"176.7"	"EN WEI ER JIN AI SHENG"	"多"	"中"	"黄绿"	"6"	"松脆"	"Malus(苹果属)"	"11.2"	"227"	"长"	"PGB0181"	"中"	"阔圆锥"	"6.2"	"Rosaceae(蔷薇科)"	"0.45"
