"id"	"保存编号"	"品种名称"	"生长状态"	"叶面"	"种子来源"	"生育期"	"抗逆性"	"叶形"	"亩产"	"茸毛"	"译名"	"备注"	"叶缘"	"单株重"	"统一编号"	"保存单位"	"抗病虫性"	"叶色"	"茎色"	"叶角"	"株高"	"种质库编号"	"栽培季节"
"69"	"Ⅱ9C001"	"红苋菜"	"矮生"	"微皱"	"青海西宁市"	"65"	"耐寒耐旱"	"卵圆"	"750"	"少"	"HONG XIAN CAI"	"--"	"缺刻"	"30.0"	"V09C0177"	"青海农科院园艺所"	"较强"	"紫"	"紫"	"直立"	"20.0"	"Ⅱ9C0205"	"春夏"
"70"	"S16-8"	"无锡绿米苋"	"矮生"	"微皱"	"上海川沙县"	"50"	"--"	"卵圆"	"625"	"无"	"WU XI LU MI XIAN"	"--"	"全缘"	"--"	"V09C0182"	"上海农科院园艺所"	"--"	"深绿"	"绿"	"直立"	"--"	"Ⅱ9C0016"	"4中下-5上"
"71"	"S16-5"	"黄叶白米苋"	"矮生"	"微皱"	"上海上海县"	"50"	"--"	"卵圆"	"500"	"无"	"HUANG YE BAI MI XIAN"	"--"	"全缘"	"--"	"V09C0183"	"上海农科院园艺所"	"--"	"浅绿"	"浅绿"	"直立"	"--"	"Ⅱ9C0013"	"4中-6上"
"72"	"S16-1"	"早红尖叶"	"矮生"	"微皱"	"上海上海县"	"40"	"--"	"长卵"	"688"	"无"	"ZAO HONG JIAN YE"	"--"	"全缘"	"--"	"V09C0184"	"上海农科院园艺所"	"--"	"紫"	"绿"	"直立"	"--"	"Ⅱ9C0010"	"4中-5下"
"73"	"S16-7"	"观音米苋"	"--"	"微皱"	"上海上海县"	"45"	"耐热中等"	"长卵"	"1000"	"--"	"GUAN YIN MI XIAN"	"*叶肉较厚品质中等"	"全缘"	"--"	"V09C0185"	"上海农科院园艺所"	"强"	"红"	"紫"	"--"	"15.0"	"Ⅱ9C0015"	"4中下播5下6中收"
"74"	"S16-6"	"长梗青米苋"	"矮生"	"微皱"	"上海上海县"	"50"	"--"	"卵圆"	"1125"	"无"	"CHANG GENG QING MI XIAN"	"--"	"全缘"	"--"	"V09C0186"	"上海农科院园艺所"	"--"	"深绿"	"绿"	"直立"	"--"	"Ⅱ9C0014"	"4中-6上"
"75"	"86-22"	"哈密红苋"	"--"	"平滑"	"新疆哈密市"	"43"	"较强"	"长卵"	"667"	"--"	"HA MI HONG XIAN"	"--"	"--"	"--"	"V09C0201"	"新疆农科院园艺所"	"较强"	"红"	"--"	"--"	"43.0"	"Ⅱ9C0008"	"4下-6上"
"76"	"86-0405"	"红苋"	"--"	"微皱"	"新疆和田县"	"45"	"强"	"卵圆"	"556"	"--"	"HONG XIAN"	"--"	"--"	"--"	"V09C0202"	"新疆农科院园艺所"	"强"	"紫"	"--"	"--"	"18.5"	"Ⅱ9C0187"	"4下-6上"
"77"	"86-4"	"红苋"	"--"	"微皱"	"新疆石河子"	"44"	"中"	"长卵"	"720"	"--"	"HONG XIAN"	"--"	"--"	"--"	"V09C0203"	"新疆农科院园艺所"	"弱"	"红"	"--"	"--"	"27.0"	"Ⅱ9C0074"	"4下-10中"
"78"	"86-38"	"伊犁红苋"	"--"	"微皱"	"新疆伊宁市"	"39"	"较强"	"卵圆"	"667"	"--"	"YI LI HONG XIAN"	"--"	"--"	"--"	"V09C0204"	"新疆农科院园艺所"	"较强"	"紫"	"--"	"--"	"28.0"	"Ⅱ9C0007"	"4下-6上"
"79"	"86-043"	"绿苋"	"--"	"微皱"	"新疆引自河南"	"50"	"耐热碱"	"卵圆"	"1000"	"--"	"LU XIAN"	"*"	"全缘"	"--"	"V09C0205"	"新疆农科院园艺所"	"强"	"绿"	"绿"	"--"	"27.0"	"Ⅱ9C0075"	"5初播7初收"
