"id"	"科名"	"可溶固形物"	"品种名称"	"省"	"原产地"	"可食率"	"外观评价"	"内质评价"	"维生素C"	"种子数"	"风味"	"特异及用途"	"柠檬酸"	"单果重评价"	"果实成熟期"	"肉质"	"成熟期评价"	"学名"	"统一编号"	"译名"	"单果重G"	"属名"	"色泽"	"粗细"	"总糖"	"果汁"
"254"	"Rutaceae(芸香科)"	"9.07"	"金桔"	"浙江"	"浙江黄岩"	"57.73"	"中"	"下"	"37.59"	"12.8"	"酸,味淡"	"观赏,砧木"	"3.00"	"很小"	"11月中下"	"较细"	"中"	"--"	"GJLR0353"	"JIN JIE"	"21.7"	"Citrus(柑橘属)"	"桔红"	"细"	"5.81"	"40.05"
"255"	"Rutaceae(芸香科)"	"10.50"	"江安无核红桔"	"四川"	"四川江安"	"81.46"	"中"	"中上"	"41.66"	"3.8"	"酸甜,味浓"	"少核,鲜食"	"0.91"	"小"	"11月中下"	"柔软"	"中"	"Citrus tangeruna Hort.(红橘)"	"GJLR0354"	"JIANG AN WU HE HONG JIE"	"83.8"	"Citrus(柑橘属)"	"桔红"	"中"	"9.32"	"52.41"
"256"	"Rutaceae(芸香科)"	"11.10"	"小叶南丰"	"江西"	"江西南丰"	"68.13"	"中"	"中上"	"19.63"	"2.3"	"酸,味浓"	"鲜食"	"0.63"	"很小"	"11月中下"	"较软"	"中"	"--"	"GJLR0355"	"XIAO YE NAN FENG"	"44.1"	"Citrus(柑橘属)"	"橙"	"中"	"9.19"	"45.66"
"257"	"Rutaceae(芸香科)"	"10.20"	"火焰红桔"	"四川"	"四川宜宾"	"77.87"	"中"	"中上"	"--"	"4.6"	"酸甜,味浓"	"少核,鲜食"	"0.69"	"中小"	"12月上中"	"柔软"	"中"	"Citrus tangeruna Hort.(红橘)"	"GJLR0356"	"HUO YAN HONG JIE"	"106.0"	"Citrus(柑橘属)"	"桔红"	"细"	"8.40"	"52.03"
"258"	"Rutaceae(芸香科)"	"9.00"	"黄斜3号"	"福建"	"福建龙岩"	"72.25"	"中"	"上"	"--"	"3.8"	"甜,味浓"	"少核,优质,加工"	"0.31"	"小"	"11月中下"	"细嫩"	"中"	"--"	"GJLR0357"	"HUANG XIE 3 HAO"	"73.0"	"Citrus(柑橘属)"	"橙"	"中"	"6.84"	"50.15"
"259"	"Rutaceae(芸香科)"	"8.90"	"黄斜7号"	"福建"	"福建龙岩"	"73.27"	"中"	"上"	"--"	"4.1"	"甜,味浓"	"少核,优质,加工"	"0.83"	"小"	"11月中下"	"细嫩"	"中"	"--"	"GJLR0358"	"HUANG XIE 7 HAO"	"88.3"	"Citrus(柑橘属)"	"橙"	"中"	"7.22"	"52.25"
"260"	"Rutaceae(芸香科)"	"10.00"	"宜汉红桔"	"四川"	"四川宣汉"	"80.26"	"中"	"中上"	"--"	"3.1"	"酸甜,味较浓"	"少核,优质,鲜食"	"0.83"	"小"	"12月上中"	"细嫩"	"中"	"Citrus tangeruna Hort.(红橘)"	"GJLR0359"	"YI HAN HONG JIE"	"58.5"	"Citrus(柑橘属)"	"桔红"	"细"	"7.74"	"58.03"
"261"	"Rutaceae(芸香科)"	"10.50"	"石浦16号"	"浙江"	"浙江象山"	"68.81"	"较好"	"中上"	"--"	"--"	"偏甜,味浓,淡香"	"丰产,优质,鲜食"	"0.70"	"中小"	"11月上中"	"细软"	"中"	"--"	"GJLR0360"	"SHI PU 16 HAO"	"109.0"	"Citrus(柑橘属)"	"橙"	"中"	"--"	"53.21"
"262"	"Rutaceae(芸香科)"	"11.00"	"石浦73-3"	"浙江"	"浙江象山"	"70.87"	"较好"	"中"	"--"	"--"	"偏甜,味浓,淡香"	"加工,鲜食"	"0.63"	"中小"	"11月中下"	"较细"	"中"	"--"	"GJLR0361"	"SHI PU 73-3"	"127.0"	"Citrus(柑橘属)"	"橙"	"中"	"--"	"58.27"
"263"	"Rutaceae(芸香科)"	"11.00"	"青江(湖南)"	"湖南"	"湖南隆回"	"80.20"	"好"	"上"	"--"	"--"	"酸甜,味浓,淡香"	"优质,鲜食,加工"	"0.62"	"中大"	"11月上中"	"较细"	"中"	"--"	"GJLR0362"	"QING JIANG (HU NAN )"	"202.0"	"Citrus(柑橘属)"	"深橙"	"中"	"--"	"68.81"
"264"	"Rutaceae(芸香科)"	"9.50"	"川凤9-1"	"四川"	"成都凤凰山"	"68.43"	"较好"	"中上"	"--"	"0.5"	"适中"	"适宜制罐"	"1.65"	"中小"	"11月上中"	"软"	"中"	"--"	"GJLR0363"	"CHUAN FENG 9-1"	"114.0"	"Citrus(柑橘属)"	"深橙"	"中"	"--"	"51.25"
"265"	"Rutaceae(芸香科)"	"11.20"	"花叶温州"	"湖南"	"湖南武岗"	"76.66"	"中"	"中上"	"--"	"--"	"适中较浓"	"观赏"	"0.84"	"中"	"11月中"	"软"	"中"	"Citrus unshiu Marc.(温州蜜橘)"	"GJLR0364"	"HUA YE WEN ZHOU"	"187.5"	"Citrus(柑橘属)"	"橙"	"中"	"--"	"53.00"
"266"	"Rutaceae(芸香科)"	"9.50"	"江津酸橙"	"四川"	"四川江津"	"52.59"	"中"	"下"	"40.50"	"25.2"	"酸"	"药用"	"2.07"	"中"	"11月下"	"较软"	"中"	"Citrus aurantium L.(酸橙)"	"GJLA0365"	"JIANG JIN SUAN CHENG"	"197.0"	"Citrus(柑橘属)"	"橙"	"粗"	"5.14"	"26.74"
"267"	"Rutaceae(芸香科)"	"8.10"	"代代"	"四川"	"四川重庆"	"58.08"	"较差"	"下"	"28.90"	"15.2"	"酸"	"观赏,香料"	"3.85"	"中大"	"12月"	"较软"	"中"	"Citrus aurantium L.(酸橙)"	"GJLA0366"	"DAI DAI"	"236.0"	"Citrus(柑橘属)"	"橙红"	"粗"	"3.97"	"41.09"
"268"	"Rutaceae(芸香科)"	"9.00"	"真酸橙"	"江西"	"江西三湖"	"59.90"	"差"	"下"	"33.30"	"8.4"	"酸"	"药用"	"4.01"	"小"	"12月上"	"较软"	"中"	"Citrus aurantium L.(酸橙)"	"GJLA0367"	"ZHEN SUAN CHENG"	"87.0"	"Citrus(柑橘属)"	"橙红"	"粗"	"4.68"	"27.19"
"269"	"Rutaceae(芸香科)"	"7.20"	"兴山酸橙"	"湖北"	"湖北兴山"	"52.05"	"差"	"下"	"28.90"	"14.8"	"酸苦"	"药用"	"3.28"	"中小"	"12月上"	"较软"	"中"	"Citrus aurantium L.(酸橙)"	"GJLA0368"	"XING SHAN SUAN CHENG"	"137.0"	"Citrus(柑橘属)"	"浅橙"	"粗"	"3.88"	"35.81"
"270"	"Rutaceae(芸香科)"	"8.00"	"孝杂一号"	"湖北"	"湖北秭归"	"50.64"	"差"	"下"	"28.10"	"12.0"	"酸苦"	"--"	"3.30"	"中小"	"11月下"	"较软"	"中"	"Citrus aurantium L.(酸橙)"	"GJLA0369"	"XIAO ZA YI HAO"	"123.0"	"Citrus(柑橘属)"	"橙"	"粗"	"4.19"	"35.53"
"271"	"Rutaceae(芸香科)"	"7.20"	"枸头橙"	"浙江"	"浙江黄岩"	"60.58"	"较差"	"下"	"40.60"	"29.2"	"酸苦"	"耐盐,砧木"	"5.82"	"中小"	"11月下"	"较软"	"中"	"Citrus aurantium L.(酸橙)"	"GJLA0370"	"GOU TOU CHENG"	"115.0"	"Citrus(柑橘属)"	"黄"	"较粗"	"1.35"	"35.83"
"272"	"Rutaceae(芸香科)"	"8.40"	"小红橙"	"浙江"	"浙江黄岩"	"53.92"	"中"	"下"	"61.50"	"33.3"	"酸苦"	"砧木"	"2.59"	"中"	"11月下"	"较软"	"中"	"Citrus aurantium L.(酸橙)"	"GJLA0371"	"XIAO HONG CHENG"	"184.0"	"Citrus(柑橘属)"	"橙"	"很粗"	"5.87"	"36.14"
"273"	"Rutaceae(芸香科)"	"7.90"	"蚌柑"	"四川"	"四川江津"	"52.94"	"中"	"下"	"30.30"	"24.6"	"酸苦"	"较耐盐,砧木"	"3.37"	"中小"	"12月"	"较软"	"中"	"Citrus aurantium L.(酸橙)"	"GJLA0372"	"BANG GAN"	"148.0"	"Citrus(柑橘属)"	"浅橙"	"较细"	"3.94"	"35.59"
