"id"	"科名"	"保存编号"	"品种名称"	"类型"	"省"	"生育日数"	"分枝数"	"出油率"	"生理成熟期"	"开花期"	"播种期"	"学名"	"统一编号"	"出苗期"	"出麻率"	"属名"	"抗逆性"	"种子发芽"	"干茎产量"	"种皮色"	"工艺长度"	"单株朔果数"	"单株生产力"	"库编号"	"纤维产量"	"保存单位"	"原产地"	"种子来源"	"花色"	"品种代号"	"纤维强度"	"备注"	"原茎产量"	"抗病性"	"纤维号"	"千粒重"	"分茎数"	"译名"	"抗倒伏性"	"抗旱性"	"工艺成熟期"	"株高"	"种子产量"
"1261"	"Linaceae(亚麻科)"	"230"	"P.I.281472"	"油用"	"国外"	"83"	"3.10"	"--"	"--"	"--"	"--"	"Linum usitatissimum L.(亚麻)"	"00001830"	"--"	"--"	"Linum(亚麻属)"	"--"	"--"	"--"	"褐"	"25.0"	"25.50"	"--"	"I3B00778"	"--"	"河北坝上农科所"	"ARGENTINA"	"美国"	"兰"	"2308-1"	"--"	"--"	"--"	"高抗"	"--"	"6.18"	"1.6"	"P.I.281472"	"--"	"--"	"--"	"44.0"	"--"
"1262"	"Linaceae(亚麻科)"	"231"	"NO.11"	"油用"	"国外"	"84"	"2.40"	"--"	"--"	"--"	"--"	"Linum usitatissimum L.(亚麻)"	"00001831"	"--"	"--"	"Linum(亚麻属)"	"--"	"--"	"--"	"淡褐"	"19.0"	"16.60"	"--"	"I3B00779"	"--"	"河北坝上农科所"	"MOROCCO"	"美国"	"兰"	"1683"	"--"	"--"	"--"	"抗"	"--"	"6.70"	"0.7"	"NO.11"	"--"	"--"	"--"	"32.0"	"--"
"1263"	"Linaceae(亚麻科)"	"232"	"MESSENIAS 1598"	"油用"	"国外"	"100"	"2.50"	"--"	"--"	"--"	"--"	"Linum usitatissimum L.(亚麻)"	"00001832"	"--"	"--"	"Linum(亚麻属)"	"--"	"--"	"--"	"褐"	"18.0"	"24.00"	"--"	"I3B00780"	"--"	"河北坝上农科所"	"GREECE"	"美国"	"兰"	"2329"	"--"	"--"	"--"	"感"	"--"	"6.15"	"0.8"	"MESSENIAS 1598"	"--"	"--"	"--"	"36.0"	"--"
"1264"	"Linaceae(亚麻科)"	"233"	"NO.2105 PI 289083"	"油用"	"国外"	"84"	"2.80"	"--"	"--"	"--"	"--"	"Linum usitatissimum L.(亚麻)"	"00001833"	"--"	"--"	"Linum(亚麻属)"	"--"	"--"	"--"	"淡褐"	"16.0"	"18.40"	"--"	"I3B00781"	"--"	"河北坝上农科所"	"HUNGARYR"	"美国"	"兰"	"2347"	"--"	"--"	"--"	"感"	"--"	"8.01"	"0.4"	"NO.2105 PI 289083"	"--"	"--"	"--"	"31.0"	"--"
"1265"	"Linaceae(亚麻科)"	"234"	"NO.1048 PI 289088"	"油用"	"国外"	"97"	"2.40"	"--"	"--"	"--"	"--"	"Linum usitatissimum L.(亚麻)"	"00001834"	"--"	"--"	"Linum(亚麻属)"	"--"	"--"	"--"	"褐"	"23.0"	"27.80"	"--"	"I3B00782"	"--"	"河北坝上农科所"	"HUNGARYR"	"美国"	"兰"	"2352"	"--"	"--"	"--"	"感"	"--"	"7.41"	"1.2"	"NO.1048 PI 289088"	"--"	"--"	"--"	"45.0"	"--"
"1266"	"Linaceae(亚麻科)"	"235"	"NO.1049 PI 289089"	"油用"	"国外"	"97"	"2.00"	"--"	"--"	"--"	"--"	"Linum usitatissimum L.(亚麻)"	"00001835"	"--"	"--"	"Linum(亚麻属)"	"--"	"--"	"--"	"褐"	"30.0"	"30.80"	"--"	"I3B00783"	"--"	"河北坝上农科所"	"HUNGARYR"	"美国"	"兰"	"2353"	"--"	"--"	"--"	"抗"	"--"	"6.57"	"1.4"	"NO.1049 PI 289089"	"--"	"--"	"--"	"41.0"	"--"
"1267"	"Linaceae(亚麻科)"	"236"	"SZEGEDI AFA OLAT"	"油用"	"国外"	"85"	"3.40"	"--"	"--"	"--"	"--"	"Linum usitatissimum L.(亚麻)"	"00001836"	"--"	"--"	"Linum(亚麻属)"	"--"	"--"	"--"	"淡褐"	"26.0"	"20.80"	"--"	"I3B00784"	"--"	"河北坝上农科所"	"HUNGARYR"	"美国"	"兰"	"2355"	"--"	"--"	"--"	"感"	"--"	"5.82"	"0.3"	"SZEGEDI AFA OLAT"	"--"	"--"	"--"	"43.0"	"--"
"1268"	"Linaceae(亚麻科)"	"237"	"HOSSZAHATI 7022"	"油用"	"国外"	"83"	"2.80"	"--"	"--"	"--"	"--"	"Linum usitatissimum L.(亚麻)"	"00001837"	"--"	"--"	"Linum(亚麻属)"	"--"	"--"	"--"	"淡褐"	"23.0"	"25.00"	"--"	"I3B00785"	"--"	"河北坝上农科所"	"HUNGARYR"	"美国"	"兰"	"2361"	"--"	"--"	"--"	"感"	"--"	"5.68"	"0.8"	"HOSSZAHATI 7022"	"--"	"--"	"--"	"40.0"	"--"
"1269"	"Linaceae(亚麻科)"	"238"	"NO.129"	"油用"	"国外"	"87"	"2.10"	"--"	"--"	"--"	"--"	"Linum usitatissimum L.(亚麻)"	"00001838"	"--"	"--"	"Linum(亚麻属)"	"--"	"--"	"--"	"淡褐"	"19.0"	"20.70"	"--"	"I3B00786"	"--"	"河北坝上农科所"	"MOROCCO"	"美国"	"兰"	"1684"	"--"	"--"	"--"	"感"	"--"	"8.00"	"1.0"	"NO.129"	"--"	"--"	"--"	"36.0"	"--"
"1270"	"Linaceae(亚麻科)"	"239"	"NO.205"	"油用"	"国外"	"83"	"3.80"	"--"	"--"	"--"	"--"	"Linum usitatissimum L.(亚麻)"	"00001839"	"--"	"--"	"Linum(亚麻属)"	"--"	"--"	"--"	"淡褐"	"21.0"	"11.20"	"--"	"I3B00787"	"--"	"河北坝上农科所"	"MOROCCO"	"美国"	"兰"	"1685"	"--"	"--"	"--"	"感"	"--"	"8.25"	"0.5"	"NO.205"	"--"	"--"	"--"	"29.0"	"--"
"1271"	"Linaceae(亚麻科)"	"240"	"KARNOBAT"	"油用"	"国外"	"85"	"4.60"	"--"	"--"	"--"	"--"	"Linum usitatissimum L.(亚麻)"	"00001840"	"--"	"--"	"Linum(亚麻属)"	"--"	"--"	"--"	"褐"	"23.0"	"16.50"	"--"	"I3B00788"	"--"	"河北坝上农科所"	"HUNGARYR"	"美国"	"兰"	"2366"	"--"	"--"	"--"	"感"	"--"	"6.25"	"1.0"	"KARNOBAT"	"--"	"--"	"--"	"40.0"	"--"
"1272"	"Linaceae(亚麻科)"	"241"	"SIICILIANI OLAJ."	"兼用"	"国外"	"83"	"3.60"	"--"	"--"	"--"	"--"	"Linum usitatissimum L.(亚麻)"	"00001841"	"--"	"--"	"Linum(亚麻属)"	"--"	"--"	"--"	"褐"	"34.0"	"20.30"	"--"	"I3B00789"	"--"	"河北坝上农科所"	"HUNGARYR"	"美国"	"兰"	"2369"	"--"	"--"	"--"	"感"	"--"	"6.01"	"0.9"	"SIICILIANI OLAJ."	"--"	"--"	"--"	"52.0"	"--"
