"id"	"种质名称"	"种质小类"	"种质大类"	"种质类型"	"种质来源"	"优异性状"	"利用价值"	"评定等级"	"联系单位"
"212"	"郑果大无核"	"葡萄"	"果树"	"国外引进品种"	"80年代末河南省泛区农场职工由美国引入品种，原名为ThompsonSeedless。"	"果穗极在，为双歧肩圆锥形，穗长21.5cm，宽15.5cm。果粒着生紧密，较整齐；果粒大，椭圆形或近圆形，纵径1.8cm，横径1.5cm，平均粒重5.3克，最大粒重达7.0克以上，贮运性能极佳。是无核品种中果粒最大的品种。"	"郑果大无核，属欧亚种，是优良无核鲜食葡萄种质，平均粒重5.3克，是目前国内发现的果粒最大的无核品种，同时果肉硬脆，极耐贮运，尤其适合我国西北、华北地区种植，是很好的培育大粒无核葡萄的亲本材料，已利用其作父本，获得了杂交后代。已在河南、山东、山西、陕西、甘肃、新疆、吉林、内蒙古等地试种。评价等级："		"中国农业科学院郑州果树研究所"
"213"	"鄂花4号"	"花生"	"油料作物"	"育成品种"	"中国农科院油料所用红梅早X鄂花2号杂交选育而成"	"早熟，比对照（当地主栽品种）早熟4-9天；种子品质优良，含油量达55%以上，株型、果型、单株生产力等农艺性状好。"	"鄂花4号适应了花生生产上对早熟、优质、农艺性状好花生品种的要求。该种质提供广东、河南、四川等多个花生育种单位利用，已育成优良新品种或高代品系。"		"中国农科院油料所"
"214"	"金牡丹"	"茶树"	"茶桑"	"育成品种"	"福建省农业科学院茶叶研究所铁观音X黄金桂杂交后代鉴定筛选获得。"	"品质优异，耐冲泡，三年平均品质得分95.33分（铁观音91.00分）；制优率（95%）显著高于铁观音（70%）；开采期比铁观音早10天以上；产量比铁观音高30%以上；扦插与种植成活率90%以上；抗旱性、抗寒性、适应性强；生化成分与香气成分含量丰富，达到优异种质一级标准。"	"优异杂交种金牡丹的育成，表明乌龙茶品种品质遗传的重大难题可以解决，同时提供了品质优异且质优率高、早生、综合性状优良的有价值、新的育种材料。在茶区多年多点利用，表现突出。已育成新品种，待省级审定。评定等级："		"福建省农业科学院茶叶研究所"
"215"	"金花4号"	"梨"	"果树"	"突变体"	"四川省农学院与金川县协作金花梨芽变选出单系，经中国农业科学院果树所鉴定选育而获得。"	"果大、质优，外观好，品质上等，晚熟耐贮，对梨黑星病和轮纹病抗性强，丰产。"	"金花4号兼具多种优良性状，为晚熟梨出口创汇首选品种之一，可在我国白梨产区大力发展，尤其适宜在沙土地栽植；可作为大果耐贮型晚熟品种育种亲本，已有部分实生苗着果。目前全国已有13个省、自治区、直辖市引种试栽表现突出，在部分白梨产区已被列为晚熟耐贮梨更新换代的首选品种。“九五”期间，在辽宁、河北已发展200株。"		"中国农业科学院果树研究所"
"216"	"金黄10"	"桑树"	"茶桑"	"高代品系"	"日本引进种质金龙自然杂交后代鉴定筛选获得"	"综合性状表现优良，亩产叶量2210公斤,比湖桑32号高14.3%，亩桑产茧量147公斤，比湖桑32号高10.9%，黄化型萎缩病抗性优于湖桑32号。"	"可直接生产利用，对解决蚕桑生产上产叶量徘徊不前的难题起到关键作用。已在云南、黄河中下游、长江流域试栽，桑园单位面积产叶量提高10%以上。"		"中国农业科学院蚕业研究所"
"217"	"鉴8"	"水稻"	"主要作物"	"高代品系"	"用“中86-44为母本，广西药用野生稻为父本杂交、培养、选育而成。"	"该种质全生育期100天，单株有效穗18，结实率82.2%，产量高，高抗褐飞虱。"	"可在生产上直接利用，更可做抗虫育种亲本利用。"		"中国水稻研究所"
"218"	"铁丝麻"	"苎麻"	"棉麻"	"地方品种"	"湖南省耒阳县"	"株型紧凑，苗期生长快，茎叶茂盛，麻株生长整齐，均匀度好，一般亩产100公斤以上。原麻绿白色，手感柔软，锈脚短，高抗根腐线虫病，耐旱、耐寒性强。"	"株型和抗病性在育种上有利用价值。已育出有价值优良单蔸4个，均表现高抗根腐线虫病。"		"中国农科院麻类所"
"219"	"铁谷9号（91-117)"	"谷子"	"杂粮"	"育成品种"	"：铁岭市农科院作物所宁黄一号×铁7927杂交选育而成。"	"农艺性状良好；抗病，抗倒伏性强，含蛋白12.33%，脂肪4.47%，赖氨酸0.27%，直链淀粉13.54%；千粒重达到3.2克，属大粒特异品种。"	"适应东北、华北区种植。对解决谷子育种中亲本选择及生产品种产量低，品质差，特别是籽粒较小问题起到了一定作用，有关科研单位利用其育成一批优异高代品系。"		"辽宁省铁岭市农科院作物所"
"220"	"镇双1号"	"桑树"	"茶桑"	"突变体"	"浙江省地方品种双头桑经辐射诱变产生的突变体繁育而成。"	"综合性状表现优良，亩产叶量2164公斤，比湖桑32号高16.2%，亩桑产茧量142公斤，比湖桑32号高16.4%，黄化型萎缩病抗性与湖桑32号相当。"	"可直接生产利用，满足蚕桑生产对桑品种多元化的需求。已在长江流域、黄河中下游地区试栽，桑园单位面积产叶量提高10%以上。"		"中国农业科学院蚕业研究所"
"221"	"长伦占"	"水稻"	"主要作物"	"育成品种"		"综合性状优良，株型好，分蘖率强，单株有效穗14.1，结实率73.3%，田间抗病虫性强，米质的外观品质好。"	"可在生产上直接利用，也可供生物技术研究之用。"		"中国水稻研究所"
"222"	"陇春15号"	"小麦"	"主要作物"	"育成品种"	"用“750025”与“山前麦”杂交，选育而成。"	"综合农艺性状优良，高产，稳产，兼抗条锈和白粉病。"	"“陇春15号”1999年通过甘肃省农作物品种审定委员会审定，已直接推广利用。目前，在甘肃地区累计种植面积超过180万亩。对解决甘肃春麦区品种换代问题起了极为重要的作用。"		"中国农科院品资所"
"223"	"陕78(5A)4－8"	"小麦"	"主要作物"	"高代品系"	"用“74100”与“6811”杂交、选育而成。"	"大穗、大粒、灌浆速度快，综合农艺性状良好，早熟且熟相好，抗条锈病。"	"可用其做亲本培育高产、早熟，抗病新品种。原中科院西北植物研究所用该种质做亲本配制杂交组合，已获得F2，其优异性状在后代中表现突出。"		"中国农科院品资所"
"224"	"陕资1869"	"小麦"	"主要作物"	"高代品系"	"用“陕229”与“陕麦893”杂交，选育而成"	"综合农艺性状优良，高产，稳产，抗倒伏，适应范围广，田间综合抗病能力强，熟相好。"	"“陕资1869”是种质创新过程中的副产品，优点多而突出，缺点不明显，是一增产潜力较大的高产良种，可望在生产上直接利用。"		"中国农科院品资所"
"225"	"青大叶"	"苎麻"	"棉麻"	"地方品种"	"湖南省安仁县"	"株型紧凑，生长势强，植株整齐；三季麻平均单纤维支数1852支以上，纤维细度均匀；高抗根腐线虫病，抗花叶病；耐旱性强。"	"在优质、耐旱、抗病育种方面具重要利用价值。用其与“园叶青”杂交已育成有价值的优良单蔸5个，并开始扩繁，表现出高产、优质，高抗根腐线虫、花叶病的性状。"		"中国农科院麻类所"
"226"	"韩府红燃（2621)"	"黍稷"	"杂粮"	"地方品种"	"宁夏固原县"	"丰产性好，植株矮，抗倒伏，抗黑穗病，生育期66天，品质好。蛋白质、脂肪、赖氨酸含量均超过优异种质标准。"	"可直接生产推广，生育期特短，是救灾的好品种，世界优质，熟期短和抗病育种的好亲本。"		"山西农科院品资所"
"227"	"香玉1号"	"水稻"	"主要作物"	"育成品种"		"综合性状优良，米质优，达到国家部颁一级米标准，分蘖率强，产量高。"	"可在生产上直接利用，也可作为优质资源供育种和生物技术研究利用。"		"中国水稻研究所"
"228"	"驻86207（ZZM3414）"	"芝麻"	"油料作物"	"高代品系"	"河南驻马店市农科所培育的高代品系"	"高抗茎点枯病，抗枯萎病，耐渍，含油量高（初鉴含油量为57.55%），粒大色白，千粒重3.22克，种皮色泽洁白。"	"对抗芝麻茎点枯病和枯萎病育种具有重要价值，是一个抗病性强，优质，耐渍等综合性状优良的基因型种质。已提供河北、湖北省育种单位作杂交亲本利用，已选出稳定的优良高代品系。"		"中国农科院油料所"
"229"	"驻O44"	"芝麻"	"油料作物"	"高代品系"	"河南驻马店市农科所培育的杂交后代"	"高抗茎点枯病，抗枯萎病，大果大粒色白，千粒重达3-68克，种皮色泽洁白。"	"芝麻茎点枯病和枯萎病是主要病害，因缺少抗源芝麻抗病育种一直难以突破，该种质兼抗两种主要病害，且粒大色白，对培育抗病高产外贸和加工专用型品种有价值。已被用于杂交两系亲本和常规杂交亲本，并培育出优良高代品系。"		"中国农科院油料所"
"230"	"高蛋白温敏核不育系1290S"	"水稻"	"主要作物"	"高代品系"	"用W7415S与赣IS杂交选育而成。"	"高蛋白(含量达14.9%)，是不育性稳定的温敏核不育系，育性转换临界温度23.1℃。"	"可直接用于配制高蛋白且产量高的两系杂交早籼稻组合。"		"江西农科院水稻研究所"
"231"	"鲁薯3号"	"甘薯"	"薯类"	"育成品种"	"山东省烟台市农科院徐薯18X美国红杂交选育而成"	"高抗甘薯茎线虫病、高抗黑斑病、兼抗根腐病，在病区生产鉴定表现高产，薯块烘干率27.0%。"	"在甘薯茎线虫病病区可直接生产利用，解决病区甘薯难以种植减产的问题。国内已有育种单位利用该品种为杂交亲本培育出抗性品系。"		"中国农业科学院蚕业研究所"
"232"	"鲁资0863169"	"小麦"	"主要作物"	"高代品系"	"用“京双12”与“邯大35”杂交选育而成。"	"早熟、半矮秆、大穗、丰产、综合农艺性状良好。"	"做培育高产小麦新品种的亲本利用。河北省唐山市农科所用该种质做亲本，已获得F4，且优异性状在后代中表现突出。"		"中国农科院品资所"
"233"	"鲁资0863357(鲁资357)"	"小麦"	"主要作物"	"高代品系"	"用“掖选1号”与“16-11-100”杂交，系统选育而成。"	"大穗，大粒，丰产，综合农艺性状良好。"	"可作为培育高产小麦新品种的亲本加以利用。泰安市农科所利用该种质做亲本，已培育出稳定品系，且证明其优异性状遗传稳定。在齐河县直接利用，截止1998年累计种植面积5万亩。"		"中国农科院品资所"
"234"	"鲁资0874406(鲁资406)"	"小麦"	"主要作物"	"高代品系"	"用“掖选1号”与“16－11－100”杂交，系统选育而成。"	"大穗，大粒，丰产，综合农艺性状良好。"	"可作为培育高产小麦新品种的亲本加以利用。泰安市农科所用该种质做亲本，已培育出稳定品系。章邱市、济阳县、济阿县等地已直接在生产上利用，累计种植面积12万亩。"		"中国农科院品资所"
"235"	"鲁资0884131(鲁资131)"	"小麦"	"主要作物"	"高代品系"	"通过“冬杂1249／V.P.M.／／Moisson”复合杂交，选育而成。"	"综合农艺性状良好，抗条锈、叶锈、白粉、叶枯等病害，大穗。"	"该种质是培育高产、多抗小麦新品种的好亲本。福建省莆田市农科所用“鲁资131”做亲本，已培育一批高代品系。"		"中国农科院品资所"
"236"	"鲁资0885235(鲁资235)"	"小麦"	"主要作物"	"高代品系"	"用“西安大穗”与“76(38)0”杂交、系统选育而成。"	"大穗、大粒、矮秆、丰产、综合农艺性状良好。"	"做高产育种亲本利用之。河南省农科院小麦所用“鲁资235”做亲本，已培育出8个矮秆、大穗品系；福建省莆田市农科所用其做亲本，培育出一批高代品系。"		"中国农科院品资所"
"237"	"鲁资0895023(鲁资023)"	"小麦"	"主要作物"	"高代品系"	"用“京双12／邯大35／／77(2)2”复合杂交、选育而成。"	"大穗，早熟，半矮秆，丰产，综合性状良好。"	"做高产育种的亲本利用之。福建莆田市农科所用“鲁资023”做亲本，已培育出一批高代品系。"		"中国农科院品资所"
"238"	"麦611"	"小麦"	"主要作物"	"高代品系"	"通过八倍体小偃麦“中3”、“中4”与普通小麦复合杂交，选育而成。"	"高产，抗倒伏，耐高温，综合农艺性状优良，熟相好。"	"该种质具有“中间偃麦草”外源血统，不仅具有良好的丰产性，而且对目前流行的条锈病生理小种具有极强的抗病性，对扩大育种的遗传基础有重要价值。原陕西省农科院小麦研究中心用其做亲本，已获得F3，且优异性状在后代中表现突出。"		"中国农科院品资所"
"239"	"黄壳早"	"苎麻"	"棉麻"	"地方品种"	"湖南省沅江县"	"株型紧凑，生长势强，植株稳健；综合农艺性状好；抗炭疽病、立枯病；耐旱、耐瘠、抗风；适应性广，丰产性好，在肥水充足条件下亩产可在150公斤以上。"	"可作为高产、优质育种材料。利用该种质选育出新品种“湘苎1号”、“牛耳青”、“黔苎1号”等品种均表现出高产（150-200公斤/亩），优质（纤维支数2000支以上）。"		"中国农科院麻类所"
"240"	"黄岩二粒种"	"花生"	"油料作物"	"地方品种"	"浙江省东阳县"	"早熟，比对照（当地主栽品种）提早成熟4-9天，含油量高（55%以上）；株型、果型、单株生产力等农艺性状好。"	"早熟、优质、农艺性状好，符合生产上直接利用需要。利用其作亲本，在早熟优质花生育种中效果显著，广东、四川、河南等省花生育种单位已利用其作亲本育成新品种或高代品系。"		"中国农科院油料所"
"241"	"黄玫瑰"	"茶树"	"茶桑"	"育成品种"	"福建省农业科学院茶叶研究所杂交种黄观音与黄金桂的人工回交后代鉴定筛选获得。"	"品质优异，耐冲泡，三年平均品质得分95.00分（铁观音91.00分）；制优率（95%）显著高于铁观音（70%）；开采期比铁观音早10天以上；产量比铁观音高30%以上；抗寒性较强，扦插与种植成活率90%以上；抗旱性、应性强；生化成分与香气成分含量丰富，达到优异种质一级标准。"	"通过杂交一代与亲本回交，实现了高香优质、高产、高效乌龙茶品种的选育，对解决乌龙茶生产上急需调整品种结构、更新换代起到关键作用；同时提供了有价值的、新的育种材料。在茶区多年多点利用，表现突出。已育成新品种，待省级审定。评定等级："		"福建省农业科学院茶叶研究所"
"242"	"黄糜子（5272)"	"黍稷"	"杂粮"	"地方品种"	"陕西定边县"	"丰产性好，植株矮，抗倒伏。生育期68天，种子含蛋白质14.90%、脂肪3.00%、赖氨酸0.23%，高抗黑穗病。"	"在熟期、抗病，优质，丰产等方面都比较突出，是黍稷育种的好材料，也可在生产上直接利用。"		"中国农科院品资所"
"243"	"黄麻苎"	"苎麻"	"棉麻"	"地方品种"	"广东省保亭县"	"生长势强，麻株高大，丰产，产量一般为100公斤/亩；耐旱性强；不感花叶病；原麻淡绿色，手感柔软，斑疵少，锈脚短；纤维品质特优，单纤维支数2000支以上。"	"在抗病，生长势，纤维品质方面有重要利用价值。现利用其与“园叶青”杂交育成有价值的优良单蔸5个，均表现高产、优质性状。"		"中国农科院麻类所"
"244"	"黑农39号"	"大豆"	"主要作物"	"育成品种"	"用“绥农4”与“铁7518”杂交选育而成。"	"综合农艺性状优良，高抗SMV1号流行株系，高抗种粒斑驳，属于高固氮高光效品种。高产，稳产，配合力高。"	"该品种的推广对大豆产区病毒病的控制起到了良好的作用。在黑龙江省五常、宾县等地种植均表现高产，抗病。该品种遗传基础丰富可作为优良抗性亲本加以利用。作为高抗SMV1号亲本已配制杂交组合，选育出一大批高抗SMV1号株系的育种材料。"		"黑龙江省农科院育种所"
"245"	"黑珍米"	"水稻"	"主要作物"	"突变体"	"以Basmati370的成熟胚为材料，组织培养并选择而获紫黑米突变系-黑珍米。"	"种皮乌黑有光泽，紫色素含量高达2.6%，为一般黑米的3-5倍，蛋白质含量为13.29%，高于普通大米50%左右；矿物元系中硒的含量为普通大米的3.25倍。品质指标达部颁一级优质米标准。"	"可提取天然色素，紫色素基因转移至不育系培育紫米不育系，转移到推广品种或恢复系中，使紫黑米品种(组合)产量更高。"		"中国水稻研究所"
"246"	"黑皮蔸"	"苎麻"	"棉麻"	"地方品种"	"广西平乐县"	"为深根丛生型，抗旱性强，苗期生长势强，麻株生长整齐，纤维品质优异，单纤维支数达1900支；产量高，常年亩产150公斤以上；鲜皮出麻率高（12-13%）；耐旱、耐瘠薄，适应性广。"	"是广西的主栽地方品种，已在湖南、江西、四川等省推广。用其作亲本材料，已育成优质新品种“湘苎三号”、“华苎二号”、“湘苎六号”和“湘杂苎1号”。"		"中国农科院麻类所"
"247"	"齐318"	"玉米"	"主要作物"	"高代品系"	"山东农科院玉米所育成"	"综合性状优良，高抗丝黑穗病，茎腐病，抗小斑病，中抗灰斑病；抗倒伏，结实性好，籽粒品质好。"	"齐318自交系综合性状好，抗病，适应性强，配合力较高，可直接组配出能在生产上利用的优良品种，亦可将其作为自交系改良的优异亲本材料，有重要应用价值。以齐318为母本，原辐黄为父本已育成了中原单32号新品种一些单位利用该系与当地优良自交系进行了广泛测配，部分组合表现突出，有望用于生产。"		"中国农科院品资所"
"248"	"齐黄27号"	"大豆"	"主要作物"	"育成品种"	"山东省农科院作物所大豆室以鲁豆4号×40A杂交选育而成。"	"生育期平均为103天，有限结荚习性，落叶。抗倒伏，不裂荚，抗花叶病毒病。耐酸雨。蛋白质含量45.01%，含油19.16%。"	"可作为产量、蛋白质双高、耐酸雨优异材料。可在黄淮豆区推广种植。"		"山东省农科院作物所"
"249"	"龙94-705"	"大豆"	"主要作物"	"高代品系"	"农家种ZDD0309系选而成"	"综合农艺性状良好，蛋白质含量45.66%，脂肪含量17.04%，含铁量为50.19，比对照绥农14高17.8%。抗花叶病毒。"	"可直接生产利用。具有滋阴壮阳，补血气，养肝护肾功效对心脑血管患者有药用价值。"		"黑龙江省农科院育种所"
"250"	"龙品8807"	"大豆"	"主要作物"	"高代品系"	"ZYD355×黑逐35，通过回交选育而成。"	"龙品8807为栽培大豆与野生大豆种间杂交创新种质，遗传基础广泛，蛋白质含量48.29%，蛋白脂肪总含量高达66.16%，综合农艺性状好。"	"含有野生大豆遗传基因，拓宽了大豆育种遗传基础。"		"黑龙江省农科院育种所"
"251"	"龙辐90－81399(龙麦9号)"	"小麦"	"主要作物"	"育成品种"	"用“克86－534”的花药组织培养后，经辐射处理选育而成。"	"综合农艺性状优良，大穗，大粒，抗秆锈，抗根腐病，中抗赤霉病，熟相好。"	"可直接推广利用。对解决当时东北地区品种更新换代问题起了极为重要的作用。"		"中国农科院品资所"
"252"	"龙辐91B569(龙辐麦10号)"	"小麦"	"主要作物"	"育成品种"	"对“克87－183”在胚培养过程中通过γ射线处理，选育而成。"	"面包专用小麦，综合农艺性状优良，抗秆锈病，中抗根腐病，熟相好。"	"该种质为面包专用小麦，可以直接推广利用。对解决东北地区缺乏专用优质小麦品种问题起到了极为重要的作用。1996—1998年三年间，仅由资源工作者推荐利用的种植面积就达25余万亩。"		"中国农科院品资所"
