"id"	"种质名称"	"种质小类"	"种质大类"	"种质类型"	"种质来源"	"优异性状"	"利用价值"	"评定等级"	"联系单位"
"74"	"RG11"	"烟草"	"糖烟"	"国外引进品种"	"1995年从美国引进"	"株高125-130cm，叶数24-26片，生育期110天，适应性广，生长势强，易烘烤。亩产145-170公斤，上等烟35%，上中等烟96%以上，比对照增产7.1%,上中等烟提高14.5%。烤后原烟质量好，评吸香气足,质好，适于作高档卷烟原料。高抗黑胫病,抗青枯病和根结线虫病。"	"农艺性状好，适应性广，生长势强，成熟落黄好，易于烘烤，产量和质量均优于对照，在全国均可种植。在烟草育种上已广泛用作杂交亲本，并选出一批有希望的高代品系。"		"中国农科院烟草所"
"75"	"Rizzotto 
          264"	"水稻"	"主要作物"	"国外引进品种"	"从国际水稻所引进"	"大粒种质，千粒重为36.4g，全生育期114天。"	"做大粒亲本用于高产育种。"		"中国水稻研究所"
"76"	"S-096"	"大麦"	"杂粮"	"国外引进品种"	"从墨西哥玉米、小麦改良中心引进。"	"特大粒、千粒重高达65.6g，抗白粉病。"	"做高产和抗病育种的亲本加以利用。福建省农科院用该种质做亲本育成“闽麦02”，已通过品种审定，该品种千粒重达46-52g，增产10%，抗白粉病，推广面积达10万亩。上海市农科院育成“沪麦14”，审定推广10万亩，增产10%，以外还有育成的品系20余个，均表现千粒重复，有的高达60-65g，抗白粉病。"		"中国农科院品资所"
"77"	"SLG-1"	"水稻"	"主要作物"	"国外引进品种"	"从日本引进。"	"大粒品种，千粒重在杭州为59.4g，在北京为67.8g，最高年份达80g。"	"做大粒亲本用于高产育种。"		"中国水稻研究所"
"78"	"Suyin 21"	"大麦"	"杂粮"	"国外引进品种"	"从日本引进。"	"高抗大麦黄花叶病、白粉病免疫，中抗赤霉病，早熟，综合农艺性状较好。"	"做育种亲本利用。莆田市农科所用该种质做亲本育成“莆848104”，表现抗白粉病，综合性状好，参加长江流域品种区试，居第一位，正在扩大种植。"		"中国农科院品资所"
"79"	"Suyin24"	"大麦"	"杂粮"	"国外引进品种"	"从日本引进。"	"高抗大麦黄花叶病，白粉病免疫，抗赤霉病，早熟，综合农艺性状较好。"	"作为育种亲本利用。用“Suyin24”做亲本配制的杂交组合，在F4中选出8个抗大麦黄花叶病，穗多的株系。"		"中国农科院品资所"
"80"	"TN90"	"烟草"	"糖烟"	"国外引进品种"	"1995年从美国引进"	"株高160cm，叶数29片，生育期100天，亩产185.2公斤，上等烟34%，上中等烟93.5%，比对照增产9.7%，增收14.56%。自助烟香型风格显著，适宜作高档混合型卷烟的原料。高抗根黑腐病、野火病，中抗黑胫病。"	"农艺性状好，适应性广，易于调制，产量和质量均优于对照，抗多种病害，是目前国内白肋烟最好的品种，已在全国白肋烟区推广，由于具有较强配合力和遗传力，在白肋烟育种中被广泛利用。"		"中国农科院烟草所"
"81"	"VC2719A(D0811)"	"绿豆"	"杂粮"	"育成品种"	"中国农科院品资所1983年从亚蔬中心(AVRDC)引进，鉴定选育而成。"	"早熟，夏播生育期70天左右，植株直立抗倒伏，株高约55cm，单株结荚30个左右，结荚集中，成熟一致，不炸荚，荚黑色，长约10cm，籽粒碧绿有光泽，百粒重5.5-6.5克。种子含蛋白质24.5%-26.4%，淀粉50.0%左右。而旱(3级)，耐盐(3级)，抗叶斑病，适应性广，丰产稳产性好，一般亩产70-100公斤。"	"该种质丰产稳产，适应性广，集抗病、耐旱、耐盐、高蛋白为一体，在我国地方绿豆资源中实属罕见，是绿豆直接利用的优良品种，也是绿豆育种难得的优良亲本。目前除了大面积推广外，已用其作亲本，在河北，山东，山西育成一大批很有希望的新品系。"		"中国农科院品资所"
"82"	"W512"	"豇豆"	"蔬菜"	"高代品系"	"浙江省农业科学院园艺研究所红咀燕X紫血豇杂交后代经系统选育鉴定获得。"	"高抗黑眼豇豆花叶病毒病（BLCMV），抗煤霉病，耐秋后低温，商品荚耐贮运。"	"直接育成品种，在W512基础上育成的秋豇512品种，具有抗BLCMV、抗煤霉病、优质、适宜秋季栽培等优良特性，已在生产上较大面积推广应用，获得浙江省科技进步叁等奖。作为双抗的亲本抗源，育成紫秋豇6号，2000年通过浙江省品种认。"		"浙江省农业科学院园艺研究所"
"83"	"WHD-IS-75-1-127"	"水稻"	"主要作物"	"国外引进品种"	"从国际水稻所引进。"	"抗叶瘟达到0级水平。"	"可用于抗性育种和生物技术研究。"		"中国水稻研究所"
