"id"	"统一编号"	"品种名称"	"原产地"	"亲本来源"	"保存单位"	"保存编号"	"播种期"	"株高"	"穗位高"	"主茎叶片数"	"雄穗分枝数"	"抽丝日数"	"生育日数"	"双穗率"	"穗形"	"粒型"	"粒色"	"轴色"	"穗长"	"穗粗"	"穗行数"	"千粒重"	"地点"	"播种日期"	"株型"	"单株粒重"	"出籽率"	"大斑病"	"小斑病"	"黑穗病"	"花叶病"	"粗蛋白"	"粗脂肪"	"总淀粉"	"赖氨酸"
"26"	"231811"	"乌花包谷"	"丽江县"		"云南农科院品资站"	"1963"	"5/17"	"296"	"126"	"17"			"124"	"15.6"	"柱"	"马齿"	"乌花"	"白、红"	"17.8"	"4.7"	"8-12"	"524.0"	"昆明市"	"5.17"	"平展"	"157.5"	"83.0"	"MS"	"HS"	"S"	"S"	"11.8"	"4.72"	"69.18"	"0.270
"
"27"	"231829"	"白包谷"	"南华县"		"云南农科院品资站"	"1981"	"5/17"	"298"	"123"	"17"			"123"	"4.2"	"柱"	"中间"	"白"	"白"	"15.9"	"4.2"	"8-10"	"468.0"	"昆明市"	"5.17"	"平展"	"99.9"	"81.4"	"S"	"HS"	"S"	"S"	"10.6"	"4.56"	"70.39"	"0.243
"
"28"	"231877"	"糯玉米"	"墨江县"		"云南农科院品资站"	"1567"	"5/17"	"293"	"135"	"18"			"134"	"14.7"	"柱"	"糯质"	"花"	"白、红"	"14.7"	"4.9"	"10-14"	"353.0"	"昆明市"	"5.17"	"平展"	"85.9"	"82.8"	"HS"	"HS"	"S"	"S"	"12.42"	"5.61"	"70.71"	"0.314
"
"29"	"231882"	"白合 1"	"罗茨县"		"云南农科院品资站"	"1996"	"5/17"	"288"	"117"	"19"			"129"	"2.4"	"柱"	"中间"	"白"	"白"	"17.4"	"4.9"	"12-14"	"402.0"	"昆明市"	"5.17"	"平展"	"115.7"	"80.4"	"S"	"HS"	"R"	"S"	"11.97"	"5.28"	"68.67"	"0.263
"
"30"	"231889"	"白合 8"	"保山县"		"云南农科院品资站"	"2003"	"5/17"	"266"	"112"	"17"			"131"	"10.5"	"柱"	"中间"	"白"	"白"	"16.6"	"4.7"	"12-16"	"388.0"	"昆明市"	"5.17"	"平展"	"159.2"	"79.3"	"S"	"S"	"R"	"S"	"11.3"	"5.34"	"69.47"	"0.264
"
"31"	"231891"	"白合10"	"弥勒县"		"云南农科院品资站"	"2005"	"5/17"	"272"	"110"	"17"			"134"	"30.0"	"锥"	"偏马"	"白"	"白"	"18.2"	"4.8"	"12-14"	"390.0"	"昆明市"	"5.17"	"平展"	"155.6"	"78.8"	"HS"	"S"	"S"	"S"	"12.22"	"4.81"	"68.76"	"0.291
"
"32"	"231892"	"白合11"	"丘北县"		"云南农科院品资站"	"2006"	"5/17"	"274"	"123"	"18"			"139"	"8.3"	"柱"	"中间"	"白"	"白"	"17.1"	"4.9"	"12-18"	"382.0"	"昆明市"	"5.17"	"平展"	"134.9"	"80.2"	"HS"	"S"	"R"	"S"	"10.79"	"5.43"	"69.74"	"0.257
"
"33"	"0L010011"	"繁荣2"	"北京市"	"八道渠"	"北京市农科院作物所"		"5/9"	"170"	"60"	"20"	"中"	"71"	"120"	"80.0"	"柱"	"中间"	"白"	"白"	"14.0"	"3.2"	"8"	"254.0"	"北京市"	"5.09"	"上冲"	"80.0"	"80.0"		"MS"		"MR"	"12.85"	"4.41"	"68.69"	
"34"	"0L010035"	"中系042"	"北京"	"Across 774/HEO2"	"中国农科院作物所"	"Y92-09"	"4/29"	"145"	"55"	"19"	"中"	"85"	"122"	"3.0"	"柱"	"硬粒"	"黄"	"白"	"14.0"	"4.0"	"16"	"200.0"	"万全县"	"4.29"	"中间"										
"35"	"0L010049"	"中128"	"北京"	"中7490×尼2118"	"中国农科院作物所"	"Y92-23"	"5/9"	"165"	"65"	"22"	"多"	"64"	"115"	"2.0"	"锥"	"硬粒"	"桔黄"	"白"	"13.5"	"4.5"	"12-14"	"379.0"	"北京市"	"5.09"	"上冲"			"R"	"R"		"R"				
"36"	"0L010056"	"中黄64"	"北京"	"杂交种64"	"中国农科院作物所"		"4/27"	"210"	"95"	"18"	"中"	"78"	"122"	"3.0"	"柱"	"硬粒"	"黄"	"红"	"14.0"	"4.0"	"16"	"220.0"	"北京市"	"4.27"	"中间"	"125.0"	"89.0"								
"37"	"0L010063"	"早49"	"北京"	"Twxpeno×早22"	"中国农科院作物所"	"Y92-37"	"6/20"	"150"	"70"	"18"	"少"	"49"	"92"	"30.0"	"柱"	"马齿"	"黄"	"白"	"15.0"	"4.5"	"14"	"280.0"	"北京市"	"6.2"	"中间"	"60.0"	"85.0"								
"38"	"0L010102"	"中自05"	"北京市"	"PN78599"	"中国农科院作物所"		"4/27"	"167"	"70"	"17"		"81"	"127"	"3.0"	"柱"	"硬粒"	"黄"	"白"	"15.2"	"3.4"	"12"	"192.0"	"北京"	"4.25"	"上冲"	"100.0"	"84.0"	"MR"	"R"		"R"				
"39"	"0L030115"	"邢26"	"邢台所"	"黄61邢11金03"	"河北农科院作物所"		"6/7"	"170"	"94"	"21"	"Null"	"62"	"107"	"Null"	"柱"	"硬粒"	"黄"	"红"	"11.8"	"4.1"	"12-18"	"266.0"		"6.07"	"上冲"	"95.0"	"86.4"	"S"	"MS"	"HS"	"S"	"11.8"	"3.56"		
"40"	"0L040013"	"晋穗36"	"太原市"	"多穗×自330"	"山西农科院玉米所"	"省0013"	"4/29"	"173"	"75"	"23"	"8"	"87"	"120"	"50.0"	"柱"	"马齿"	"黄"	"白"	"14.0"	"4.4"	"18"	"185.0"	"忻州"	"4.29"				"MS"	"MS"	"HR"	"S"	"11.63"	"4.71"	"66.13"	"0.311
"
"41"	"0L040019"	"KH9"	"忻州市"	"晚抗群体"	"山西农科院玉米所"	"省0019"	"4/29"	"210"	"68"	"19"	"11"	"80"	"123"	"65.0"	"柱"	"偏马"	"黄"	"红"	"18.0"	"4.1"	"14"	"292.0"	"忻州"	"4.29"					"MS"		"S"	"11.63"	"4.11"	"70.37"	"0.237
"
"42"	"0L040021"	"KH15"	"忻州市"	"晚抗群体"	"山西农科院玉米所"	"省0021"	"4/29"	"185"	"50"	"19"	"10"	"78"	"127"	"50.0"	"柱"	"马齿"	"黄"	"红"	"17.0"	"4.2"	"14"	"325.0"	"忻州"	"4.29"											"0.233
"
"43"	"0L040052"	"晋穗 54"	"太原市"	"自330变异"	"山西农科院品资所"	"S106"	"4/29"	"190"	"106"	"15"		"95"	"140"	"50.0"	"锥"	"中间"	"黄"	"白"	"17.5"	"4.0"	"14"	"208.0"	"太原"	"4.29"	"上冲"	"84.0"	"79.0"	"MS"	"MS"	"HR"	"R"	"13.79"	"5.74"	"64.03"	"0.300
"
"44"	"0L040053"	"GB"	"太原市"	"天津白玉米"	"山西农科院品资所"	"S75"	"4/29"	"161"	"35"	"17"		"102"	"147"	"100.0"	"锥"	"爆裂"	"白"	"白"	"12.0"	"3.0"	"12"	"71.0"	"太原"	"4.29"	"平展"	"38.0"	"89.0"	"MS"	"MR"	"R"	"S"	"11.23"	"4.0"	"69.27"	"0.260
"
"45"	"0L040055"	"太系102"	"太原市"	"中系09×E28"	"山西农科院品资所"	"S108"	"4/29"	"140"	"75"	"16"		"99"	"119"	"2.0"	"柱"	"中间"	"黄"	"红"	"16.0"	"4.5"	"18"	"229.0"	"太原"	"4.29"	"上冲"	"84.0"	"73.0"	"S"	"MS"	"HR"	"S"	"12.88"	"4.15"	"67.31"	"0.296
"
"46"	"0L040074"	"南23-35"	"临汾市"	"SC704"	"山西农科院品资所"	"S131"	"4/29"	"185"	"74"	"18"		"95"	"133"	"22.0"	"柱"	"马齿"	"黄"	"红"	"16.3"	"4.9"	"14-16"	"308.0"	"太原"	"4.29"	"上冲"	"128.0"	"86.0"	"MS"	"R"	"HR"	"MR"	"11.61"	"4.26"	"70.72"	"0.275
"
