"id"	"保存编号"	"品种名称"	"叶色"	"叶柄肉质"	"生育期"	"抗逆性"	"风味"	"叶柄长"	"亩产"	"译名"	"备注"	"单株重"	"统一编号"	"保存单位"	"叶柄宽"	"抗病虫性"	"叶柄厚"	"种子来源"	"叶柄断面"	"株高"	"叶柄色"	"种质库编号"	"栽培季节"
"41"	"9-B10"	"岩门芹菜"	"绿"	"脆嫩"	"120"	"中"	"浓"	"45.0"	"3250"	"YAN MEN QIN CAI"	"--"	"50.0"	"V09B0096"	"湖南农科院蔬菜所"	"0.7"	"中"	"0.4"	"湖南洪江市"	"空心"	"58.0"	"浅绿"	"Ⅱ9B0118"	"8下-12下2"
"42"	"9-B27"	"会同芹菜"	"绿"	"中等"	"120"	"耐热弱"	"浓"	"45.0"	"3750"	"HUI TONG QIN CAI"	"--"	"150.0"	"V09B0097"	"湖南农科院蔬菜所"	"0.8"	"中"	"0.9"	"湖南会同县"	"空心"	"71.0"	"浅绿"	"Ⅱ9B0129"	"播7-9月收1-3月"
"43"	"9-B23"	"澧县芹菜"	"绿"	"中等"	"120"	"中"	"淡"	"35.0"	"3750"	"LI XIAN QIN CAI"	"--"	"260.0"	"V09B0113"	"湖南农科院蔬菜所"	"0.9"	"强"	"0.8"	"湖南澧县"	"空心"	"48.0"	"浅绿"	"Ⅱ9B0125"	"8下-12下2"
"44"	"78-0-3"	"白药芹"	"浅绿"	"--"	"80"	"强"	"浓"	"354.0"	"1375"	"BAI YAO QIN"	"--"	"185.0"	"V09B0114"	"江苏农科院蔬菜所"	"0.9"	"强"	"0.7"	"江苏"	"空心"	"61.0"	"浅绿"	"Ⅱ9B0023"	"10月-11月下至3月上"
"45"	"78-0-3"	"青药芹"	"绿"	"--"	"100"	"耐热耐湿"	"浓"	"37.2"	"1375"	"QING YAO QIN"	"--"	"185.0"	"V09B0115"	"江苏农科院蔬菜所"	"0.9"	"--"	"0.7"	"江苏常州市"	"空心"	"59.5"	"绿"	"Ⅱ9B0138"	"7上-7下"
"46"	"79-12-9"	"实心芹"	"深绿"	"--"	"100"	"耐热"	"淡"	"32.4"	"1250"	"SHI XIN QIN"	"--"	"155.0"	"V09B0116"	"江苏农科院蔬菜所"	"0.8"	"--"	"0.6"	"江苏连云港市"	"实心"	"52.5"	"浅绿"	"Ⅱ9B0170"	"6下-7中"
"47"	"80-1-19"	"蒲芹"	"绿"	"--"	"110"	"强"	"浓"	"35.0"	"1250"	"PU QIN"	"--"	"165.0"	"V09B0117"	"江苏农科院蔬菜所"	"0.8"	"强"	"0.6"	"江苏南京市"	"空心"	"62.0"	"绿"	"Ⅱ9B0042"	"7月下-11月下"
"48"	"内9B008"	"开鲁空心芹菜"	"绿"	"中等"	"125"	"弱"	"中"	"42.5"	"3250"	"KAI LU KONG XIN QIN CAI"	"地方品种"	"61.5"	"V09B0130"	"内蒙农科院蔬菜所"	"0.8"	"强"	"0.6"	"内蒙赤峰市"	"空心"	"65.0"	"浅绿"	"Ⅱ9B0232"	"6上-8上中"
"49"	"内9B004"	"赤峰实心芹菜"	"绿"	"中等"	"125"	"强"	"中"	"29.0"	"2125"	"CHI FENG SHI XIN QIN CAI"	"地方品种"	"65.0"	"V09B0131"	"内蒙农科院蔬菜所"	"0.9"	"中"	"0.7"	"内蒙赤峰市"	"实心"	"55.0"	"浅绿"	"Ⅱ9B0230"	"6上-8中"
"50"	"内9B005"	"西芹菜"	"绿"	"中等"	"125"	"中"	"中"	"35.5"	"3000"	"XI QIN CAI"	"地方品种"	"81.5"	"V09B0132"	"内蒙农科院蔬菜所"	"0.8"	"弱"	"0.7"	"内蒙赤峰市"	"实心"	"57.5"	"浅绿"	"Ⅱ9B0231"	"6上-8中"
"51"	"内9B001"	"多伦实杆芹菜"	"绿"	"脆嫩"	"145"	"较强"	"浓"	"32.0"	"4500"	"DUO LUN SHI GAN QIN CAI"	"地方品种"	"66.0"	"V09B0133"	"内蒙农科院蔬菜所"	"0.8"	"中"	"0.6"	"内蒙多伦县"	"实心"	"55.0"	"浅绿"	"Ⅱ9B0228"	"6中-9中"
"52"	"内9B003"	"呼市实杆芹菜"	"绿"	"脆嫩"	"135"	"强"	"浓"	"31.0"	"2750"	"HU SHI SHI GAN QIN CAI"	"地方品种"	"62.5"	"V09B0134"	"内蒙农科院蔬菜所"	"0.9"	"弱"	"0.8"	"内蒙呼和浩特市"	"实心"	"48.5"	"浅绿"	"Ⅱ9B0229"	"6中-8下"
"53"	"9B22"	"芹菜"	"绿"	"脆嫩"	"95"	"--"	"中"	"60.0"	"5000"	"QIN CAI"	"--"	"50.0"	"V09B0148"	"山东农科院蔬菜所"	"1.0"	"--"	"0.5"	"山东宁阳县"	"--"	"41.0"	"深绿"	"Ⅱ9B0214"	"7中-10下"
