"id"	"品种名称"	"代表品种"	"来源"
"171"	"序366"		"由中国科学院遗传研究所从辽源1号杂交种中自交选育而成。"
"172"	"604一1"		"由中国科学院遗传研究所从辽巨 × 438－1中自交选育而成。"
"173"	"13"		"北京市农林科学院玉米研究中心从西玉3号中选株自交而成。"
"174"	"多白18"	"承玉2号"	
"175"	"吉856"	"吉单 165、吉单 302、吉单177、"	"吉林省农业科学院玉米研究所从黄早四 × 330材料中，于 1986年在公主岭选育而成。"
"176"	"旅28"	"丹玉 1号、丹玉 6号、丹玉 9号、丹玉"	"由辽宁省丹东市农业科学院用农家品种旅大红骨选择单株自交6代，于1960年育成。"
"177"	"旅 9宽"	"丹玉 11号、铁单8号、铁单11号"	"由辽宁省丹东市农业科学院罗登理、邱景煜等，从农家种旅大红骨经自交育成的旅9中选出变异株，于1975年培育"
"178"	"E28"	"丹玉13号、丹玉17号、丹玉 18号、丹"	"丹东市农科院吴纪昌等以 A619Ht为抗源与旅9宽杂交，用旅9宽回交三代，连续自交二代，于1979年选育而成。"
"179"	"辽巨311"	"辽原一号。"	"辽宁省农业科学院原子能所陈庆华等以辽巨综群体为来源，于1981年选育而成。"
"180"	"辽白371"	"辽原1号"	"辽宁省农业科学研究院原子能所陈庆华等选自原始材料“大白粒”中的二环系，于1981年育成。"
"181"	"丹黄02"	"丹玉 16号、丹 710"	"丹东市农业科学院吴纪昌、陈刚、张铁一等人1977年在海南岛以旅28、旅9宽、大秋36、旅11、哈24-4、哈24-1、"
"182"	"丹340"	"丹玉15号、掖单13号、吉单159、铁单"	"丹东市农业科学院周宝林等利用白轴旅 9（24行）×野生近缘属有稃玉米，经钴60辐射处理后选优自交，于1986年"
"183"	"丹341"	"丹玉 20号、有丹 3034、沈试30、"	"丹东市农业科学院景希强、何晶等人1983年冬在海南岛用5003×561-1・332－2・门・B・330与粗团混粉后自交 6"
"184"	"辽7352"	"辽单 22号"	"辽宁省农业科学院玉米研究所李明德等以回交种（辽轮 973 ×辽 752）/辽轮973为来源，于1989年12月选育而成"
"185"	"辽2309"	"辽单27号"	"辽宁省农业科学院玉米研究所徐乐澜等由美国先锋杂交种78613(op）连续自交多代，于1994年12月选育而成。"
"186"	"辽2345"	"辽单 24号"	"辽宁省农业科学院玉米研究所徐乐澜等由7922 ×5003连续自交多代，在辽宁省沈阳市于1994年12月选育而成。"
"187"	"丹 598"	"丹 2100"	"是辽宁省丹东市农业科学院于1995年育成该自交系。主要选育人有陈刚、王孝杰。王作英、孙义、刘波等。"
"189"	"5003"	"沈单7号、晋单27号、农大60、沈单4号"	"系辽宁省沈阳农业科学院利用美国3147杂交种经多代连续自交选育成的二环系。"
"190"	"N29"		"由辽宁省铁岭市农业科学院育成。"
"191"	"7922"	"铁单9、四密 25、沈单 9、丹玉 20"	"由辽宁省铁岭市农业科学院从美国杂交种3382材料中选育而成。"
"192"	"冀53"	"，冀丰 58，忻黄单 71，5005 ×"	"该自交系是河北省农林科学院粮油作物研究所高楷于1993年用冀群2Co－2为材料，经多年自交选育而成。"
"193"	"H78"		"由河此省唐山市农业科学研究所育成。"
"194"	"旱21"	"晋单 33号"	"由山西省农业科学院玉米研究所（所址在忻州市）抗旱玉米研究室黄述祖等人于1990年7月选育而成。"
"195"	"33"	"屯玉 3号"	"由育种专家周宝林在山西省留屯县屯五种业集团玉米研究所于1993年育成。"
"196"	"中72"	"屯玉 1号、屯玉 2号"	"由山西省屯留县屯五种业集团玉米研究所从美国坚秆群体中选育而成。"
"197"	"辐 80"	"屯玉 1号"	"山西省屯留县屯玉种业集团玉米研究所以旅9（24）行×有稃玉米为材料，经辐射诱变后多代选育而成。"
"198"	"U8112"	"掖单4号、冀单27号。"	"山东省莱州市农科所1981年从美国商品玉米中分离选育而成。"
"199"	"515"	"掖单12号。"	"山东省西由种子公司从（华风 100×矮 Go352）×黄早四中选育而成。"
"200"	"郑 32"	"郑单8号。"	"河南省农业科学院1979年从美国单交种3382中经单株选优，连续自交育成。"
"201"	"郑22"	"郑单14号。"	"河南省农业科学院粮食作物研究所从“丹340×E28”杂交后代中于1993年选育出，是二环系。该自交系分A和B两个"
"202"	"木6"	"楚单2号"	"该系由云南省曲靖地区种子公司育成。"
"203"	"444"	"四单19、四单29、四单154、四单10"	"吉林省四平农业科学院玉米研究所以A619×黄早4为基础，经连续6年自交于1990年选育而成。"
"204"	"4F1"	"四早6号、四早4号"	"吉林省四平市农科院玉米研究所把Mo17经辐射处理后，于1986年在公主岭选育而成。"
"205"	"434"	"四早6"	"四平市农业科学院玉米研究所于1986年从466×桦94材料中选育而成。"
