"id"	"统一编号"	"保存单位"	"品种名称"	"系谱"	"来源"	"芒"	"壳色"	"粒色"	"冬春性"	"成熟期"	"穗粒数"	"穗长"	"株高"	"千粒重"	"粗蛋白"	"省份"
"304"	"ZM013945"	"晋0438"	"太原95"	"北京5号/石观104"	"山西省农科院遗传所"	"顶"	"白"	"白"	"冬"	"中晚"	"23"	"6"	"62"	"30.8"	"17.25"	"山西
"
"305"	"ZM013946"	"晋0439"	"太原107"	"北京5号/石观104"	"山西省农科院遗传所"	"顶"	"白"	"白"	"冬"	"中"	"37"	"12"	"76"	"37.8"	"18.35"	"山西
"
"306"	"ZM013947"	"晋0440"	"太原109"	"太原633/株73"	"山西省农科院遗传所"	"顶"	"白"	"白"	"冬"	"早"	"24"	"9"	"108"	"40.1"	"16.18"	"山西
"
"307"	"ZM013948"	"晋0441"	"太原110"	"太原691/6406"	"山西省农科院遗传所"	"长"	"白"	"红"	"冬"	"中"	"42"	"7"	"74"	"31.7"	"16.33"	"山西
"
"308"	"ZM013949"	"晋0442"	"太原110-4"	"太原691/6406"	"山西省农科院遗传所"	"长"	"白"	"红"	"冬"	"中"	"35"	"8"	"81"	"39.6"	"17.64"	"山西
"
"309"	"ZM013950"	"晋0443"	"太原113"	"北京5号/石观104"	"山西省农科院遗传所"	"长"	"白"	"白"	"冬"	"中晚"	"45"	"9"	"102"	"44.2"	"18.64"	"山西
"
"310"	"ZM013951"	"晋0444"	"太原116-7"	"胜利麦/1817//铭贤169"	"山西省农科院遗传所"	"顶"	"白"	"白"	"冬"	"中"	"33"	"9"	"98"	"32.9"	"16.95"	"山西
"
"311"	"ZM013952"	"晋0445"	"太原118"	"农大183/尤皮Ⅱ"	"山西省农科院遗传所"	"顶"	"白"	"白"	"冬"	"中晚"	"31"	"9"	"89"	"32.7"	"17.73"	"山西
"
"312"	"ZM013953"	"晋0446"	"太原122"	"太原110/太原633"	"山西省农科院遗传所"	"长"	"白"	"白"	"冬"	"早"	"41"	"8"	"90"	"36.5"	"15.83"	"山西
"
"313"	"ZM013955"	"晋0448"	"太原131"	"大辐34/6520"	"山西省农科院遗传所"	"长"	"白"	"红"	"冬"	"中"	"32"	"10"	"83"	"34.2"	"16.04"	"山西
"
"314"	"ZM013956"	"晋0449"	"太原132"	"太原110/大原633"	"山西省农科院遗传所"	"长"	"白"	"白"	"冬"	"早"	"46"	"8"	"104"	"37.2"	"16.05"	"山西
"
"315"	"ZM013957"	"晋0450"	"太原136"	"忻冬矮2号/太原85"	"山西省农科院遗传所"	"长"	"白"	"白"	"冬"	"中"	"45"	"8"	"78"	"33.7"	"16.38"	"山西
"
"316"	"ZM013958"	"晋0451"	"太原142"	"9701/74143"	"山西省农科院遗传所"	"长"	"白"	"白"	"冬"	"早"	"27"	"8"	"99"	"26.5"	"15.8"	"山西
"
"317"	"ZM013959"	"晋0452"	"太原190"	"6602/太原849"	"山西省农科院遗传所"	"长"	"白"	"白"	"冬"	"早"	"38"	"9"	"101"	"38"	"16.54"	"山西
"
"318"	"ZM013960"	"晋0453"	"太原196"	"太原110/太原843"	"山西省农科院遗传所"	"长"	"白"	"白"	"冬"	"早"	"48"	"7"	"95"	"33"	"14.46"	"山西
"
"319"	"ZM013961"	"晋0454"	"太原204"	"太原116/马达连那"	"山西省农科院遗传所"	"长"	"白"	"白"	"冬"	"早"	"35"	"10"	"118"	"38"	"15.96"	"山西
"
"320"	"ZM013962"	"晋0455"	"太原215"	"太原116/太原843"	"山西省农科院遗传所"	"长"	"白"	"红"	"冬"	"中晚"	"45"	"9"	"103"	"33.3"	"17.07"	"山西
"
