"id"	"成熟期"	"科名"	"种子含油率"	"产地或来源"	"库编号"	"单株果球数"	"千粒重"	"壳型"	"统一编号"	"出苗期"	"省"	"亚油酸"	"皮壳率"	"译名"	"叶缘"	"品种名称"	"苞片有无刺"	"播种期"	"学名"	"单位编号"	"保存单位"	"属名"	"抗逆性"	"叶片有无刺"	"选育方法"	"株高"	"花色"
"1108"	"4/9"	"Compositae(菊科)"	"29.47"	"印度"	"I4E00751"	"26"	"52.0"	"条纹"	"WHH01328"	"10/24"	"国外"	"--"	"33.3"	"PI 305220"	"锯齿"	"PI 305220"	"多"	"9/21"	"Carthamus tinctorius L.(红花)"	"93w256"	"云南省农科院油料所"	"Carthamus(红花属)"	"--"	"中"	"引种"	"145.0"	"桔黄"
"1109"	"4/9"	"Compositae(菊科)"	"33.34"	"苏丹"	"I4E00752"	"11"	"55.0"	"普通"	"WHH01329"	"10/26"	"国外"	"--"	"40.0"	"PI 305524"	"锯齿"	"PI 305524"	"多"	"9/21"	"Carthamus tinctorius L.(红花)"	"93w698"	"云南省农科院油料所"	"Carthamus(红花属)"	"--"	"多"	"引种"	"128.0"	"桔黄"
"1110"	"4/12"	"Compositae(菊科)"	"38.26"	"苏丹"	"I4E00753"	"29"	"45.0"	"普通"	"WHH01330"	"10/24"	"国外"	"--"	"47.4"	"PI 305534"	"锯齿"	"PI 305534"	"多"	"9/21"	"Carthamus tinctorius L.(红花)"	"93w699"	"云南省农科院油料所"	"Carthamus(红花属)"	"--"	"中"	"引种"	"155.0"	"黄"
"1111"	"4/13"	"Compositae(菊科)"	"25.02"	"埃及"	"I4E00754"	"33"	"76.0"	"普通"	"WHH01331"	"10/23"	"国外"	"--"	"49.0"	"PI 306593"	"锯齿"	"PI 306593"	"多"	"9/21"	"Carthamus tinctorius L.(红花)"	"93w257"	"云南省农科院油料所"	"Carthamus(红花属)"	"--"	"中"	"引种"	"157.0"	"黄"
"1112"	"4/20"	"Compositae(菊科)"	"24.91"	"埃及"	"I4E00755"	"18"	"59.0"	"普通"	"WHH01332"	"10/25"	"国外"	"--"	"53.8"	"PI 306603"	"锯齿"	"PI 306603"	"中"	"9/21"	"Carthamus tinctorius L.(红花)"	"93w258"	"云南省农科院油料所"	"Carthamus(红花属)"	"--"	"中"	"引种"	"139.0"	"桔黄"
"1113"	"4/20"	"Compositae(菊科)"	"34.10"	"以色列"	"I4E00756"	"45"	"44.0"	"普通"	"WHH01333"	"10/25"	"国外"	"--"	"57.6"	"PI 306686"	"锯齿"	"PI 306686"	"多"	"9/21"	"Carthamus tinctorius L.(红花)"	"93w259"	"云南省农科院油料所"	"Carthamus(红花属)"	"--"	"中"	"引种"	"167.0"	"黄"
"1114"	"4/10"	"Compositae(菊科)"	"26.10"	"印度"	"I4E00757"	"39"	"64.0"	"普通"	"WHH01334"	"10/23"	"国外"	"--"	"44.4"	"PI 306821"	"锯齿"	"PI 306821"	"多"	"9/21"	"Carthamus tinctorius L.(红花)"	"93w260"	"云南省农科院油料所"	"Carthamus(红花属)"	"--"	"中"	"引种"	"168.0"	"白"
"1115"	"4/18"	"Compositae(菊科)"	"27.18"	"印度"	"I4E00758"	"25"	"59.0"	"普通"	"WHH01335"	"10/24"	"国外"	"--"	"50.0"	"PI 306827"	"锯齿"	"PI 306827"	"多"	"9/21"	"Carthamus tinctorius L.(红花)"	"93w261"	"云南省农科院油料所"	"Carthamus(红花属)"	"--"	"中"	"引种"	"160.0"	"黄"
"1116"	"4/18"	"Compositae(菊科)"	"30.20"	"印度"	"I4E00759"	"20"	"79.0"	"普通"	"WHH01336"	"10/25"	"国外"	"--"	"50.0"	"PI 306828"	"全缘"	"PI 306828"	"无"	"9/21"	"Carthamus tinctorius L.(红花)"	"93w262"	"云南省农科院油料所"	"Carthamus(红花属)"	"--"	"无"	"引种"	"152.0"	"桔黄"
"1117"	"4/18"	"Compositae(菊科)"	"24.04"	"印度"	"I4E00760"	"48"	"78.0"	"普通"	"WHH01337"	"10/23"	"国外"	"--"	"45.4"	"PI 306829"	"锯齿"	"PI 306829"	"多"	"9/21"	"Carthamus tinctorius L.(红花)"	"93w263"	"云南省农科院油料所"	"Carthamus(红花属)"	"--"	"中"	"引种"	"160.0"	"桔黄"
"1118"	"4/18"	"Compositae(菊科)"	"27.45"	"印度"	"I4E00761"	"32"	"54.0"	"条纹"	"WHH01338"	"10/24"	"国外"	"--"	"42.8"	"PI 306833"	"锯齿"	"PI 306833"	"多"	"9/21"	"Carthamus tinctorius L.(红花)"	"93w264"	"云南省农科院油料所"	"Carthamus(红花属)"	"--"	"中"	"引种"	"166.0"	"黄"
"1119"	"4/7"	"Compositae(菊科)"	"27.55"	"印度"	"I4E00762"	"41"	"46.0"	"普通"	"WHH01339"	"10/24"	"国外"	"--"	"55.6"	"PI 306849"	"锯齿"	"PI 306849"	"多"	"9/21"	"Carthamus tinctorius L.(红花)"	"93w266"	"云南省农科院油料所"	"Carthamus(红花属)"	"--"	"中"	"引种"	"141.0"	"桔黄"
"1120"	"4/17"	"Compositae(菊科)"	"27.60"	"印度"	"I4E00763"	"26"	"75.0"	"条纹"	"WHH01340"	"10/24"	"国外"	"--"	"58.3"	"PI 306897"	"锯齿"	"PI 306897"	"多"	"9/21"	"Carthamus tinctorius L.(红花)"	"93w267"	"云南省农科院油料所"	"Carthamus(红花属)"	"--"	"中"	"引种"	"160.0"	"黄"
"1121"	"4/17"	"Compositae(菊科)"	"28.49"	"印度"	"I4E00764"	"80"	"63.0"	"条纹"	"WHH01341"	"10/23"	"国外"	"--"	"50.0"	"PI 306904"	"锯齿"	"PI 306904"	"多"	"9/21"	"Carthamus tinctorius L.(红花)"	"93w268"	"云南省农科院油料所"	"Carthamus(红花属)"	"--"	"中"	"引种"	"160.0"	"桔黄"
"1122"	"4/18"	"Compositae(菊科)"	"27.80"	"印度"	"I4E00765"	"32"	"51.0"	"普通"	"WHH01342"	"10/27"	"国外"	"--"	"37.5"	"PI 306911"	"锯齿"	"PI 306911"	"多"	"9/21"	"Carthamus tinctorius L.(红花)"	"93w269"	"云南省农科院油料所"	"Carthamus(红花属)"	"--"	"中"	"引种"	"155.0"	"桔黄"
"1123"	"4/18"	"Compositae(菊科)"	"28.88"	"印度"	"I4E00766"	"28"	"63.0"	"条纹"	"WHH01343"	"10/23"	"国外"	"--"	"28.6"	"PI 306950"	"锯齿"	"PI 306950"	"多"	"9/21"	"Carthamus tinctorius L.(红花)"	"93w270"	"云南省农科院油料所"	"Carthamus(红花属)"	"--"	"中"	"引种"	"153.0"	"白"
"1124"	"4/8"	"Compositae(菊科)"	"25.12"	"印度"	"I4E00767"	"15"	"77.0"	"条纹"	"WHH01344"	"10/24"	"国外"	"--"	"45.4"	"PI 306978"	"锯齿"	"PI 306978"	"多"	"9/21"	"Carthamus tinctorius L.(红花)"	"93w271"	"云南省农科院油料所"	"Carthamus(红花属)"	"--"	"中"	"引种"	"126.0"	"桔黄"
