"id"	"熟性"	"保存编号"	"品种名称"	"生长习性"	"译名"	"单瓜重"	"生育期"	"瓜面腊粉"	"分枝性"	"抗病虫性"	"商瓜皮色"	"老瓜次色"	"叶形"	"风味"	"老瓜斑纹"	"亩产"	"老瓜皮色"	"备注"	"瓜形"	"瓜刺多少"	"肉质"	"雌首花节位"	"统一编号"	"保存单位"	"抗逆性"	"种质库编号"	"种子来源"	"商瓜次色"	"栽培季节"	"商瓜斑纹"	"瓜棱形状"
"11"	"中"	"88-FW-17"	"福州郊区新店芋瓠"	"攀援蔓生"	"FU ZHOU JIAO QU XIN DIAN YU HU"	"1.0"	"65"	"--"	"强"	"抗"	"绿"	"--"	"掌状"	"微甜"	"--"	"1000"	"褐色"	"--"	"圆柱形"	"--"	"软"	"2"	"V05I0011"	"福州市蔬菜科研所"	"中"	"Ⅱ5G0036"	"福建福清县"	"--"	"3上-5上"	"--"	"--"
"12"	"晚"	"89-FW-33"	"城门清富腿瓠"	"攀援蔓生"	"CHENG MEN QING FU TUI HU"	"3.8"	"110"	"--"	"强"	"抗"	"绿"	"--"	"掌状"	"--"	"--"	"2500"	"奶油色"	"--"	"圆柱形"	"--"	"软"	"1"	"V05I0012"	"福州市蔬菜科研所"	"强"	"Ⅱ5G0134"	"福建福州市"	"--"	"3上-4中,6上-11上"	"--"	"--"
"13"	"早"	"89-FW-43"	"福州小葫芦"	"攀援蔓生"	"FU ZHOU XIAO HU LU"	"0.1"	"100"	"--"	"强"	"抗"	"绿"	"--"	"掌状"	"--"	"--"	"--"	"奶油色"	"--"	"梨形"	"--"	"疏松中"	"17"	"V05I0013"	"福州市蔬菜科研所"	"强"	"Ⅱ5G0142"	"福建福州市"	"--"	"3上-4,5-8"	"--"	"--"
"14"	"早"	"88-FW-14"	"福州本地义序芋瓠瓜"	"攀援蔓生"	"FU ZHOU BEN DI YI XU YU HU GUA"	"0.9"	"60"	"--"	"强"	"中"	"绿"	"--"	"掌状"	"--"	"--"	"750"	"奶油色"	"--"	"圆柱形"	"--"	"软"	"2"	"V05I0014"	"福州市蔬菜科研所"	"中"	"Ⅱ5G0035"	"福建福州市"	"--"	"2中-4上,5上-7上"	"--"	"--"
"15"	"中"	"88-FW-15"	"福州郊区腿蒲"	"攀援蔓生"	"FU ZHOU JIAO QU TUI PU"	"2.3"	"93"	"--"	"强"	"抗"	"绿"	"--"	"掌状"	"微甜"	"--"	"2000"	"绿色"	"--"	"圆柱形"	"--"	"--"	"1"	"V05I0015"	"福州市蔬菜科研所"	"强"	"Ⅱ5G0037"	"福建福州市"	"--"	"2中-6中"	"--"	"--"
"16"	"中"	"89-FW-48"	"冈安葫芦瓠"	"攀援蔓生"	"GANG AN HU LU HU"	"1.1"	"88"	"--"	"强"	"抗"	"绿"	"--"	"掌状"	"--"	"--"	"1500"	"褐色"	"--"	"梨形"	"--"	"软"	"1"	"V05I0016"	"福州市蔬菜科研所"	"强"	"Ⅱ5G0119"	"福建冈安县"	"--"	"2下-6中,6下-7上"	"--"	"--"
"17"	"中"	"89-FW-45"	"连城长柄瓢瓠"	"攀援蔓生"	"LIAN CHENG CHANG BING PIAO HU"	"2.5"	"100"	"--"	"强"	"抗"	"绿"	"--"	"掌状"	"--"	"--"	"1750"	"奶油色"	"--"	"梨形"	"--"	"软"	"20"	"V05I0017"	"福州市蔬菜科研所"	"中"	"Ⅱ5G0145"	"福建连城县"	"--"	"3上-5上,6中-10中"	"--"	"--"
"18"	"晚"	"89-FW-30"	"连城长葡瓠"	"攀援蔓生"	"LIAN CHENG CHANG PU HU"	"3.8"	"110"	"--"	"强"	"中"	"绿"	"--"	"掌状"	"--"	"--"	"2750"	"绿色"	"--"	"椭圆形"	"--"	"疏松上"	"1"	"V05I0018"	"福州市蔬菜科研所"	"中"	"Ⅱ5G0116"	"福建连城县"	"--"	"2下-4下,6中-11上"	"--"	"--"
"19"	"晚"	"89-FW-30-2"	"连城大腰瓠"	"攀援蔓生"	"LIAN CHENG DA YAO HU"	"5.0"	"110"	"--"	"强"	"中"	"绿"	"--"	"掌状"	"--"	"--"	"3000"	"绿色"	"--"	"梨形"	"--"	"疏松中"	"2"	"V05I0019"	"福州市蔬菜科研所"	"中"	"Ⅱ5G0122"	"福建连城县"	"--"	"2中-4下,6中-11中"	"--"	"--"
"20"	"早"	"89-FW-35"	"龙岩长四月瓠"	"攀援蔓生"	"LONG YAN CHANG SI YUE HU"	"0.9"	"80"	"--"	"中"	"中"	"绿"	"--"	"掌状"	"--"	"--"	"1200"	"奶油色"	"--"	"梨形"	"--"	"软"	"1"	"V05I0020"	"福州市蔬菜科研所"	"中"	"Ⅱ5G0135"	"福建龙岩市"	"--"	"2中-3下,5-6"	"--"	"--"
"21"	"早"	"89-FW-38"	"南平插杆蒲芦"	"攀援蔓生"	"NAN PING CHA GAN PU LU"	"1.1"	"85"	"--"	"强"	"中"	"绿"	"--"	"掌状"	"--"	"--"	"1625"	"绿色"	"--"	"圆柱形"	"--"	"软"	"8"	"V05I0029"	"福州市蔬菜科研所"	"中"	"Ⅱ5G0138"	"福建南平市"	"--"	"2下-4上,6上-7下"	"--"	"--"
"22"	"晚"	"89-FW-4"	"南平花大腿瓠"	"攀援蔓生"	"NAN PING HUA DA TUI HU"	"2.5"	"120"	"--"	"强"	"抗"	"绿"	"--"	"掌状"	"甜"	"--"	"2125"	"奶油色"	"--"	"椭圆形"	"--"	"软"	"7"	"V05I0032"	"福州市蔬菜科研所"	"中"	"Ⅱ5G0086"	"福建南平市"	"--"	"6上-11上"	"--"	"--"
"23"	"中"	"88-FW-29"	"南平五里沙大腿瓜"	"攀援蔓生"	"NAN PING WU LI SHA DA TUI GUA"	"3.3"	"110"	"--"	"强"	"中"	"绿"	"--"	"掌状"	"--"	"--"	"3000"	"奶油色"	"--"	"椭圆形"	"--"	"致密上"	"3"	"V05I0035"	"福州市蔬菜科研所"	"强"	"Ⅱ5G0040"	"福建南平县"	"--"	"3,7上-10上"	"--"	"--"
