"id"	"熟性"	"保存编号"	"品种名称"	"生长习性"	"译名"	"单瓜重"	"生育期"	"瓜面腊粉"	"分枝性"	"抗病虫性"	"商瓜皮色"	"老瓜次色"	"叶形"	"风味"	"老瓜斑纹"	"亩产"	"老瓜皮色"	"备注"	"瓜形"	"肉质"	"雌首花节位"	"省"	"统一编号"	"保存单位"	"抗逆性"	"种质库编号"	"种子来源"	"商瓜次色"	"栽培季节"	"商瓜斑纹"	"瓜棱形状"
"39"	"晚"	"内5B3021"	"巴林左旗窝瓜"	"葡匐蔓生"	"BA LIN ZUO QI WO GUA"	"2.3"	"115"	"少"	"中"	"抗"	"--"	"--"	"心形"	"甜"	"斑"	"--"	"灰色"	"--"	"扁圆形"	"致密"	"10"	"内蒙"	"V05D0091"	"内蒙农科院蔬菜所"	"强"	"Ⅱ5Bc105"	"内蒙巴林左旗"	"--"	"5上-9上"	"--"	"棱"
"40"	"中"	"内5B3024"	"东胜红饭瓜"	"葡匐蔓生"	"DONG SHENG HONG FAN GUA"	"2.8"	"105"	"少"	"弱"	"中"	"--"	"--"	"心形"	"甜"	"斑"	"--"	"桔黄色"	"--"	"扁圆形"	"致密水多"	"14"	"内蒙"	"V05D0095"	"内蒙农科院蔬菜所"	"中"	"Ⅱ5Bc106"	"内蒙东胜市"	"--"	"5中-8下"	"--"	"棱"
"41"	"晚"	"内5B3027"	"丰镇番瓜"	"蔓生"	"FENG ZHEN FAN GUA"	"4.0"	"120"	"少"	"弱"	"重感"	"--"	"--"	"心形"	"甜"	"--"	"--"	"桔黄色"	"地方品种"	"扁圆形"	"致密"	"10"	"内蒙"	"V05D0100"	"内蒙农科院蔬菜所"	"弱"	"Ⅱ5Bc155"	"内蒙丰镇县"	"--"	"5中-9中"	"--"	"棱"
"42"	"晚"	"内5B3012"	"黄皮面葫芦"	"葡匐蔓生"	"HUANG PI MIAN HU LU"	"3.5"	"150"	"少"	"弱"	"抗"	"--"	"--"	"圆形"	"甜"	"斑"	"--"	"桔黄色"	"--"	"椭圆形"	"致密水少"	"9"	"内蒙"	"V05D0105"	"内蒙农科院蔬菜所"	"强"	"Ⅱ5Bc099"	"内蒙杭锦后旗"	"--"	"5上-10中"	"--"	"棱"
"43"	"中"	"内5B3010"	"笋瓜"	"葡匐蔓生"	"SUN GUA"	"3.5"	"115"	"少"	"中"	"中"	"--"	"--"	"心形"	"淡而无味"	"斑"	"--"	"桔黄色"	"--"	"椭圆形"	"松软水多"	"11"	"内蒙"	"V05D0118"	"内蒙农科院蔬菜所"	"强"	"Ⅱ5Bc097"	"内蒙乌兰浩特"	"--"	"5上-9上"	"--"	"棱"
"44"	"晚"	"内5B3020"	"面窝瓜"	"葡匐蔓生"	"MIAN WO GUA"	"4.2"	"115"	"少"	"强"	"抗"	"--"	"--"	"心形"	"甜"	"斑"	"--"	"灰色"	"--"	"扁圆形"	"致密"	"10"	"内蒙"	"V05D0119"	"内蒙农科院蔬菜所"	"强"	"Ⅱ5Bc104"	"内蒙乌兰浩特"	"--"	"5中-8下"	"--"	"棱"
"45"	"晚"	"88N-3"	"圆花皮南瓜"	"蔓生"	"YUAN HUA PI NAN GUA"	"15.0"	"120"	"少"	"弱"	"抗"	"桔黄"	"--"	"圆形"	"--"	"--"	"--"	"桔黄色"	"--"	"扁圆形"	"圆滑致密"	"20"	"宁夏"	"V05D0120"	"宁夏农科院园艺所"	"强"	"Ⅱ5Bc158"	"宁夏银川市"	"--"	"4下-8下"	"斑块状"	"平"
"46"	"晚"	"88N-4"	"园绿皮南瓜"	"蔓生"	"YUAN LU PI NAN GUA"	"16.0"	"120"	"少"	"弱"	"抗"	"绿"	"--"	"圆形"	"甜"	"--"	"--"	"绿色"	"--"	"扁圆形"	"圆滑致密"	"18"	"宁夏"	"V05D0121"	"宁夏农科院园艺所"	"强"	"Ⅱ5Bc159"	"宁夏银川市"	"--"	"4下-8下"	"--"	"平"
"47"	"--"	"ⅥC88N1-11"	"深桔红面瓜"	"匍匐蔓生"	"SHEN JIE HONG MIAN GUA"	"7.5"	"130"	"中"	"强"	"--"	"红"	"--"	"圆形"	"--"	"--"	"--"	"--"	"--"	"扁圆形"	"松"	"25"	"宁夏"	"V05D0122"	"宁夏农科院园艺所"	"--"	"Ⅱ5Bc214"	"宁夏银川市"	"--"	"夏4下-8下"	"--"	"--"
"48"	"早"	"笋14"	"方瓜"	"葡匐蔓生"	"FANG GUA"	"3.0"	"100"	"无"	"强"	"抗病毒不抗白粉"	"黑"	"--"	"圆形"	"淡而无味"	"--"	"--"	"--"	"*"	"扁圆形"	"中粗较面"	"8"	"山东"	"V05D0125"	"山东农科院蔬菜所"	"--"	"Ⅱ5Bc166"	"山东昌乐县"	"绿色"	"4上中-3"	"线条状"	"棱"
