"id"	"熟性"	"保存编号"	"品种名称"	"生长习性"	"译名"	"单瓜重"	"生育期"	"瓜面腊粉"	"分枝性"	"抗病虫性"	"商瓜皮色"	"老瓜次色"	"叶形"	"风味"	"老瓜斑纹"	"亩产"	"老瓜皮色"	"备注"	"瓜形"	"肉质"	"雌首花节位"	"省"	"统一编号"	"保存单位"	"抗逆性"	"种质库编号"	"种子来源"	"商瓜次色"	"栽培季节"	"商瓜斑纹"	"瓜棱形状"
"56"	"晚"	"北30号"	"磨盘北瓜"	"葡匐蔓生"	"MO PAN BEI GUA"	"6.0"	"102"	"少"	"中"	"不抗病毒"	"绿"	"--"	"掌状"	"甜"	"--"	"2000"	"褐色"	"--"	"扁圆形"	"--"	"26"	"河北"	"V05C0164"	"河北农科院蔬菜所"	"中"	"Ⅱ5Bb585"	"河北遵化县"	"--"	"4中-7下"	"线条状"	"棱"
"57"	"晚"	"北29号"	"十道沟北瓜"	"葡匐蔓生"	"SHI DAO GOU BEI GUA"	"4.2"	"102"	"少"	"中"	"不抗病毒"	"绿"	"--"	"掌状"	"淡而无味"	"纹"	"1600"	"褐色"	"--"	"扁圆形"	"--"	"24"	"河北"	"V05C0165"	"河北农科院蔬菜所"	"中"	"Ⅱ5Bb584"	"河北遵化县"	"--"	"4中-7下"	"线条状"	"棱"
"58"	"中"	"北63号"	"扁园北瓜"	"葡匐蔓生"	"BIAN YUAN BEI GUA"	"3.4"	"90"	"多"	"中"	"中"	"绿"	"--"	"掌状"	"--"	"纹"	"1700"	"褐色"	"--"	"扁圆形"	"软"	"16"	"河北"	"V05C0166"	"河北农科院蔬菜所"	"中"	"Ⅱ5Bb384"	"河北栾城县"	"--"	"4中-7下"	"线条状"	"棱"
"59"	"早"	"6Bb0003"	"安阳狗伸腰"	"葡匐蔓生"	"AN YANG GOU SHEN YAO"	"10.8"	"130"	"--"	"--"	"不抗白粉抗枯萎"	"绿"	"--"	"心形"	"淡而无味"	"--"	"5500"	"--"	"*"	"圆柱形"	"质面"	"16"	"河南"	"V05C0167"	"河南农科院园艺所"	"--"	"Ⅱ5Bb317"	"河南安阳市"	"--"	"4中-8中"	"--"	"平"
"60"	"早"	"6Bb0001"	"安阳糙南瓜"	"葡匐蔓生"	"AN YANG CAO NAN GUA"	"3.3"	"100"	"--"	"--"	"不抗白粉抗枯萎"	"绿"	"--"	"心形"	"淡而无味"	"--"	"4000"	"--"	"*"	"圆柱形"	"质面"	"20"	"河南"	"V05C0168"	"河南农科院园艺所"	"--"	"Ⅱ5Bb479"	"河南安阳市"	"--"	"4下-8上"	"--"	"平"
"61"	"晚"	"6Bb0034"	"方城窝瓜"	"葡匐蔓生"	"FANG CHENG WO GUA"	"4.3"	"130"	"--"	"--"	"抗枯萎"	"绿"	"--"	"心形"	"淡而无味"	"--"	"2000"	"--"	"*"	"圆柱形"	"质面"	"--"	"河南"	"V05C0173"	"河南农科院园艺所"	"--"	"Ⅱ5Bb477"	"河南方城县"	"黄色"	"4中-8下"	"线条状"	"平"
"62"	"中"	"6Bb0066"	"方城南瓜"	"葡匐蔓生"	"FANG CHENG NAN GUA"	"6.0"	"150"	"--"	"--"	"中"	"--"	"--"	"心形"	"甜"	"--"	"1500"	"--"	"--"	"圆形"	"--"	"21"	"河南"	"V05C0174"	"河南农科院园艺所"	"--"	"Ⅱ5Bb473"	"河南方城县"	"--"	"4下-8下"	"--"	"--"
"63"	"早"	"6Bb0022"	"巩县南瓜"	"葡匐蔓生"	"GONG XIAN NAN GUA"	"6.8"	"130"	"--"	"--"	"不抗白粉抗枯萎"	"绿"	"--"	"心形"	"淡而无味"	"--"	"3500"	"--"	"*"	"圆柱形"	"质面"	"19"	"河南"	"V05C0175"	"河南农科院园艺所"	"--"	"Ⅱ5Bb478"	"河南巩县"	"黄色"	"4下-9上"	"条带状"	"平"
"64"	"早"	"6Bb0006"	"鹤壁南瓜"	"葡匐蔓生"	"HE BI NAN GUA"	"2.3"	"100"	"--"	"--"	"不抗白粉抗枯萎"	"绿"	"--"	"心形"	"淡而无味"	"--"	"1500"	"--"	"*"	"圆柱形"	"--"	"--"	"河南"	"V05C0176"	"河南农科院园艺所"	"--"	"Ⅱ5Bb319"	"河南鹤壁市"	"黄色"	"4中-7下"	"条带状"	"平"
"65"	"早"	"6Bb0010"	"汲县南瓜"	"葡匐蔓生"	"JI XIAN NAN GUA"	"7.5"	"150"	"--"	"--"	"抗病毒枯萎"	"绿"	"--"	"心形"	"淡而无味"	"--"	"4000"	"--"	"*"	"圆柱形"	"质面"	"21"	"河南"	"V05C0177"	"河南农科院园艺所"	"--"	"Ⅱ5Bb320"	"河南汲县"	"--"	"4中-9中"	"--"	"平"
"66"	"中"	"6Bb0048"	"杞县枕头南瓜"	"葡匐蔓生"	"QI XIAN ZHEN TOU NAN GUA"	"3.7"	"130"	"--"	"--"	"抗枯萎"	"绿"	"--"	"心形"	"淡而无味"	"--"	"2000"	"--"	"*"	"圆柱形"	"质面"	"21"	"河南"	"V05C0212"	"河南农科院园艺所"	"--"	"Ⅱ5Bb064"	"河南杞县"	"--"	"4下-9上"	"--"	"平"
"67"	"中"	"6Bb0050"	"栾川磨盘南瓜"	"葡匐蔓生"	"LUAN CHUAN MO PAN NAN GUA"	"3.6"	"100"	"--"	"--"	"抗枯萎"	"绿"	"--"	"心形"	"--"	"--"	"2000"	"--"	"*"	"扁圆形"	"质面"	"21"	"河南"	"V05C0213"	"河南农科院园艺所"	"--"	"Ⅱ5Bb065"	"河南栾川县"	"黄色"	"4下-8下"	"斑块状"	"棱"
"68"	"中"	"15-40"	"当地南瓜"	"葡匐蔓生"	"DANG DI NAN GUA"	"2.5"	"130"	"少"	"中"	"--"	"绿"	"--"	"掌状"	"甜"	"--"	"1000"	"灰色"	"--"	"椭圆形"	"--"	"8"	"黑龙"	"V05C0214"	"黑龙江省园艺所"	"强"	"Ⅱ5Bb540"	"黑龙江哈尔滨市"	"--"	"5中-10上"	"--"	"平"
"69"	"中"	"续Ⅱ5B0004"	"团南瓜"	"蔓生"	"TUAN NAN GUA"	"2.5"	"--"	"少"	"强"	"中"	"黑"	"--"	"圆形"	"甜"	"--"	"1750"	"桔黄色"	"--"	"圆形"	"细粒质密"	"16"	"湖北"	"V05C0215"	"湖北农科院经作所"	"中"	"Ⅱ5Bb519"	"湖北大悟县"	"--"	"4上-10上"	"--"	"粗糙"
