"id"	"熟性"	"种子来源"	"属名"	"保存编号"	"壳"	"根腐穗病级"	"引入时间"	"省"	"穗长"	"赤霉病指数"	"条锈反应型"	"赤霉病抗性"	"抽穗期"	"保存单位"	"千粒重"	"田间抗寒性"	"系谱"	"白粉反应型"	"开花期"	"秆锈普遍率"	"赖氨酸"	"赤霉病病指"	"粗蛋白"	"叶锈普遍率"	"株高"	"穗粒数"	"原编号"	"叶锈反应型"	"白粉严重度"	"条锈普遍率"	"黄矮病"	"品种名称"	"叶锈严重度"	"芒"	"赤霉病病穗"	"原产地"	"秆锈反应型"	"抗旱性"	"样品类型"	"学名"	"秆锈严重度"	"科名"	"人工抗寒性"	"收种地"	"统一编号"	"沉淀值"	"冬春性"	"库编号"	"粒"	"硬度"	"成熟期"	"条锈严重度"	"根腐叶病级"	"染色体组"
"1220"	"中"	"墨西哥"	"Triticum L.(小麦属)"	"--"	"红"	"R"	"--"	"国外"	"6.5"	"4.9"	"R"	"S"	"--"	"京DR 528"	"48.2"	"--"	"CD-1894-18Y-OY"	"2"	"--"	"100"	"0.55"	"88.3"	"19.38"	"100"	"74"	"54"	"--"	"S"	"4"	"2"	"4"	"Mal""S"""	"40"	"长"	"100.0"	"--"	"MS"	"--"	"地方"	"Triticum durum Desf.(硬粒小麦)"	"10"	"Gramineae(禾本科)"	"--"	"--"	"XM000389"	"--"	"春"	"I1B14598"	"白"	"--"	"--"	"2"	"S"	
"1221"	"晚"	"墨西哥"	"Triticum L.(小麦属)"	"--"	"白"	"R"	"--"	"国外"	"6.5"	"4.9"	"R"	"S"	"--"	"京DR529"	"47.7"	"--"	"CD-4502-U-4Y-6M-OY"	"2"	"--"	"100"	"0.52"	"89.2"	"16.62"	"100"	"71"	"43"	"--"	"S"	"4"	"2"	"5"	"Mal""S""-Rabi""S"""	"40"	"长"	"100.0"	"墨西哥"	"MS"	"--"	"地方"	"Triticum durum Desf.(硬粒小麦)"	"10"	"Gramineae(禾本科)"	"--"	"--"	"XM000390"	"--"	"春"	"--"	"白"	"--"	"--"	"2"	"S"	
"1222"	"晚"	"墨西哥"	"Triticum L.(小麦属)"	"--"	"白"	"--"	"--"	"国外"	"7.0"	"--"	"--"	"--"	"--"	"京DR 530"	"37.0"	"--"	"CD-4502-U-4Y-7M-OY"	"--"	"--"	"--"	"--"	"--"	"--"	"--"	"70"	"49"	"--"	"--"	"--"	"--"	"--"	"Mal""S""-Rabi""S"""	"--"	"长"	"--"	"墨西哥"	"--"	"--"	"地方"	"Triticum durum Desf.(硬粒小麦)"	"--"	"Gramineae(禾本科)"	"--"	"--"	"XM000391"	"--"	"春"	"--"	"白"	"--"	"--"	"--"	"--"	
"1223"	"极晚"	"--"	"Triticum L.(小麦属)"	"--"	"白"	"--"	"--"	"国外"	"8.0"	"--"	"--"	"--"	"--"	"陕P2415"	"55.0"	"--"	"--"	"--"	"--"	"--"	"0.46"	"--"	"16.51"	"--"	"105"	"35"	"--"	"--"	"--"	"--"	"--"	"Malta"	"--"	"长"	"--"	"澳大利亚"	"--"	"5"	"地方"	"Triticum durum Desf.(硬粒小麦)"	"--"	"Gramineae(禾本科)"	"--"	"--"	"XM000392"	"--"	"春"	"I1B26652"	"红"	"11.4"	"--"	"--"	"--"	
"1224"	"中"	"墨西哥"	"Triticum L.(小麦属)"	"--"	"白"	"--"	"--"	"国外"	"5.6"	"--"	"--"	"--"	"--"	"青1433"	"45.4"	"--"	"--"	"--"	"--"	"--"	"--"	"--"	"--"	"--"	"89"	"43"	"--"	"--"	"--"	"--"	"--"	"Mapache (Taticate Check)"	"--"	"长"	"--"	"--"	"--"	"--"	"地方"	"Triticum durum Desf.(硬粒小麦)"	"--"	"Gramineae(禾本科)"	"--"	"--"	"XM000393"	"--"	"弱冬"	"--"	"白"	"13.1"	"--"	"--"	"--"	
"1225"	"晚"	"--"	"Triticum L.(小麦属)"	"--"	"红"	"MR"	"--"	"国外"	"8.6"	"4.9"	"R"	"S"	"--"	"宁074"	"49.8"	"--"	"--"	"2"	"--"	"100"	"0.44"	"96.7"	"14.84"	"100"	"148"	"62"	"--"	"MS"	"3"	"100"	"3"	"Marouani"	"10"	"黑长"	"100.0"	"澳大利亚"	"S"	"5"	"地方"	"Triticum durum Desf.(硬粒小麦)"	"65"	"Gramineae(禾本科)"	"--"	"--"	"XM000395"	"--"	"春"	"--"	"白"	"--"	"--"	"5"	"MS"	
"1226"	"晚"	"摩洛哥"	"Triticum L.(小麦属)"	"--"	"白"	"S"	"--"	"国外"	"8.0"	"5.0"	"S"	"S"	"--"	"京DR 222"	"44.0"	"--"	"--"	"4"	"--"	"100"	"0.35"	"100.0"	"13.62"	"100"	"105"	"45"	"--"	"MS"	"6"	"50"	"4"	"Marrocos"	"40"	"长"	"100.0"	"--"	"S"	"--"	"地方"	"Triticum durum Desf.(硬粒小麦)"	"65"	"Gramineae(禾本科)"	"--"	"--"	"XM000396"	"--"	"春"	"I1B14599"	"白"	"--"	"--"	"10"	"R"	
"1227"	"晚"	"摩洛哥"	"Triticum L.(小麦属)"	"--"	"白"	"0"	"--"	"国外"	"6.9"	"4.9"	"R"	"S"	"--"	"京DR 221"	"30.0"	"--"	"--"	"3"	"--"	"100"	"0.50"	"90.0"	"15.75"	"100"	"108"	"50"	"--"	"S"	"4"	"2"	"4"	"Marrocos 2"	"40"	"长"	"100.0"	"--"	"S"	"--"	"地方"	"Triticum durum Desf.(硬粒小麦)"	"65"	"Gramineae(禾本科)"	"--"	"--"	"XM000397"	"--"	"春"	"--"	"白"	"--"	"--"	"2"	"MS"	
"1228"	"中"	"墨西哥"	"Triticum L.(小麦属)"	"--"	"白"	"--"	"--"	"国外"	"5.7"	"--"	"--"	"--"	"--"	"青1241"	"61.6"	"--"	"--"	"--"	"--"	"--"	"--"	"--"	"--"	"--"	"82"	"24"	"--"	"--"	"--"	"--"	"--"	"Mat""S"""	"--"	"长"	"--"	"--"	"--"	"--"	"地方"	"Triticum durum Desf.(硬粒小麦)"	"--"	"Gramineae(禾本科)"	"--"	"--"	"XM000398"	"--"	"弱冬"	"--"	"白"	"11.3"	"--"	"--"	"--"	
"1229"	"中"	"墨西哥"	"Triticum L.(小麦属)"	"--"	"白"	"--"	"--"	"国外"	"3.9"	"--"	"--"	"--"	"--"	"青1242"	"58.0"	"--"	"--"	"--"	"--"	"--"	"--"	"--"	"--"	"--"	"83"	"29"	"--"	"--"	"--"	"--"	"--"	"Mat""S""-Fg""S"""	"--"	"长"	"--"	"--"	"--"	"--"	"地方"	"Triticum durum Desf.(硬粒小麦)"	"--"	"Gramineae(禾本科)"	"--"	"--"	"XM000399"	"--"	"弱冬"	"--"	"白"	"11.8"	"--"	"--"	"--"	
"1230"	"中"	"墨西哥"	"Triticum L.(小麦属)"	"--"	"白"	"--"	"--"	"国外"	"5.7"	"--"	"--"	"--"	"--"	"青1252"	"59.3"	"--"	"--"	"--"	"--"	"--"	"--"	"--"	"--"	"--"	"82"	"26"	"--"	"--"	"--"	"--"	"--"	"Mat""S""-Rabi""S"""	"--"	"长"	"--"	"--"	"--"	"--"	"地方"	"Triticum durum Desf.(硬粒小麦)"	"--"	"Gramineae(禾本科)"	"--"	"--"	"XM000400"	"--"	"弱冬"	"--"	"白"	"10.6"	"--"	"--"	"--"	
"1231"	"早"	"--"	"Triticum L.(小麦属)"	"--"	"白"	"--"	"--"	"国外"	"6.5"	"5.0"	"0"	"S"	"--"	"宁075"	"39.5"	"--"	"--"	"3"	"--"	"--"	"0.37"	"100.0"	"14.36"	"100"	"82"	"45"	"--"	"MS"	"6"	"--"	"5"	"Mca""S"" x 21563-AA""S""/Pg""S""-Fg""S"""	"10"	"长"	"100.0"	"墨西哥"	"0"	"5"	"地方"	"Triticum durum Desf.(硬粒小麦)"	"--"	"Gramineae(禾本科)"	"--"	"--"	"XM000401"	"--"	"春"	"I1B14420"	"白"	"--"	"--"	"--"	"S"	
"1232"	"极晚"	"--"	"Triticum L.(小麦属)"	"--"	"黑"	"--"	"--"	"国外"	"8.3"	"--"	"--"	"--"	"--"	"陕P2417"	"42.5"	"--"	"--"	"--"	"--"	"--"	"--"	"--"	"--"	"--"	"112"	"51"	"--"	"--"	"--"	"--"	"--"	"Medea AP-9"	"--"	"长"	"--"	"--"	"--"	"--"	"地方"	"Triticum durum Desf.(硬粒小麦)"	"--"	"Gramineae(禾本科)"	"--"	"--"	"XM000402"	"--"	"春"	"I1B14964"	"白"	"--"	"--"	"--"	"--"	
"1233"	"晚"	"阿尔巴尼亚"	"Triticum L.(小麦属)"	"--"	"白"	"MS"	"--"	"国外"	"8.2"	"5.0"	"MR"	"S"	"--"	"京DR 223"	"36.0"	"--"	"--"	"4"	"--"	"100"	"0.33"	"100.0"	"13.85"	"100"	"76"	"48"	"--"	"MS"	"5"	"100"	"6"	"Mefo-73"	"10"	"长"	"100.0"	"--"	"S"	"--"	"地方"	"Triticum durum Desf.(硬粒小麦)"	"40"	"Gramineae(禾本科)"	"--"	"--"	"XM000403"	"--"	"春"	"I1B14600"	"白"	"--"	"--"	"25"	"R"	
"1234"	"中"	"墨西哥"	"Triticum L.(小麦属)"	"--"	"白"	"R"	"--"	"国外"	"6.5"	"5.0"	"R"	"S"	"--"	"京DR 532"	"36.6"	"--"	"CD-10521-I-4M-1Y-3M-1Y-OM"	"2"	"--"	"100"	"0.53"	"90.8"	"19.97"	"100"	"64"	"54"	"--"	"S"	"3"	"2"	"4"	"Memo""S"""	"25"	"长"	"100.0"	"墨西哥"	"S"	"--"	"地方"	"Triticum durum Desf.(硬粒小麦)"	"25"	"Gramineae(禾本科)"	"--"	"--"	"XM000404"	"--"	"春"	"I1B14601"	"白"	"--"	"--"	"2"	"S"	
"1235"	"晚"	"墨西哥"	"Triticum L.(小麦属)"	"--"	"白"	"R"	"--"	"国外"	"7.0"	"5.0"	"R"	"S"	"--"	"京DR 533"	"36.9"	"--"	"CD-10521-I-4M-1Y-1M-1Y-OM"	"2"	"--"	"--"	"0.59"	"91.7"	"20.66"	"100"	"72"	"64"	"--"	"S"	"3"	"2"	"4"	"Memo""S"""	"25"	"长"	"100.0"	"墨西哥"	"0"	"--"	"地方"	"Triticum durum Desf.(硬粒小麦)"	"--"	"Gramineae(禾本科)"	"--"	"--"	"XM000405"	"--"	"春"	"I1B26928"	"白"	"--"	"--"	"2"	"S"	
"1236"	"晚"	"墨西哥"	"Triticum L.(小麦属)"	"--"	"白"	"R"	"--"	"国外"	"8.0"	"5.0"	"R"	"S"	"--"	"京DR 534"	"37.1"	"--"	"CD-10521-I-4M-3Y-1M-1Y-OM"	"1"	"--"	"100"	"0.64"	"92.5"	"21.96"	"100"	"66"	"48"	"--"	"S"	"2"	"2"	"4"	"Memo""S"""	"25"	"长"	"100.0"	"墨西哥"	"S"	"--"	"地方"	"Triticum durum Desf.(硬粒小麦)"	"25"	"Gramineae(禾本科)"	"--"	"--"	"XM000406"	"--"	"春"	"I1B14602"	"白"	"--"	"--"	"2"	"S"	
"1237"	"晚"	"墨西哥"	"Triticum L.(小麦属)"	"--"	"红"	"R"	"--"	"国外"	"7.0"	"5.0"	"R"	"S"	"--"	"京DR535"	"37.9"	"--"	"CD-10521-I-4M-4Y-1M-3Y-OM"	"3"	"--"	"100"	"0.56"	"93.3"	"17.74"	"100"	"57"	"39"	"--"	"S"	"3"	"2"	"4"	"Memo""S"""	"5"	"长"	"100.0"	"墨西哥"	"S"	"--"	"地方"	"Triticum durum Desf.(硬粒小麦)"	"65"	"Gramineae(禾本科)"	"--"	"--"	"XM000407"	"--"	"春"	"--"	"白"	"--"	"--"	"2"	"S"	
"1238"	"中"	"墨西哥"	"Triticum L.(小麦属)"	"--"	"白"	"R"	"--"	"国外"	"5.7"	"5.0"	"R"	"S"	"--"	"京DR 536"	"33.7"	"--"	"CD-10521-I-21M-1Y-1M-4Y-1M-OY"	"2"	"--"	"--"	"--"	"94.2"	"--"	"100"	"66"	"58"	"--"	"S"	"3"	"2"	"4"	"Memo""S"""	"5"	"长"	"100.0"	"墨西哥"	"0"	"--"	"地方"	"Triticum durum Desf.(硬粒小麦)"	"--"	"Gramineae(禾本科)"	"--"	"--"	"XM000408"	"--"	"春"	"I1B15127"	"白"	"--"	"--"	"2"	"S"	
"1239"	"中"	"--"	"Triticum L.(小麦属)"	"--"	"白"	"--"	"--"	"国外"	"6.4"	"5.0"	"0"	"S"	"--"	"宁076"	"39.8"	"--"	"--"	"4"	"--"	"100"	"0.36"	"100.0"	"14.03"	"100"	"90"	"41"	"--"	"MS"	"5"	"--"	"4"	"MEMO""S""/GOO""s"""	"25"	"长"	"100.0"	"墨西哥"	"S"	"5"	"地方"	"Triticum durum Desf.(硬粒小麦)"	"10"	"Gramineae(禾本科)"	"--"	"--"	"XM000409"	"--"	"春"	"I1B14421"	"白"	"--"	"--"	"--"	"S"	
"1240"	"中"	"--"	"Triticum L.(小麦属)"	"--"	"白"	"--"	"--"	"国外"	"5.6"	"5.0"	"0"	"S"	"--"	"宁077"	"42.9"	"--"	"--"	"3"	"--"	"--"	"0.39"	"100.0"	"14.53"	"100"	"80"	"30"	"--"	"MS"	"4"	"--"	"5"	"MEMO""S""/MEXI 75 (1)"	"5"	"长"	"100.0"	"墨西哥"	"0"	"5"	"地方"	"Triticum durum Desf.(硬粒小麦)"	"--"	"Gramineae(禾本科)"	"--"	"--"	"XM000410"	"--"	"春"	"I1B14422"	"白"	"--"	"--"	"--"	"S"	
"1241"	"中"	"--"	"Triticum L.(小麦属)"	"--"	"白"	"--"	"--"	"国外"	"6.5"	"5.0"	"0"	"S"	"--"	"宁078"	"39.8"	"--"	"--"	"2"	"--"	"--"	"0.41"	"100.0"	"14.15"	"100"	"85"	"37"	"--"	"MS"	"3"	"--"	"5"	"MEMO""S""/MEXI 75 (2)"	"25"	"长"	"100.0"	"墨西哥"	"0"	"2"	"地方"	"Triticum durum Desf.(硬粒小麦)"	"--"	"Gramineae(禾本科)"	"--"	"--"	"XM000411"	"--"	"春"	"I1B14423"	"白"	"--"	"--"	"--"	"S"	
"1242"	"中"	"--"	"Triticum L.(小麦属)"	"--"	"白"	"--"	"--"	"国外"	"7.4"	"5.0"	"0"	"S"	"--"	"宁079"	"33.0"	"--"	"--"	"1"	"--"	"--"	"0.39"	"100.0"	"14.80"	"100"	"90"	"45"	"--"	"MS"	"1"	"--"	"4"	"MEMO""S""/MEXI 75(3)"	"10"	"长"	"100.0"	"墨西哥"	"0"	"5"	"地方"	"Triticum durum Desf.(硬粒小麦)"	"--"	"Gramineae(禾本科)"	"--"	"--"	"XM000412"	"--"	"春"	"I1B14424"	"白"	"--"	"--"	"--"	"S"	
"1243"	"中"	"墨西哥"	"Triticum L.(小麦属)"	"--"	"白"	"R"	"--"	"国外"	"14.0"	"5.0"	"R"	"S"	"--"	"京DR 537"	"39.9"	"--"	"CMH79.1130-1Y-1B-1Y-1B-OY-3B-OY"	"3"	"--"	"100"	"0.44"	"95.0"	"16.40"	"100"	"78"	"42"	"--"	"S"	"5"	"80"	"3"	"Mex75-T.POL.V.PS.MART (2) x DULAXI"	"10"	"长"	"100.0"	"--"	"MS"	"--"	"地方"	"Triticum durum Desf.(硬粒小麦)"	"10"	"Gramineae(禾本科)"	"--"	"--"	"XM000413"	"--"	"春"	"--"	"白"	"--"	"--"	"5"	"S"	
"1244"	"中"	"墨西哥"	"Triticum L.(小麦属)"	"--"	"红"	"R"	"--"	"国外"	"7.0"	"5.0"	"R"	"S"	"--"	"京DR 538"	"41.6"	"--"	"CD-1895-12Y-OY"	"2"	"--"	"--"	"0.59"	"95.8"	"20.21"	"100"	"72"	"54"	"--"	"S"	"5"	"2"	"4"	"Mexi""S""-FG""S"""	"10"	"长"	"100.0"	"--"	"0"	"--"	"地方"	"Triticum durum Desf.(硬粒小麦)"	"--"	"Gramineae(禾本科)"	"--"	"--"	"XM000414"	"--"	"春"	"I1B14603"	"白"	"--"	"--"	"2"	"S"	
"1245"	"晚"	"墨西哥"	"Triticum L.(小麦属)"	"--"	"红"	"R"	"--"	"国外"	"6.5"	"5.0"	"R"	"S"	"--"	"京DR 539"	"41.8"	"--"	"CD-1895--12Y-OY-3E"	"3"	"--"	"--"	"0.60"	"96.7"	"20.65"	"100"	"70"	"48"	"--"	"S"	"4"	"2"	"3"	"Mexi""S""-FG""S"""	"10"	"长"	"100.0"	"--"	"0"	"--"	"地方"	"Triticum durum Desf.(硬粒小麦)"	"--"	"Gramineae(禾本科)"	"--"	"--"	"XM000415"	"--"	"春"	"I1B14604"	"白"	"--"	"--"	"2"	"S"	
"1246"	"中"	"墨西哥"	"Triticum L.(小麦属)"	"--"	"白"	"R"	"--"	"国外"	"7.5"	"5.0"	"R"	"S"	"--"	"京DR 540"	"43.5"	"--"	"CD-1895-12Y-2Y-2M-OY"	"3"	"--"	"--"	"0.51"	"97.5"	"16.36"	"100"	"65"	"52"	"--"	"S"	"3"	"2"	"4"	"Mexi""S""-FG""S"""	"5"	"长"	"100.0"	"墨西哥"	"0"	"--"	"地方"	"Triticum durum Desf.(硬粒小麦)"	"--"	"Gramineae(禾本科)"	"--"	"--"	"XM000416"	"--"	"春"	"I1B15128"	"白"	"--"	"--"	"2"	"S"	
"1247"	"中"	"墨西哥"	"Triticum L.(小麦属)"	"--"	"白"	"R"	"--"	"国外"	"6.5"	"5.0"	"R"	"S"	"--"	"京DR 541"	"41.1"	"--"	"CD-1896--1Y-3Y"	"2"	"--"	"100"	"0.59"	"98.3"	"20.71"	"100"	"65"	"52"	"--"	"S"	"5"	"2"	"4"	"Mexi""S""-Gta""s"""	"25"	"长"	"100.0"	"墨西哥"	"S"	"--"	"地方"	"Triticum durum Desf.(硬粒小麦)"	"25"	"Gramineae(禾本科)"	"--"	"--"	"XM000417"	"--"	"春"	"I1B14605"	"白"	"--"	"--"	"2"	"S"	
"1248"	"晚"	"墨西哥"	"Triticum L.(小麦属)"	"--"	"白"	"R"	"--"	"国外"	"7.0"	"5.0"	"R"	"S"	"--"	"京DR 542"	"42.3"	"--"	"CD-1896-1Y-3Y-2M-OY"	"2"	"--"	"--"	"0.57"	"99.2"	"19.76"	"100"	"69"	"57"	"--"	"S"	"4"	"2"	"3"	"Mexi""S""-Gta""S"""	"25"	"长"	"100.0"	"墨西哥"	"0"	"--"	"地方"	"Triticum durum Desf.(硬粒小麦)"	"--"	"Gramineae(禾本科)"	"--"	"--"	"XM000418"	"--"	"春"	"I1B14606"	"白"	"--"	"--"	"2"	"S"	
"1249"	"中"	"北也门"	"Triticum L.(小麦属)"	"--"	"白"	"--"	"--"	"国外"	"7.7"	"--"	"--"	"--"	"--"	"青1288"	"59.4"	"--"	"--"	"--"	"--"	"--"	"--"	"--"	"--"	"--"	"80"	"27"	"--"	"--"	"--"	"--"	"--"	"MEXTCACT"	"--"	"长"	"--"	"--"	"--"	"--"	"地方"	"Triticum durum Desf.(硬粒小麦)"	"--"	"Gramineae(禾本科)"	"--"	"--"	"XM000419"	"--"	"春"	"--"	"白"	"13.3"	"--"	"--"	"--"	
"1250"	"中"	"--"	"Triticum L.(小麦属)"	"--"	"白"	"--"	"--"	"国外"	"5.7"	"5.0"	"0"	"S"	"--"	"宁081"	"44.0"	"--"	"--"	"2"	"--"	"100"	"0.41"	"100.0"	"15.98"	"100"	"90"	"35"	"--"	"MS"	"1"	"--"	"5"	"Mida"	"5"	"长"	"100.0"	"墨西哥"	"S"	"2"	"地方"	"Triticum durum Desf.(硬粒小麦)"	"25"	"Gramineae(禾本科)"	"--"	"--"	"XM000420"	"--"	"春"	"I1B14425"	"白"	"--"	"--"	"--"	"S"	
"1251"	"晚"	"美国"	"Triticum L.(小麦属)"	"--"	"浅红"	"--"	"--"	"国外"	"9.5"	"5.0"	"S"	"S"	"--"	"京DR 226"	"40.6"	"--"	"--"	"4"	"--"	"100"	"0.34"	"95.8"	"13.34"	"100"	"124"	"47"	"--"	"MS"	"6"	"50"	"6"	"Mindum"	"2"	"长"	"100.0"	"--"	"S"	"--"	"地方"	"Triticum durum Desf.(硬粒小麦)"	"65"	"Gramineae(禾本科)"	"--"	"--"	"XM000421"	"--"	"春"	"I1B10327"	"白"	"--"	"--"	"25"	"MR"	
"1252"	"中"	"--"	"Triticum L.(小麦属)"	"--"	"白毛"	"--"	"--"	"国外"	"6.3"	"5.0"	"0"	"S"	"--"	"宁082"	"45.3"	"--"	"--"	"3"	"--"	"--"	"0.39"	"100.0"	"14.22"	"100"	"85"	"33"	"--"	"MS"	"4"	"--"	"5"	"MINDUM/KIF""S""//SAPI""S"""	"5"	"长"	"100.0"	"墨西哥"	"0"	"5"	"地方"	"Triticum durum Desf.(硬粒小麦)"	"--"	"Gramineae(禾本科)"	"--"	"--"	"XM000422"	"--"	"春"	"I1B14426"	"白"	"--"	"--"	"--"	"S"	
"1253"	"晚"	"--"	"Triticum L.(小麦属)"	"--"	"红"	"--"	"--"	"国外"	"10.5"	"--"	"--"	"--"	"--"	"苏11227"	"29.5"	"--"	"--"	"--"	"--"	"--"	"--"	"--"	"--"	"--"	"125"	"52"	"--"	"--"	"--"	"--"	"--"	"Missojen"	"--"	"长"	"--"	"希腊"	"--"	"--"	"地方"	"Triticum durum Desf.(硬粒小麦)"	"--"	"Gramineae(禾本科)"	"--"	"--"	"XM000423"	"--"	"弱冬"	"I1B15015"	"白"	"--"	"--"	"--"	"--"	
"1254"	"晚"	"墨西哥"	"Triticum L.(小麦属)"	"--"	"白"	"R"	"--"	"国外"	"7.5"	"5.0"	"R"	"S"	"--"	"京DR 404"	"31.7"	"--"	"--"	"2"	"--"	"--"	"0.52"	"100.0"	"18.52"	"100"	"82"	"38"	"--"	"R"	"4"	"2"	"4"	"MLN"	"40"	"长"	"100.0"	"--"	"0"	"--"	"地方"	"Triticum durum Desf.(硬粒小麦)"	"--"	"Gramineae(禾本科)"	"--"	"--"	"XM000424"	"--"	"春"	"I1B14607"	"白"	"--"	"--"	"2"	"S"	
"1255"	"晚"	"--"	"Triticum L.(小麦属)"	"--"	"白"	"--"	"--"	"国外"	"6.9"	"5.0"	"0"	"S"	"--"	"宁083"	"41.3"	"--"	"--"	"3"	"--"	"100"	"0.37"	"100.0"	"15.01"	"100"	"150"	"44"	"--"	"MS"	"4"	"--"	"5"	"Molra"	"10"	"长"	"100.0"	"澳大利亚"	"S"	"5"	"地方"	"Triticum durum Desf.(硬粒小麦)"	"10"	"Gramineae(禾本科)"	"--"	"--"	"XM000425"	"--"	"春"	"I1B14427"	"白"	"--"	"--"	"--"	"MS"	
"1256"	"晚"	"--"	"Triticum L.(小麦属)"	"--"	"红毛"	"--"	"--"	"国外"	"11.2"	"--"	"--"	"--"	"--"	"苏11270"	"43.7"	"--"	"--"	"--"	"--"	"--"	"--"	"--"	"--"	"--"	"110"	"47"	"--"	"--"	"--"	"--"	"--"	"Mongia (Portugol)A"	"--"	"黑长"	"--"	"葡萄牙"	"--"	"--"	"地方"	"Triticum durum Desf.(硬粒小麦)"	"--"	"Gramineae(禾本科)"	"--"	"--"	"XM000426"	"--"	"春"	"I1B15016"	"红"	"--"	"--"	"--"	"--"	
"1257"	"晚"	"--"	"Triticum L.(小麦属)"	"--"	"红毛"	"--"	"--"	"国外"	"11.2"	"--"	"--"	"--"	"--"	"苏11271"	"43.7"	"--"	"--"	"--"	"--"	"--"	"--"	"--"	"--"	"--"	"110"	"65"	"--"	"--"	"--"	"--"	"--"	"Mongia (Portugol)B"	"--"	"黑长"	"--"	"葡萄牙"	"--"	"--"	"地方"	"Triticum durum Desf.(硬粒小麦)"	"--"	"Gramineae(禾本科)"	"--"	"--"	"XM000427"	"--"	"春"	"--"	"红"	"13.1"	"--"	"--"	"--"	
"1258"	"晚"	"--"	"Triticum L.(小麦属)"	"--"	"红毛"	"MS"	"--"	"国外"	"11.0"	"1.9"	"S"	"MS"	"--"	"苏11272"	"37.6"	"--"	"--"	"4"	"--"	"100"	"--"	"37.5"	"--"	"100"	"115"	"43"	"--"	"MS"	"7"	"100"	"4"	"Mongia (Portugol)C"	"10"	"黑长"	"80.0"	"葡萄牙"	"MS"	"--"	"地方"	"Triticum durum Desf.(硬粒小麦)"	"80"	"Gramineae(禾本科)"	"--"	"--"	"XM000428"	"--"	"春"	"--"	"红"	"--"	"--"	"80"	"MR"	
"1259"	"极晚"	"墨西哥"	"Triticum L.(小麦属)"	"--"	"白"	"R"	"--"	"国外"	"6.5"	"4.9"	"S"	"S"	"--"	"京DR 543"	"35.2"	"--"	"CMH80.973-2Y-3B-2Y-1B-1Y-OB"	"2"	"--"	"--"	"0.66"	"85.8"	"22.81"	"100"	"76"	"56"	"--"	"R"	"4"	"80"	"3"	"MONTANO-CMH77.774"	"25"	"长"	"100.0"	"--"	"0"	"--"	"地方"	"Triticum durum Desf.(硬粒小麦)"	"--"	"Gramineae(禾本科)"	"--"	"--"	"XM000429"	"--"	"春"	"I1B14608"	"白"	"--"	"--"	"25"	"S"	
"1260"	"晚"	"--"	"Triticum L.(小麦属)"	"--"	"白"	"--"	"--"	"国外"	"--"	"--"	"--"	"--"	"--"	"青0715"	"48.5"	"--"	"--"	"--"	"--"	"--"	"--"	"--"	"--"	"--"	"114"	"36"	"--"	"--"	"--"	"--"	"--"	"Montpellier 37856"	"--"	"黑长"	"--"	"--"	"--"	"--"	"地方"	"Triticum durum Desf.(硬粒小麦)"	"--"	"Gramineae(禾本科)"	"--"	"--"	"XM000430"	"--"	"弱冬"	"--"	"白"	"12.2"	"--"	"--"	"--"	
"1261"	"晚"	"--"	"Triticum L.(小麦属)"	"--"	"灰"	"--"	"--"	"国外"	"10.1"	"--"	"--"	"--"	"--"	"苏11197"	"47.5"	"--"	"--"	"--"	"--"	"--"	"--"	"--"	"--"	"--"	"125"	"43"	"--"	"--"	"--"	"--"	"--"	"Morocco"	"--"	"黑长"	"--"	"摩洛哥"	"--"	"--"	"地方"	"Triticum durum Desf.(硬粒小麦)"	"--"	"Gramineae(禾本科)"	"--"	"--"	"XM000431"	"--"	"弱冬"	"--"	"白"	"--"	"--"	"--"	"--"	
"1262"	"晚"	"--"	"Triticum L.(小麦属)"	"--"	"白"	"--"	"--"	"国外"	"12.6"	"--"	"--"	"--"	"--"	"苏11206"	"37.2"	"--"	"--"	"--"	"--"	"--"	"--"	"--"	"--"	"--"	"105"	"48"	"--"	"--"	"--"	"--"	"--"	"Morocco"	"--"	"黑长"	"--"	"摩洛哥"	"--"	"--"	"地方"	"Triticum durum Desf.(硬粒小麦)"	"--"	"Gramineae(禾本科)"	"--"	"--"	"XM000432"	"--"	"弱冬"	"I1B15017"	"红"	"12.1"	"--"	"--"	"--"	
"1263"	"晚"	"--"	"Triticum L.(小麦属)"	"--"	"红"	"R"	"--"	"国外"	"9.1"	"3.1"	"S"	"S"	"--"	"苏11250"	"31.7"	"--"	"--"	"4"	"--"	"100"	"--"	"77.5"	"--"	"100"	"110"	"46"	"--"	"MS"	"8"	"100"	"4"	"Morocco"	"5"	"长"	"100.0"	"摩洛哥"	"S"	"--"	"地方"	"Triticum durum Desf.(硬粒小麦)"	"100"	"Gramineae(禾本科)"	"--"	"--"	"XM000433"	"--"	"弱冬"	"I1B26351"	"白"	"--"	"--"	"40"	"MR"	
"1264"	"晚"	"--"	"Triticum L.(小麦属)"	"--"	"红"	"MR"	"--"	"国外"	"10.0"	"2.5"	"S"	"S"	"--"	"苏11255"	"42.7"	"--"	"--"	"4"	"--"	"100"	"--"	"62.5"	"--"	"100"	"115"	"41"	"--"	"MS"	"7"	"100"	"4"	"Morocco"	"5"	"长"	"100.0"	"摩洛哥"	"S"	"--"	"地方"	"Triticum durum Desf.(硬粒小麦)"	"100"	"Gramineae(禾本科)"	"--"	"--"	"XM000434"	"--"	"春"	"--"	"红"	"--"	"--"	"40"	"MR"	
