"id"	"品种名称"	"叶形"	"叶色"	"种质库编号"	"叶缘"	"属名"	"繁种单位"	"单产"	"学名"	"耐旱性"	"叶柄宽"	"株幅"	"叶柄长"	"叶宽"	"叶裂刻"	"耐寒性"	"叶柄色"	"译名"	"单株重"	"备注"	"统一编号"	"抗逆性"	"抗虫性"	"种子千粒重"	"单位编号"	"播种期"	"科名"	"纤维含量"	"株型"	"熟性"	"叶长"	"叶面刺毛"	"叶面"	"耐热性"	"收获期"	"叶柄厚"	"定植期"	"省"	"品种来源"	"贮藏性"	"用途"	"耐涝性"	"株高"	"抗病性"	"栽培时期"	"品质"	"生长期"
"43"	"增城大白菜(猪白菜)"	"倒卵"	"深绿"	"Ⅱ2B0553"	"--"	"Brassica(芸薹属)"	"广东农科院经作所"	"1400"	"Brassica campestris L. ssp. chinensis var. communis(白菜)"	"--"	"--"	"--"	"25.6"	"--"	"--"	"--"	"浅绿"	"ZENG CHENG DA BAI CAI (ZHU BAI CAI)"	"265"	"--"	"V02B0178"	"耐寒强"	"--"	"--"	"G4-99"	"--"	"Cruciferae(十字花科)"	"--"	"直立"	"--"	"--"	"--"	"平滑"	"--"	"--"	"0.8"	"--"	"广东"	"广东从化县"	"--"	"熟食"	"--"	"58.0"	"强"	"(9上-11下)-(10中-次年1中)"	"--"	"44"
"44"	"樟村白菜"	"椭圆"	"绿"	"Ⅱ2B0186"	"--"	"Brassica(芸薹属)"	"广东农科院经作所"	"2500"	"Brassica campestris L. ssp. chinensis var. communis(白菜)"	"--"	"--"	"--"	"14.3"	"--"	"--"	"--"	"白绿"	"ZHANG CUN BAI CAI"	"340"	"--"	"V02B0179"	"中"	"--"	"--"	"G4-70"	"--"	"Cruciferae(十字花科)"	"--"	"直立"	"--"	"--"	"--"	"平滑"	"--"	"--"	"1.4"	"--"	"广东"	"广东东莞县"	"--"	"熟食"	"--"	"26.6"	"中"	"(9上-11下)-(10上-12下)"	"--"	"45"
"45"	"三月青白菜"	"长椭圆"	"绿"	"Ⅱ2B0285"	"--"	"Brassica(芸薹属)"	"广西农科院园艺所"	"875"	"Brassica campestris L. ssp. chinensis var. communis(白菜)"	"--"	"1.5"	"--"	"7.0"	"--"	"--"	"--"	"绿白"	"SAN YUE QING BAI CAI"	"175"	"--"	"V02B0244"	"耐寒中"	"--"	"--"	"200094"	"--"	"Cruciferae(十字花科)"	"--"	"直立"	"--"	"--"	"--"	"平滑"	"--"	"--"	"0.6"	"--"	"广西"	"广西南宁市"	"--"	"熟食"	"--"	"40.0"	"抗软腐病中"	"(3.8)-(5.10)"	"--"	"55"
"46"	"黑叶白菜"	"椭圆"	"深绿"	"Ⅱ2B0198"	"--"	"Brassica(芸薹属)"	"广西农科院园艺所"	"3000"	"Brassica campestris L. ssp. chinensis var. communis(白菜)"	"--"	"2.0"	"--"	"6.0"	"--"	"--"	"--"	"白"	"HEI YE BAI CAI"	"875"	"耐寒"	"V02B0245"	"耐寒强"	"--"	"--"	"200060"	"--"	"Cruciferae(十字花科)"	"--"	"半直立"	"--"	"--"	"--"	"平滑"	"--"	"--"	"0.7"	"--"	"广西"	"广西梧州市"	"--"	"熟食干制"	"--"	"36.0"	"抗软腐病中"	"(2-8)-(4-10);(9-11)-(11-1)"	"--"	"58"
"47"	"花红油菜"	"卵圆"	"紫绿"	"Ⅱ2B0119"	"--"	"Brassica(芸薹属)"	"贵州农科院园艺所"	"500"	"Brassica campestris L. ssp. chinensis var. communis(白菜)"	"--"	"--"	"--"	"--"	"--"	"--"	"--"	"紫"	"HUA HONG YOU CAI"	"450"	"--"	"V02B0246"	"耐寒"	"--"	"--"	"2-B-22-21"	"--"	"Cruciferae(十字花科)"	"--"	"半直立"	"--"	"--"	"--"	"平滑"	"--"	"--"	"0.3"	"--"	"贵州"	"贵州贵阳市"	"--"	"熟食"	"--"	"49.0"	"--"	"9-次年3"	"--"	"90"
"48"	"仁怀瓢儿白"	"卵圆"	"深绿"	"Ⅱ2B0218"	"--"	"Brassica(芸薹属)"	"贵州农科院园艺所"	"2000"	"Brassica campestris L. ssp. chinensis var. communis(白菜)"	"--"	"--"	"--"	"--"	"--"	"--"	"--"	"绿白"	"REN HUAI PIAO ER BAI"	"1000"	"--"	"V02B0247"	"耐寒"	"--"	"--"	"2-B-22-13"	"--"	"Cruciferae(十字花科)"	"--"	"半直立"	"--"	"--"	"--"	"平滑"	"--"	"--"	"0.8"	"--"	"贵州"	"贵州仁怀县"	"--"	"熟食"	"--"	"27.0"	"较强"	"8-次年3"	"--"	"80"
"49"	"大瓢儿白"	"卵圆"	"绿"	"Ⅱ2B0220"	"--"	"Brassica(芸薹属)"	"贵州农科院园艺所"	"2000"	"Brassica campestris L. ssp. chinensis var. communis(白菜)"	"--"	"--"	"--"	"--"	"--"	"--"	"--"	"浅绿"	"DA PIAO ER BAI"	"1000"	"--"	"V02B0248"	"耐寒"	"--"	"--"	"2-B-22-26"	"--"	"Cruciferae(十字花科)"	"--"	"半直立"	"--"	"--"	"--"	"微皱"	"--"	"--"	"1.0"	"--"	"贵州"	"贵州思南县"	"--"	"熟食"	"--"	"38.0"	"--"	"9上-次年3"	"--"	"90"
"50"	"油菜"	"匙形"	"深绿"	"Ⅱ2B0609"	"--"	"Brassica(芸薹属)"	"河北农科院蔬菜所"	"2500"	"Brassica campestris L. ssp. chinensis var. communis(白菜)"	"--"	"--"	"--"	"--"	"--"	"--"	"--"	"绿"	"YOU CAI"	"100"	"--"	"V02B0253"	"中上"	"--"	"--"	"油6号"	"--"	"Cruciferae(十字花科)"	"--"	"直立"	"--"	"--"	"--"	"平滑"	"--"	"--"	"--"	"--"	"河北"	"河北元氏县"	"--"	"熟食"	"--"	"33.0"	"中上"	"(3.8)-(5.10)"	"--"	"60"
"51"	"便利菜"	"长椭圆"	"绿白"	"Ⅱ2B0608"	"--"	"Brassica(芸薹属)"	"河北农科院蔬菜所"	"2000"	"Brassica campestris L. ssp. chinensis var. communis(白菜)"	"--"	"--"	"--"	"--"	"--"	"--"	"--"	"绿白"	"BIAN LI CAI"	"150"	"--"	"V02B0254"	"中上"	"--"	"--"	"油5号"	"--"	"Cruciferae(十字花科)"	"--"	"直立"	"--"	"--"	"--"	"平滑"	"--"	"--"	"--"	"--"	"河北"	"河北蔬菜所"	"--"	"熟食"	"--"	"32.0"	"中上"	"(3.8)-(5.10)"	"--"	"60"
"52"	"登封黑白菜"	"卵圆"	"深绿"	"Ⅱ2B0277"	"--"	"Brassica(芸薹属)"	"河南农科院园艺所"	"--"	"Brassica campestris L. ssp. chinensis var. communis(白菜)"	"--"	"2.8"	"--"	"14.9"	"--"	"--"	"--"	"淡绿"	"DENG FENG HEI BAI CAI"	"--"	"--"	"V02B0255"	"耐寒较强"	"--"	"--"	"1B0052"	"--"	"Cruciferae(十字花科)"	"--"	"半直立"	"--"	"--"	"--"	"中皱"	"--"	"--"	"0.7"	"--"	"河南"	"河南登封县"	"--"	"熟食"	"--"	"43.4"	"--"	"8下-9中"	"--"	"50"
"53"	"方城黑白菜"	"卵圆"	"深绿"	"Ⅱ2B0382"	"--"	"Brassica(芸薹属)"	"河南农科院园艺所"	"2500"	"Brassica campestris L. ssp. chinensis var. communis(白菜)"	"--"	"1.8"	"--"	"18.3"	"--"	"--"	"--"	"浅绿"	"FANG CHENG HEI BAI CAI"	"47"	"--"	"V02B0256"	"耐寒中"	"--"	"--"	"1B0019"	"--"	"Cruciferae(十字花科)"	"--"	"半直立"	"--"	"--"	"--"	"微皱"	"--"	"--"	"0.3"	"--"	"河南"	"河南方城县"	"--"	"熟食"	"--"	"33.9"	"--"	"9下-次年3下"	"--"	"130"
"54"	"扶沟黄心菜"	"卵圆"	"浅绿"	"Ⅱ2B0202"	"--"	"Brassica(芸薹属)"	"河南农科院园艺所"	"4000"	"Brassica campestris L. ssp. chinensis var. communis(白菜)"	"--"	"1.6"	"--"	"14.8"	"--"	"--"	"--"	"白绿"	"FU GOU HUANG XIN CAI"	"50"	"--"	"V02B0257"	"耐寒较强"	"--"	"--"	"1B0013"	"--"	"Cruciferae(十字花科)"	"--"	"半开展"	"--"	"--"	"--"	"微皱"	"--"	"--"	"0.4"	"--"	"河南"	"河南扶沟县"	"--"	"熟食"	"--"	"29.4"	"--"	"8下-次年3中"	"--"	"130"
"55"	"郏县黑白菜"	"卵圆"	"绿"	"Ⅱ2B0200"	"--"	"Brassica(芸薹属)"	"河南农科院园艺所"	"4000"	"Brassica campestris L. ssp. chinensis var. communis(白菜)"	"--"	"1.5"	"--"	"20.1"	"--"	"--"	"--"	"浅绿"	"JIA XIAN HEI BAI CAI"	"55"	"--"	"V02B0299"	"耐寒较强"	"--"	"--"	"1B0011"	"--"	"Cruciferae(十字花科)"	"--"	"半直立"	"--"	"--"	"--"	"微皱"	"--"	"--"	"0.4"	"--"	"河南"	"河南郏县"	"--"	"熟食"	"--"	"34.3"	"--"	"9上-次年4上"	"--"	"100"
"56"	"荥阳黑白菜"	"卵圆"	"深绿"	"Ⅱ2B0214"	"--"	"Brassica(芸薹属)"	"河南农科院园艺所"	"5000"	"Brassica campestris L. ssp. chinensis var. communis(白菜)"	"--"	"1.8"	"--"	"22.4"	"--"	"--"	"--"	"白绿"	"XING YANG HEI BAI CAI"	"68"	"--"	"V02B0300"	"耐寒中"	"--"	"--"	"1B0047"	"--"	"Cruciferae(十字花科)"	"--"	"半直立"	"--"	"--"	"--"	"微皱"	"--"	"--"	"0.3"	"--"	"河南"	"河南荥阳县"	"--"	"熟食"	"--"	"37.8"	"--"	"9下-次年3,4"	"--"	"145"
"57"	"油菜"	"椭圆"	"深绿"	"Ⅱ2B0042"	"--"	"Brassica(芸薹属)"	"黑龙江省园艺所"	"1750"	"Brassica campestris L. ssp. chinensis var. communis(白菜)"	"--"	"6.0"	"--"	"15.0"	"--"	"--"	"--"	"白绿"	"YOU CAI"	"325"	"地方良种"	"V02B0301"	"强"	"--"	"--"	"6-1"	"--"	"Cruciferae(十字花科)"	"--"	"直立"	"--"	"--"	"--"	"平滑"	"--"	"--"	"0.2"	"--"	"黑龙"	"黑龙江哈尔滨市"	"--"	"熟食"	"--"	"25.0"	"强"	"3下-5下6上"	"--"	"65"
"58"	"乌叶白"	"卵圆"	"深绿"	"Ⅱ2B0443"	"--"	"Brassica(芸薹属)"	"湖北农科院经作所"	"1250"	"Brassica campestris L. ssp. chinensis var. communis(白菜)"	"--"	"--"	"--"	"--"	"--"	"--"	"--"	"浅绿"	"WU YE BAI"	"575"	"--"	"V02B0302"	"强"	"--"	"--"	"Ⅱ2B0004"	"--"	"Cruciferae(十字花科)"	"--"	"直立"	"--"	"--"	"--"	"平滑"	"--"	"--"	"--"	"--"	"湖北"	"湖北鄂州市"	"--"	"熟食"	"--"	"35.0"	"中"	"9上-次年3上"	"--"	"--"
"59"	"黑色毛白菜"	"倒卵圆"	"深绿"	"Ⅱ2B0310"	"--"	"Brassica(芸薹属)"	"湖北农科院经作所"	"1250"	"Brassica campestris L. ssp. chinensis var. communis(白菜)"	"--"	"--"	"--"	"--"	"--"	"--"	"--"	"浅绿"	"HEI SE MAO BAI CAI"	"--"	"--"	"V02B0303"	"强"	"--"	"--"	"Ⅱ2B0002"	"--"	"Cruciferae(十字花科)"	"--"	"半直立"	"--"	"--"	"--"	"中皱"	"--"	"--"	"--"	"--"	"湖北"	"湖北汉川县"	"--"	"熟食"	"--"	"20.0"	"强"	"8下-次年4上"	"--"	"90"
"60"	"矮脚黄小白菜"	"卵圆"	"黄绿"	"Ⅱ2B0154"	"--"	"Brassica(芸薹属)"	"湖北农科院经作所"	"2000"	"Brassica campestris L. ssp. chinensis var. communis(白菜)"	"--"	"--"	"--"	"11.5"	"--"	"--"	"--"	"白绿"	"AI JIAO HUANG XIAO BAI CAI"	"150"	"--"	"V02B0311"	"耐热"	"--"	"--"	"Ⅱ20001"	"--"	"Cruciferae(十字花科)"	"--"	"平展"	"--"	"--"	"--"	"微皱"	"--"	"--"	"0.2"	"--"	"湖北"	"湖北武汉市"	"--"	"熟食"	"--"	"28.5"	"中"	"3-9"	"--"	"45"
"61"	"热水白菜"	"椭圆"	"绿"	"Ⅱ2B0528"	"--"	"Brassica(芸薹属)"	"湖北农科院经作所"	"1075"	"Brassica campestris L. ssp. chinensis var. communis(白菜)"	"--"	"--"	"--"	"--"	"--"	"--"	"--"	"白绿"	"RE SHUI BAI CAI"	"275"	"--"	"V02B0312"	"强"	"--"	"--"	"续Ⅱ2B0009"	"--"	"Cruciferae(十字花科)"	"--"	"直立"	"--"	"--"	"--"	"平滑"	"--"	"--"	"--"	"--"	"湖北"	"湖北阳新县"	"--"	"熟食"	"--"	"30.0"	"中"	"8上-9下"	"--"	"48"
"62"	"矮脚白"	"椭圆"	"黄绿"	"Ⅱ2B0371"	"--"	"Brassica(芸薹属)"	"湖南农科院蔬菜所"	"1750"	"Brassica campestris L. ssp. chinensis var. communis(白菜)"	"--"	"5.5"	"--"	"--"	"--"	"--"	"--"	"白"	"AI JIAO BAI"	"378"	"--"	"V02B0313"	"耐寒热、不耐涝"	"--"	"--"	"2-B25"	"--"	"Cruciferae(十字花科)"	"--"	"直立"	"--"	"--"	"--"	"微皱"	"--"	"--"	"0.9"	"--"	"湖南"	"湖南常德市"	"--"	"熟食"	"--"	"35.3"	"较抗软腐病"	"(7下.10下)-(9中-次年1下)"	"--"	"60"
"63"	"春不老"	"椭圆"	"黄绿"	"Ⅱ2B0336"	"--"	"Brassica(芸薹属)"	"湖南农科院蔬菜所"	"2250"	"Brassica campestris L. ssp. chinensis var. communis(白菜)"	"--"	"3.6"	"--"	"--"	"--"	"--"	"--"	"白"	"CHUN BU LAO"	"396"	"--"	"V02B0314"	"中"	"--"	"--"	"2-B03"	"--"	"Cruciferae(十字花科)"	"--"	"直立"	"--"	"--"	"--"	"微皱"	"--"	"--"	"0.8"	"--"	"湖南"	"湖南常德市"	"--"	"熟食"	"--"	"31.0"	"强"	"(10上11上)-(次年3中4上)"	"--"	"110"
"64"	"白叶迟"	"椭圆"	"浅绿"	"Ⅱ2B0347"	"--"	"Brassica(芸薹属)"	"湖南农科院蔬菜所"	"3250"	"Brassica campestris L. ssp. chinensis var. communis(白菜)"	"--"	"4.8"	"--"	"13.5"	"--"	"--"	"--"	"白"	"BAI YE CHI"	"500"	"--"	"V02B0315"	"中"	"--"	"--"	"2-B24"	"--"	"Cruciferae(十字花科)"	"--"	"半直立"	"--"	"--"	"--"	"平滑"	"--"	"--"	"0.5"	"--"	"湖南"	"湖南长沙市"	"--"	"熟食"	"--"	"41.5"	"较弱"	"10上-次年3上中"	"--"	"150"
"65"	"箭梗白菜"	"椭圆"	"浅绿"	"Ⅱ2B0364"	"--"	"Brassica(芸薹属)"	"湖南农科院蔬菜所"	"1750"	"Brassica campestris L. ssp. chinensis var. communis(白菜)"	"--"	"--"	"--"	"--"	"--"	"--"	"--"	"白"	"JIAN GENG BAI CAI"	"550"	"--"	"V02B0357"	"耐寒中"	"--"	"--"	"2-B37"	"--"	"Cruciferae(十字花科)"	"--"	"直立"	"--"	"--"	"--"	"微皱"	"--"	"--"	"0.5"	"--"	"湖南"	"湖南澧县"	"--"	"熟食"	"--"	"31.0"	"中"	"8中-12上"	"--"	"55"
"66"	"芭菜"	"倒卵圆"	"绿"	"Ⅱ2B0152"	"--"	"Brassica(芸薹属)"	"江苏农科院蔬菜所"	"3000"	"Brassica campestris L. ssp. chinensis var. communis(白菜)"	"--"	"3.5"	"--"	"17.3"	"--"	"--"	"--"	"浅绿"	"BA CAI"	"385"	"--"	"V02B0358"	"耐寒强"	"--"	"--"	"78-6-2"	"--"	"Cruciferae(十字花科)"	"--"	"半直立"	"--"	"--"	"--"	"微皱"	"--"	"--"	"0.4"	"--"	"河南"	"河南淮阳县"	"--"	"熟食腌制"	"--"	"42.5"	"抗病毒病及蚜虫弱"	"(9下-11中)-(10上-次年4上)"	"--"	"130"
"67"	"宝应黑菜"	"卵圆"	"深绿"	"Ⅱ2B0301"	"--"	"Brassica(芸薹属)"	"江苏农科院蔬菜所"	"4250"	"Brassica campestris L. ssp. chinensis var. communis(白菜)"	"--"	"3.7"	"--"	"15.0"	"--"	"--"	"--"	"绿白"	"BAO YING HEI CAI"	"250"	"--"	"V02B0359"	"耐寒强"	"--"	"--"	"88-7-231"	"--"	"Cruciferae(十字花科)"	"--"	"直立"	"--"	"--"	"--"	"微皱"	"--"	"--"	"0.9"	"--"	"江苏"	"江苏宝应县"	"--"	"熟食"	"--"	"28.5"	"抗病毒及蚜虫强"	"10上下-(12下-次年2上)"	"--"	"135"
"68"	"棉花座子"	"卵圆"	"深绿"	"Ⅱ2B0267"	"--"	"Brassica(芸薹属)"	"江苏农科院蔬菜所"	"3500"	"Brassica campestris L. ssp. chinensis var. communis(白菜)"	"--"	"4.5"	"--"	"17.0"	"--"	"--"	"--"	"绿白"	"MIAN HUA ZUO ZI"	"660"	"春秋冬供应"	"V02B0360"	"耐寒强"	"--"	"--"	"79-9-74"	"--"	"Cruciferae(十字花科)"	"--"	"直立"	"--"	"--"	"--"	"平滑"	"--"	"--"	"0.7"	"--"	"江苏"	"江苏滨海县"	"--"	"熟食腌制"	"--"	"45.0"	"抗病毒及蚜虫中"	"10中下-(11下-次年4中)"	"--"	"190"
"69"	"半塌雪里青"	"近圆"	"深绿"	"Ⅱ2B0097"	"--"	"Brassica(芸薹属)"	"江苏农科院蔬菜所"	"2250"	"Brassica campestris L. ssp. chinensis var. communis(白菜)"	"--"	"3.6"	"--"	"8.3"	"--"	"--"	"--"	"绿"	"BAN TA XUE LI QING"	"300"	"--"	"V02B0361"	"耐寒强"	"--"	"--"	"80-4-122"	"--"	"Cruciferae(十字花科)"	"--"	"平展"	"--"	"--"	"--"	"中皱"	"--"	"--"	"0.4"	"--"	"江苏"	"江苏常熟市"	"--"	"熟食"	"--"	"17.5"	"抗病毒及蚜虫较弱"	"11中下-次年2中下"	"--"	"120"
"70"	"江阴菜"	"卵圆"	"深绿"	"Ⅱ2B0073"	"--"	"Brassica(芸薹属)"	"江苏农科院蔬菜所"	"3250"	"Brassica campestris L. ssp. chinensis var. communis(白菜)"	"--"	"3.8"	"--"	"24.0"	"--"	"--"	"--"	"浅绿"	"JIANG YIN CAI"	"575"	"引自江阴"	"V02B0409"	"耐寒"	"--"	"--"	"80-8-130"	"--"	"Cruciferae(十字花科)"	"--"	"直立"	"--"	"--"	"--"	"平滑"	"--"	"--"	"0.7"	"--"	"江苏"	"江苏启东县"	"--"	"熟食"	"--"	"21.5"	"抗病毒及蚜虫"	"9中下-(10下-次年3上)"	"--"	"70"
"71"	"碗儿青"	"近圆"	"深绿"	"Ⅱ2B0068"	"--"	"Brassica(芸薹属)"	"江苏农科院蔬菜所"	"2250"	"Brassica campestris L. ssp. chinensis var. communis(白菜)"	"--"	"3.5"	"--"	"11.0"	"--"	"--"	"--"	"绿"	"WAN ER QING"	"350"	"--"	"V02B0410"	"耐寒"	"--"	"--"	"80-8-141"	"--"	"Cruciferae(十字花科)"	"--"	"直立"	"--"	"--"	"--"	"平滑"	"--"	"--"	"0.4"	"--"	"江苏"	"江苏如东县"	"--"	"熟食"	"--"	"27.5"	"抗病毒及蚜虫较强"	"10上中-(11上-次年2上)"	"--"	"55"
"72"	"塌棵菜"	"近圆"	"深绿"	"Ⅱ2B0072"	"--"	"Brassica(芸薹属)"	"江苏农科院蔬菜所"	"1250"	"Brassica campestris L. ssp. chinensis var. communis(白菜)"	"--"	"3.7"	"--"	"12.0"	"--"	"--"	"--"	"绿白"	"TA KE CAI"	"200"	"--"	"V02B0411"	"耐寒"	"--"	"--"	"80-8-136"	"--"	"Cruciferae(十字花科)"	"--"	"平展"	"--"	"--"	"--"	"微皱"	"--"	"--"	"0.4"	"--"	"江苏"	"江苏如东县"	"--"	"熟食"	"--"	"22.5"	"抗病毒及蚜虫较弱"	"10上下-(12上-次年2下)"	"--"	"100"
"73"	"毛菜"	"倒卵圆"	"深绿"	"Ⅱ2B0075"	"--"	"Brassica(芸薹属)"	"江苏农科院蔬菜所"	"4500"	"Brassica campestris L. ssp. chinensis var. communis(白菜)"	"--"	"4.2"	"--"	"27.0"	"--"	"--"	"--"	"浅绿"	"MAO CAI"	"714"	"--"	"V02B0412"	"耐寒耐旱"	"--"	"--"	"78-8-25"	"--"	"Cruciferae(十字花科)"	"--"	"平展"	"--"	"--"	"--"	"平滑"	"--"	"--"	"0.9"	"--"	"江苏"	"江苏如皋县"	"--"	"熟食腌制"	"--"	"55.0"	"抗病毒及蚜虫强"	"(10中.11中)-(11下.次年4中)"	"--"	"180"
"74"	"百合头青菜"	"倒卵圆"	"绿"	"Ⅱ2B0305"	"--"	"Brassica(芸薹属)"	"江苏农科院蔬菜所"	"4250"	"Brassica campestris L. ssp. chinensis var. communis(白菜)"	"--"	"4.6"	"--"	"17.7"	"--"	"--"	"--"	"白"	"BAI HE TOU QING CAI"	"773"	"--"	"V02B0413"	"中"	"--"	"--"	"78-8-23"	"--"	"Cruciferae(十字花科)"	"--"	"直立"	"--"	"--"	"--"	"平滑"	"--"	"--"	"0.9"	"--"	"江苏"	"江苏如皋县"	"--"	"腌制"	"--"	"37.5"	"抗病毒及蚜虫"	"(9下.10上)-(次年1上.11下)"	"--"	"75"
"75"	"勺头菜"	"卵圆"	"绿"	"Ⅱ2B0234"	"--"	"Brassica(芸薹属)"	"江苏农科院蔬菜所"	"4500"	"Brassica campestris L. ssp. chinensis var. communis(白菜)"	"--"	"5.8"	"--"	"17.0"	"--"	"--"	"--"	"绿白"	"SHAO TOU CAI"	"848"	"--"	"V02B0469"	"--"	"--"	"--"	"79-5-92"	"--"	"Cruciferae(十字花科)"	"--"	"直立"	"--"	"--"	"--"	"平滑"	"--"	"--"	"1.0"	"--"	"江苏"	"江苏睢宁县"	"--"	"腌制"	"--"	"50.0"	"抗病毒及蚜虫"	"9中下-11上中"	"--"	"95"
"76"	"线杆白菜"	"卵圆"	"绿"	"Ⅱ2B0304"	"--"	"Brassica(芸薹属)"	"南昌市蔬菜所"	"2250"	"Brassica campestris L. ssp. chinensis var. communis(白菜)"	"--"	"1.1"	"--"	"35.0"	"--"	"--"	"--"	"白"	"XIAN GAN BAI CAI"	"1000"	"夏季作鸡毛菜栽培"	"V02B0470"	"较耐热耐寒"	"--"	"--"	"Ⅱ2B0014"	"--"	"Cruciferae(十字花科)"	"--"	"半直立"	"--"	"--"	"--"	"平滑"	"--"	"--"	"1.0"	"--"	"江西"	"江西抚州市"	"--"	"熟食腌制"	"--"	"55.0"	"中"	"(7.9)-(10下.次年1)"	"--"	"45"
"77"	"高脚黄芽白"	"卵圆"	"深绿"	"Ⅱ2B0302"	"--"	"Brassica(芸薹属)"	"南昌市蔬菜所"	"3500"	"Brassica campestris L. ssp. chinensis var. communis(白菜)"	"--"	"2.9"	"--"	"9.0"	"--"	"--"	"--"	"白"	"GAO JIAO HUANG YA BAI"	"700"	"--"	"V02B0471"	"强"	"--"	"--"	"Ⅱ2B0016"	"--"	"Cruciferae(十字花科)"	"--"	"直立"	"--"	"--"	"--"	"微皱"	"--"	"--"	"1.0"	"--"	"江西"	"江西抚州市"	"--"	"熟食"	"--"	"37.5"	"强"	"(8中.11中)-(9下.12下)"	"--"	"80"
"78"	"春不老"	"倒卵圆"	"深绿"	"Ⅱ2B0462"	"--"	"Brassica(芸薹属)"	"南昌市蔬菜所"	"2500"	"Brassica campestris L. ssp. chinensis var. communis(白菜)"	"--"	"5.0"	"--"	"13.0"	"--"	"--"	"--"	"白"	"CHUN BU LAO"	"750"	"稍有卷心"	"V02B0472"	"抗寒"	"--"	"--"	"Ⅱ2B0012"	"--"	"Cruciferae(十字花科)"	"--"	"直立"	"--"	"--"	"--"	"微皱"	"--"	"--"	"0.7"	"--"	"江西"	"江西抚州市"	"--"	"熟食"	"--"	"30.0"	"较抗软腐病"	"10中下-(次年3中-4上)"	"--"	"145"
"79"	"青梗白菜"	"近圆"	"深绿"	"Ⅱ2B0222"	"--"	"Brassica(芸薹属)"	"南昌市蔬菜所"	"3250"	"Brassica campestris L. ssp. chinensis var. communis(白菜)"	"--"	"4.5"	"--"	"14.0"	"--"	"--"	"--"	"浅绿"	"QING GENG BAI CAI"	"400"	"冬性弱,抽薹早"	"V02B0473"	"耐湿"	"--"	"--"	"Ⅱ2B0006"	"--"	"Cruciferae(十字花科)"	"--"	"直立"	"--"	"--"	"--"	"平滑"	"--"	"--"	"1.0"	"--"	"江西"	"江西景德镇市"	"--"	"熟食"	"--"	"39.0"	"较抗病"	"9上-(11上-12)"	"--"	"65"
"80"	"波阳白"	"卵圆"	"绿"	"Ⅱ2B0535"	"--"	"Brassica(芸薹属)"	"南昌市蔬菜所"	"2750"	"Brassica campestris L. ssp. chinensis var. communis(白菜)"	"--"	"4.8"	"--"	"20.0"	"--"	"--"	"--"	"白"	"BO YANG BAI"	"500"	"--"	"V02B0479"	"强"	"--"	"--"	"Ⅱ2B0011"	"--"	"Cruciferae(十字花科)"	"--"	"直立"	"--"	"--"	"--"	"平滑"	"--"	"--"	"6.0"	"--"	"江西"	"江西上饶市"	"--"	"熟食"	"--"	"50.0"	"强"	"(10.12)-(11.次年2)"	"--"	"80"
"81"	"早油冬菜"	"椭圆"	"深绿"	"Ⅱ2B0622"	"--"	"Brassica(芸薹属)"	"南昌市蔬菜所"	"2500"	"Brassica campestris L. ssp. chinensis var. communis(白菜)"	"--"	"5.2"	"--"	"14.0"	"--"	"--"	"--"	"白"	"ZAO YOU DONG CAI"	"700"	"--"	"V02B0480"	"强"	"--"	"--"	"Ⅱ2B0015"	"--"	"Cruciferae(十字花科)"	"--"	"半直立"	"--"	"--"	"--"	"平滑"	"--"	"--"	"1.0"	"--"	"江西"	"江西上饶市"	"--"	"熟食"	"--"	"35.0"	"中"	"(10.11)-(9.次年2)"	"--"	"60"
"82"	"矮脚黄油菜"	"近圆"	"绿"	"Ⅱ2B0519"	"--"	"Brassica(芸薹属)"	"内蒙农科院蔬菜所"	"1750"	"Brassica campestris L. ssp. chinensis var. communis(白菜)"	"--"	"2.5"	"--"	"14.0"	"--"	"--"	"--"	"白绿"	"AI JIAO HUANG YOU CAI"	"175"	"--"	"V02B0481"	"强"	"--"	"--"	"内2B006"	"--"	"Cruciferae(十字花科)"	"--"	"半平展"	"--"	"--"	"--"	"平滑"	"--"	"--"	"0.4"	"--"	"内蒙"	"内蒙包头市"	"--"	"熟食"	"--"	"25.0"	"强"	"3上-6上"	"--"	"53"
"83"	"中卫黄白菜"	"--"	"浅绿"	"Ⅱ2A0035"	"--"	"Brassica(芸薹属)"	"宁夏农林院蔬菜室"	"1000"	"Brassica campestris L. ssp. chinensis var. communis(白菜)"	"--"	"--"	"--"	"--"	"--"	"--"	"--"	"白"	"ZHONG WEI HUANG BAI CAI"	"--"	"--"	"V02B0482"	"--"	"--"	"--"	"87-1"	"--"	"Cruciferae(十字花科)"	"--"	"--"	"--"	"--"	"--"	"较平"	"--"	"--"	"--"	"--"	"宁夏"	"宁夏中卫县"	"--"	"--"	"--"	"30.0"	"--"	"(3下.7下)-(5上.9上)"	"--"	"70"
