"id"	"熟性"	"天然结实"	"科名"	"PVY"	"品种名称"	"丰产性"	"晚疫病抗性"	"大小"	"征集地点"	"淀粉含量"	"病毒抗感性"	"蒸食品质"	"肉色"	"省"	"形状"	"亲本"	"皮色"	"学名"	"统一编号"	"耐储性"	"译名"	"其它"	"属名"	"品种来源"	"PVX"	"皮光滑度"	"芽眼深浅"	"送留单位"	"花色"	"整齐度"
"358"	"晚"	"--"	"Solanaceae(茄科)"	"--"	"Ica Guantiva"	"低"	"--"	"--"	"CIP (1984)"	"13.4"	"感束顶,Y病毒,抗X.中抗LR"	"--"	"淡黄"	"国外"	"扁圆"	"--"	"深紫"	"Solanum tuberosum L.(马铃薯)"	"MSG00527"	"--"	"Ica Guantiva"	"--"	"Solanum(茄属)"	"哥伦比亚"	"--"	"--"	"浅"	"黑院克 中院蔬"	"紫红"	"不整齐"
"359"	"晚"	"--"	"Solanaceae(茄科)"	"--"	"Ica Narino"	"低"	"--"	"--"	"CIP (1985)"	"18.7"	"感束顶,LR.X.Y病毒"	"--"	"黄"	"国外"	"椭圆"	"--"	"紫红"	"Solanum tuberosum L.(马铃薯)"	"MSG00528"	"--"	"Ica Narino"	"--"	"Solanum(茄属)"	"哥伦比亚"	"--"	"--"	"浅"	"黑院克 中院蔬"	"蓝紫"	"不整齐"
"360"	"中"	"--"	"Solanaceae(茄科)"	"--"	"Ica San Jorge"	"低"	"--"	"--"	"CIP (1984)"	"10.4"	"感LR.X.Y病毒"	"--"	"白"	"国外"	"椭圆"	"--"	"白"	"Solanum tuberosum L.(马铃薯)"	"MSG00529"	"--"	"Ica San Jorge"	"--"	"Solanum(茄属)"	"哥伦比亚"	"--"	"--"	"中"	"黑院克 中院蔬"	"浅紫"	"整齐"
"361"	"中"	"--"	"Solanaceae(茄科)"	"--"	"I-1035"	"低"	"--"	"--"	"CIP (1984)"	"13.4"	"感LR.X病毒,对Y病过敏"	"--"	"白"	"国外"	"椭圆"	"--"	"白"	"Solanum tuberosum L.(马铃薯)"	"MSG00530"	"--"	"I-1035"	"--"	"Solanum(茄属)"	"印度"	"--"	"--"	"浅"	"黑院克 中院蔬"	"白"	"整齐"
"362"	"晚"	"--"	"Solanaceae(茄科)"	"--"	"I-1039"	"中"	"--"	"--"	"CIP (1984)"	"17.4"	"感束顶,X病毒,对Y病毒?"	"--"	"黄"	"国外"	"圆"	"--"	"红"	"Solanum tuberosum L.(马铃薯)"	"MSG00531"	"--"	"I-1039"	"--"	"Solanum(茄属)"	"印度"	"--"	"--"	"中"	"黑院克 中院蔬"	"紫"	"不整齐"
"363"	"晚"	"--"	"Solanaceae(茄科)"	"--"	"I-1150"	"中"	"--"	"--"	"CIP (1985)"	"14.4"	"感束顶LR.X.Y病毒"	"--"	"白"	"国外"	"椭圆"	"--"	"淡黄"	"Solanum tuberosum L.(马铃薯)"	"MSG00532"	"--"	"I-1150"	"--"	"Solanum(茄属)"	"印度"	"--"	"--"	"浅"	"黑院克 中院蔬"	"白"	"整齐"
"364"	"晚"	"--"	"Solanaceae(茄科)"	"--"	"I-822"	"低"	"--"	"--"	"CIP (1984)"	"14.8"	"感束顶X.Y病毒"	"--"	"淡黄"	"国外"	"椭圆"	"--"	"白"	"Solanum tuberosum L.(马铃薯)"	"MSG00533"	"--"	"I-822"	"--"	"Solanum(茄属)"	"印度"	"--"	"--"	"中"	"黑院克 中院蔬"	"紫"	"整齐"
"365"	"中"	"--"	"Solanaceae(茄科)"	"--"	"I-850"	"中"	"--"	"--"	"CIP (1985)"	"17.9"	"感X病毒,对Y病毒过敏"	"--"	"白"	"国外"	"扁椭圆"	"--"	"白"	"Solanum tuberosum L.(马铃薯)"	"MSG00534"	"--"	"I-850"	"--"	"Solanum(茄属)"	"印度"	"--"	"--"	"浅"	"黑院克 中院蔬"	"浅紫"	"整齐"
"366"	"中晚"	"--"	"Solanaceae(茄科)"	"--"	"I-853"	"中"	"--"	"--"	"CIP (1984)"	"18.2"	"感束顶,LR.X.对Y病毒过敏"	"--"	"白"	"国外"	"长椭圆"	"--"	"白"	"Solanum tuberosum L.(马铃薯)"	"MSG00535"	"--"	"I-853"	"--"	"Solanum(茄属)"	"印度"	"--"	"--"	"浅红"	"黑院克 中院蔬"	"白"	"整齐"
"367"	"晚"	"--"	"Solanaceae(茄科)"	"--"	"I-931"	"低"	"--"	"--"	"CIP (1984)"	"10.7"	"感束顶LR.X.Y病毒"	"--"	"黄"	"国外"	"椭圆"	"--"	"黄"	"Solanum tuberosum L.(马铃薯)"	"MSG00536"	"--"	"I-931"	"--"	"Solanum(茄属)"	"印度"	"--"	"--"	"浅"	"黑院克 中院蔬"	"白"	"中"
"368"	"中晚"	"--"	"Solanaceae(茄科)"	"--"	"KTT-60-21-19"	"低"	"--"	"--"	"CIP (1985)"	"15.6"	"感LR.Y病毒,对X病毒过敏"	"--"	"白"	"国外"	"圆"	"--"	"白"	"Solanum tuberosum L.(马铃薯)"	"MSG00537"	"--"	"KTT-60-21-19"	"--"	"Solanum(茄属)"	"荷兰"	"--"	"--"	"中"	"黑院克 中院蔬"	"白"	"整齐"
"369"	"晚"	"--"	"Solanaceae(茄科)"	"--"	"KUFRI Sindhuri"	"低"	"--"	"--"	"CIP (1986)"	"6.3"	"感LR.Y病毒"	"--"	"淡黄"	"国外"	"圆"	"--"	"淡红"	"Solanum tuberosum L.(马铃薯)"	"MSG00538"	"--"	"KUFRI Sindhuri"	"--"	"Solanum(茄属)"	"印度"	"--"	"--"	"中"	"黑院克 中院蔬"	"浅紫"	"整齐"
"370"	"中"	"--"	"Solanaceae(茄科)"	"--"	"Kw-78-34-478"	"中"	"--"	"--"	"--"	"19.2"	"抗LR"	"--"	"黄"	"国外"	"椭圆"	"--"	"锈色"	"Solanum tuberosum L.(马铃薯)"	"MSG00539"	"--"	"Kw-78-34-478"	"--"	"Solanum(茄属)"	"荷兰"	"--"	"--"	"浅"	"黑院克 中院蔬"	"白"	"整齐"
"371"	"中"	"--"	"Solanaceae(茄科)"	"--"	"Le-1"	"高"	"--"	"--"	"美国(1985)"	"14.4"	"感束顶,皱缩花色"	"--"	"白"	"国外"	"长形"	"--"	"白"	"Solanum tuberosum L.(马铃薯)"	"MSG00540"	"--"	"Le-1"	"--"	"Solanum(茄属)"	"美国"	"--"	"--"	"浅"	"黑院克 中院蔬"	"白"	"不整齐"
"372"	"中早"	"--"	"Solanaceae(茄科)"	"--"	"Lemhi"	"中"	"--"	"--"	"美国(1985)"	"15.4"	"感束顶"	"--"	"白"	"国外"	"长椭圆"	"--"	"锈色"	"Solanum tuberosum L.(马铃薯)"	"MSG00541"	"--"	"Lemhi"	"--"	"Solanum(茄属)"	"美国"	"--"	"--"	"浅"	"黑院克 中院蔬"	"浅紫"	"整齐"
"373"	"晚"	"--"	"Solanaceae(茄科)"	"--"	"Loman"	"低"	"--"	"--"	"CIP (1984)"	"17.3"	"感LR.抗X.对Y病毒过敏"	"--"	"黄"	"国外"	"椭圆"	"--"	"黄"	"Solanum tuberosum L.(马铃薯)"	"MSG00542"	"--"	"Loman"	"--"	"Solanum(茄属)"	"--"	"--"	"--"	"浅"	"黑院克 中院蔬"	"浅紫"	"整齐"
"374"	"中"	"--"	"Solanaceae(茄科)"	"--"	"LT-1"	"低"	"--"	"--"	"CIP (1984)"	"14.8"	"感LR,抗Y病毒"	"--"	"淡黄"	"国外"	"扁圆"	"--"	"淡黄"	"Solanum tuberosum L.(马铃薯)"	"MSG00543"	"--"	"LT-1"	"--"	"Solanum(茄属)"	"CIP"	"--"	"--"	"浅"	"黑院克 中院蔬"	"浅紫"	"整齐"
"375"	"中晚"	"--"	"Solanaceae(茄科)"	"--"	"LT-4"	"高"	"--"	"--"	"CIP (1984)"	"--"	"感X.LR,抗Y?"	"--"	"白"	"国外"	"扁圆"	"--"	"黄"	"Solanum tuberosum L.(马铃薯)"	"MSG00544"	"--"	"LT-4"	"--"	"Solanum(茄属)"	"CIP"	"--"	"--"	"中"	"黑院克 中院蔬"	"白"	"不整齐"
"376"	"中晚"	"--"	"Solanaceae(茄科)"	"--"	"LT-5"	"高"	"--"	"--"	"CIP (1984)"	"18.2"	"感LR,Y病毒"	"--"	"淡黄"	"国外"	"扁椭圆"	"--"	"微粉"	"Solanum tuberosum L.(马铃薯)"	"MSG00545"	"--"	"LT-5"	"--"	"Solanum(茄属)"	"CIP"	"--"	"--"	"浅"	"黑院克 中院蔬"	"浅紫"	"整齐"
"377"	"晚"	"--"	"Solanaceae(茄科)"	"--"	"LT-7"	"中"	"--"	"--"	"CIP (1984)"	"12.9"	"感束顶,Y.X病毒"	"--"	"黄"	"国外"	"扁圆"	"--"	"白"	"Solanum tuberosum L.(马铃薯)"	"MSG00546"	"--"	"LT-7"	"--"	"Solanum(茄属)"	"CIP"	"--"	"--"	"浅紫"	"黑院克 中院蔬"	"蓝紫"	"整齐"
"378"	"中"	"--"	"Solanaceae(茄科)"	"--"	"Maris peer"	"高"	"--"	"--"	"CIP (1984)"	"14.9"	"感LR.X.Y病毒"	"--"	"白"	"国外"	"长椭圆"	"--"	"白"	"Solanum tuberosum L.(马铃薯)"	"MSG00547"	"--"	"Maris peer"	"--"	"Solanum(茄属)"	"GBR"	"--"	"--"	"浅"	"黑院克 中院蔬"	"紫"	"整齐"
"379"	"晚"	"--"	"Solanaceae(茄科)"	"--"	"MEX-32"	"低"	"--"	"--"	"CIP (1985)"	"17.1"	"感X.Y病毒,中抗LR"	"--"	"白"	"国外"	"椭圆"	"--"	"白"	"Solanum tuberosum L.(马铃薯)"	"MSG00548"	"--"	"MEX-32"	"--"	"Solanum(茄属)"	"墨西哥"	"--"	"--"	"浅"	"黑院克 中院蔬"	"白"	"不整齐"
"380"	"晚"	"--"	"Solanaceae(茄科)"	"--"	"MEX-750815"	"中"	"--"	"--"	"CIP (1984)"	"18.4"	"感束顶,LR.X病毒,对Y病毒过敏"	"--"	"淡黄"	"国外"	"倒卵"	"--"	"黄"	"Solanum tuberosum L.(马铃薯)"	"MSG00549"	"--"	"MEX-750815"	"--"	"Solanum(茄属)"	"墨西哥"	"--"	"--"	"浅"	"黑院克 中院蔬"	"白"	"不整齐"
"381"	"中早"	"--"	"Solanaceae(茄科)"	"--"	"MEX-750821"	"中"	"--"	"--"	"CIP (1985)"	"18.4"	"感束顶.LR.X.Y病毒"	"--"	"黄"	"国外"	"椭圆"	"--"	"淡红"	"Solanum tuberosum L.(马铃薯)"	"MSG00550"	"--"	"MEX-750821"	"--"	"Solanum(茄属)"	"墨西哥"	"--"	"--"	"浅"	"黑院克 中院蔬"	"浅紫"	"整齐"
"382"	"晚"	"--"	"Solanaceae(茄科)"	"--"	"MEX-750826"	"低"	"--"	"--"	"CIP (1985)"	"15.4"	"感束顶.X.Y病毒"	"--"	"黄"	"国外"	"椭圆"	"--"	"淡红"	"Solanum tuberosum L.(马铃薯)"	"MSG00551"	"--"	"MEX-750826"	"--"	"Solanum(茄属)"	"墨西哥"	"--"	"--"	"中"	"黑院克 中院蔬"	"蓝紫"	"不整齐"
"383"	"晚"	"--"	"Solanaceae(茄科)"	"--"	"MEX-750838"	"低"	"--"	"--"	"CIP (1984)"	"17.4"	"感束顶.LR.X.Y病毒"	"--"	"白"	"国外"	"椭圆"	"--"	"白"	"Solanum tuberosum L.(马铃薯)"	"MSG00552"	"--"	"MEX-750838"	"--"	"Solanum(茄属)"	"墨西哥"	"--"	"--"	"浅"	"黑院克 中院蔬"	"白"	"整齐"
"384"	"晚"	"--"	"Solanaceae(茄科)"	"--"	"MEX-750847"	"低"	"--"	"--"	"CIP (1984)"	"16.4"	"感束顶LR.病毒,抗Y病毒"	"--"	"黄"	"国外"	"扁圆"	"--"	"黄"	"Solanum tuberosum L.(马铃薯)"	"MSG00553"	"--"	"MEX-750847"	"--"	"Solanum(茄属)"	"墨西哥"	"--"	"--"	"深紫"	"黑院克 中院蔬"	"浅兰"	"不整齐"
"385"	"晚"	"--"	"Solanaceae(茄科)"	"--"	"Mineira"	"低"	"--"	"--"	"CIP (1985)"	"17.0"	"感LR.X.Y病毒"	"--"	"黄"	"国外"	"椭圆"	"--"	"黄"	"Solanum tuberosum L.(马铃薯)"	"MSG00554"	"--"	"Mineira"	"--"	"Solanum(茄属)"	"巴西"	"--"	"--"	"浅"	"黑院克 中院蔬"	"白"	"不整齐"
"386"	"晚"	"--"	"Solanaceae(茄科)"	"--"	"Montsama"	"中"	"--"	"--"	"CIP (1985)"	"21.0"	"感LR.X.Y病毒"	"--"	"黄"	"国外"	"扁椭圆"	"--"	"红"	"Solanum tuberosum L.(马铃薯)"	"MSG00555"	"--"	"Montsama"	"--"	"Solanum(茄属)"	"墨西哥"	"--"	"--"	"中"	"黑院克 中院蔬"	"浅紫"	"不整齐"
"387"	"中晚"	"--"	"Solanaceae(茄科)"	"--"	"Ms-1C.2"	"低"	"--"	"--"	"CIP (1984)"	"16.3"	"感束顶.X.Y病毒,抗LR病毒"	"--"	"乳白"	"国外"	"圆"	"--"	"紫红"	"Solanum tuberosum L.(马铃薯)"	"MSG00556"	"--"	"Ms-1C.2"	"--"	"Solanum(茄属)"	"美国"	"--"	"--"	"浅"	"黑院克 中院蔬"	"白"	"整齐"
"388"	"中"	"--"	"Solanaceae(茄科)"	"--"	"Ms-35.4"	"低"	"--"	"--"	"CIP (1984)"	"16.4"	"感束顶.X.Y病毒"	"--"	"黄"	"国外"	"椭圆"	"--"	"红黄相间"	"Solanum tuberosum L.(马铃薯)"	"MSG00557"	"--"	"Ms-35.4"	"--"	"Solanum(茄属)"	"美国"	"--"	"--"	"浅"	"黑院克 中院蔬"	"紫"	"整齐"
"389"	"晚"	"--"	"Solanaceae(茄科)"	"--"	"Ms-35.22"	"低"	"--"	"--"	"CIP (1984)"	"14.4"	"感LR.束顶、X病毒,中抗Y病毒"	"--"	"淡黄"	"国外"	"椭圆"	"--"	"淡黄"	"Solanum tuberosum L.(马铃薯)"	"MSG00558"	"--"	"Ms-35.22"	"--"	"Solanum(茄属)"	"美国"	"--"	"--"	"浅"	"黑院克 中院蔬"	"紫"	"整齐"
"390"	"中"	"--"	"Solanaceae(茄科)"	"--"	"Ms-42.3"	"中"	"--"	"--"	"CIP (1984)"	"17.2"	"感束顶.LR病毒"	"--"	"黄"	"国外"	"椭圆"	"--"	"深紫"	"Solanum tuberosum L.(马铃薯)"	"MSG00559"	"--"	"Ms-42.3"	"--"	"Solanum(茄属)"	"美国"	"--"	"--"	"浅"	"黑院克 中院蔬"	"蓝"	"整齐"
"391"	"中"	"--"	"Solanaceae(茄科)"	"--"	"Ms-90.18"	"低"	"--"	"--"	"CIP (1984)"	"15.1"	"感束顶,X病毒,抗Y病毒?"	"--"	"黄"	"国外"	"扁圆"	"--"	"黄"	"Solanum tuberosum L.(马铃薯)"	"MSG00560"	"--"	"Ms-90.18"	"--"	"Solanum(茄属)"	"美国"	"--"	"--"	"浅紫红"	"黑院克 中院蔬"	"浅紫"	"--"
"392"	"晚"	"--"	"Solanaceae(茄科)"	"--"	"Murca"	"中"	"--"	"--"	"CIP (1984)"	"15.6"	"抗Y病毒,感LR.X病毒"	"--"	"黄"	"国外"	"扁圆"	"--"	"淡褐"	"Solanum tuberosum L.(马铃薯)"	"MSG00561"	"--"	"Murca"	"--"	"Solanum(茄属)"	"墨西哥"	"--"	"--"	"中"	"黑院克 中院蔬"	"浅紫"	"不整齐"
"393"	"中晚"	"--"	"Solanaceae(茄科)"	"--"	"N-565.1"	"低"	"--"	"--"	"CIP (1985)"	"12.9"	"感LR.X.Y病毒"	"--"	"白"	"国外"	"扁圆"	"--"	"白"	"Solanum tuberosum L.(马铃薯)"	"MSG00562"	"--"	"N-565.1"	"--"	"Solanum(茄属)"	"美国"	"--"	"--"	"浅"	"黑院克 中院蔬"	"浅紫"	"整齐"
"394"	"中晚"	"--"	"Solanaceae(茄科)"	"--"	"N-664-127-2"	"中"	"--"	"--"	"加拿大 (1985)"	"15.9"	"感皱缩花叶"	"--"	"淡黄"	"国外"	"椭圆"	"--"	"淡黄"	"Solanum tuberosum L.(马铃薯)"	"MSG00563"	"--"	"N-664-127-2"	"--"	"Solanum(茄属)"	"加拿大"	"--"	"--"	"浅"	"黑院克 中院蔬"	"--"	"整齐"
"395"	"中"	"--"	"Solanaceae(茄科)"	"--"	"N-664-127-4"	"高"	"--"	"--"	"加拿大(1985)"	"14.4"	"感皱缩花叶"	"--"	"淡黄"	"国外"	"椭圆"	"--"	"淡黄"	"Solanum tuberosum L.(马铃薯)"	"MSG00564"	"--"	"N-664-127-4"	"--"	"Solanum(茄属)"	"加拿大"	"--"	"--"	"浅"	"黑院克 中院蔬"	"白"	"--"
"396"	"晚"	"--"	"Solanaceae(茄科)"	"--"	"Parda Pastusa"	"低"	"--"	"--"	"CIP (1985)"	"14.9"	"感LR.X.Y病毒"	"--"	"白"	"国外"	"扁圆"	"--"	"淡红"	"Solanum tuberosum L.(马铃薯)"	"MSG00565"	"--"	"Parda Pastusa"	"--"	"Solanum(茄属)"	"哥伦比亚"	"--"	"--"	"中"	"黑院克 中院蔬"	"白"	"不整齐"
"397"	"中"	"--"	"Solanaceae(茄科)"	"--"	"Piratini"	"低"	"--"	"--"	"CIP (1984)"	"17.7"	"束顶重,感Y.LR,抗X病毒"	"--"	"黄"	"国外"	"扁圆"	"--"	"淡红"	"Solanum tuberosum L.(马铃薯)"	"MSG00566"	"--"	"Piratini"	"--"	"Solanum(茄属)"	"巴西"	"--"	"--"	"中"	"黑院克 中院蔬"	"紫"	"不整齐"
"398"	"中"	"--"	"Solanaceae(茄科)"	"--"	"Pirola"	"低"	"--"	"--"	"CIP (1984)"	"14.6"	"抗LR.对Y免疫,对X过敏"	"--"	"白"	"国外"	"圆"	"--"	"黄"	"Solanum tuberosum L.(马铃薯)"	"MSG00567"	"--"	"Pirola"	"--"	"Solanum(茄属)"	"--"	"--"	"--"	"中"	"黑院克 中院蔬"	"白"	"不整齐"
"399"	"晚"	"--"	"Solanaceae(茄科)"	"--"	"PI-1230502"	"低"	"--"	"--"	"CIP (1984)"	"14.6"	"感束顶,X病毒,对Y病毒过敏"	"--"	"淡黄"	"国外"	"圆"	"--"	"白"	"Solanum tuberosum L.(马铃薯)"	"MSG00568"	"--"	"PI-1230502"	"--"	"Solanum(茄属)"	"CIP"	"--"	"--"	"深"	"黑院克 中院蔬"	"白"	"不整齐"
"400"	"晚"	"--"	"Solanaceae(茄科)"	"--"	"POOS-16"	"高"	"--"	"--"	"CIP (1985)"	"15.6"	"感X病毒,抗LR"	"--"	"黄"	"国外"	"椭圆"	"--"	"黄"	"Solanum tuberosum L.(马铃薯)"	"MSG00569"	"--"	"POOS-16"	"--"	"Solanum(茄属)"	"NDL"	"--"	"--"	"浅"	"黑院克 中院蔬"	"白"	"不整齐"
"401"	"中"	"--"	"Solanaceae(茄科)"	"--"	"PSP-30.1"	"低"	"--"	"--"	"CIP (1984)"	"12.1"	"感LR.束顶.X.Y病毒"	"--"	"淡黄"	"国外"	"椭圆"	"--"	"淡黄"	"Solanum tuberosum L.(马铃薯)"	"MSG00570"	"--"	"PSP-30.1"	"--"	"Solanum(茄属)"	"美国"	"--"	"--"	"浅"	"黑院克 中院蔬"	"浅紫"	"整齐"
"402"	"晚"	"--"	"Solanaceae(茄科)"	"--"	"P-4"	"低"	"--"	"--"	"CIP (1985)"	"16.9"	"感束顶,皱缩花叶"	"--"	"黄"	"国外"	"扁椭圆"	"--"	"黄"	"Solanum tuberosum L.(马铃薯)"	"MSG00571"	"--"	"P-4"	"--"	"Solanum(茄属)"	"CIP"	"--"	"--"	"浅"	"黑院克 中院蔬"	"白"	"不整齐"
"403"	"晚"	"--"	"Solanaceae(茄科)"	"--"	"P-5"	"低"	"--"	"--"	"CIP (1985)"	"19.0"	"轻微束顶"	"--"	"白"	"国外"	"扁圆"	"--"	"白"	"Solanum tuberosum L.(马铃薯)"	"MSG00572"	"--"	"P-5"	"--"	"Solanum(茄属)"	"CIP"	"--"	"--"	"浅紫"	"黑院克 中院蔬"	"浅紫"	"不整齐"
"404"	"晚"	"--"	"Solanaceae(茄科)"	"--"	"P-6"	"中"	"--"	"--"	"CIP (1985)"	"13.9"	"感束顶"	"--"	"淡黄"	"国外"	"扁椭圆"	"--"	"红"	"Solanum tuberosum L.(马铃薯)"	"MSG00573"	"--"	"P-6"	"--"	"Solanum(茄属)"	"CIP"	"--"	"--"	"浅白斑"	"黑院克 中院蔬"	"浅紫"	"不整齐"
"405"	"晚"	"--"	"Solanaceae(茄科)"	"--"	"P-7"	"中"	"--"	"--"	"CIP (1985)"	"15.4"	"感束顶,花叶"	"--"	"乳白"	"国外"	"扁圆"	"--"	"淡黄"	"Solanum tuberosum L.(马铃薯)"	"MSG00574"	"--"	"P-7"	"--"	"Solanum(茄属)"	"CIP"	"--"	"--"	"浅紫"	"黑院克 中院蔬"	"紫"	"不整齐"
"406"	"中晚"	"--"	"Solanaceae(茄科)"	"--"	"P-55.7"	"低"	"--"	"--"	"CIP (1984)"	"17.9"	"感束顶LR.Y病毒抗X病毒"	"--"	"黄"	"国外"	"椭圆"	"--"	"黄"	"Solanum tuberosum L.(马铃薯)"	"MSG00575"	"--"	"P-55.7"	"--"	"Solanum(茄属)"	"GBR"	"--"	"--"	"中"	"黑院克 中院蔬"	"浅兰"	"不整齐"
"407"	"晚"	"--"	"Solanaceae(茄科)"	"--"	"R-128.6"	"中"	"--"	"--"	"CIP (1984)"	"10.4"	"感X病毒,抗Y?"	"--"	"淡黄"	"国外"	"椭圆"	"--"	"淡紫"	"Solanum tuberosum L.(马铃薯)"	"MSG00576"	"--"	"R-128.6"	"--"	"Solanum(茄属)"	"CIP"	"--"	"--"	"中深紫"	"黑院克 中院蔬"	"蓝"	"整齐"
"408"	"中晚"	"--"	"Solanaceae(茄科)"	"--"	"Radosa"	"高"	"--"	"--"	"CIP (1985)"	"15.4"	"感束顶,皱缩花叶,对病毒免疫"	"--"	"淡黄"	"国外"	"椭圆"	"(Bintje×MPI 19268)"	"黄"	"Solanum tuberosum L.(马铃薯)"	"MSG00577"	"--"	"Radosa"	"--"	"Solanum(茄属)"	"荷兰"	"--"	"--"	"浅"	"黑院克 中院蔬"	"浅紫红"	"--"
"409"	"晚"	"--"	"Solanaceae(茄科)"	"--"	"Rosa"	"高"	"--"	"--"	"CIP (1985)"	"13.4"	"感LR.花叶"	"--"	"白"	"国外"	"椭圆"	"(JMI-8×Wauseon)"	"白"	"Solanum tuberosum L.(马铃薯)"	"MSG00578"	"--"	"Rosa"	"--"	"Solanum(茄属)"	"美国"	"--"	"--"	"浅粉"	"黑院克 中院蔬"	"紫"	"整齐"
"410"	"中"	"--"	"Solanaceae(茄科)"	"--"	"Rosida"	"中"	"--"	"--"	"CIP (1984)"	"15.4"	"感束顶.X.Y病害"	"--"	"黄"	"国外"	"椭圆"	"--"	"黄"	"Solanum tuberosum L.(马铃薯)"	"MSG00579"	"--"	"Rosida"	"--"	"Solanum(茄属)"	"墨西哥"	"--"	"--"	"中红"	"黑院克 中院蔬"	"浅紫"	"整齐"
"411"	"中晚"	"--"	"Solanaceae(茄科)"	"--"	"Roslin Castle"	"中"	"--"	"--"	"CIP (1984)"	"18.4"	"抗LR.对Y过敏"	"--"	"淡黄"	"国外"	"椭圆"	"--"	"黄"	"Solanum tuberosum L.(马铃薯)"	"MSG00580"	"--"	"Roslin Castle"	"--"	"Solanum(茄属)"	"GBR"	"--"	"--"	"浅"	"黑院克 中院蔬"	"白"	"整齐"
"412"	"晚"	"--"	"Solanaceae(茄科)"	"--"	"SA-1142"	"低"	"--"	"--"	"CIP (1984)"	"13.4"	"感束顶及皱缩花叶"	"--"	"黄"	"国外"	"椭圆"	"--"	"淡红"	"Solanum tuberosum L.(马铃薯)"	"MSG00581"	"--"	"SA-1142"	"--"	"Solanum(茄属)"	"秘鲁"	"--"	"--"	"中"	"黑院克 中院蔬"	"浅紫"	"不整齐"
"413"	"中晚"	"--"	"Solanaceae(茄科)"	"--"	"SA-388.A"	"低"	"--"	"--"	"CIP (1985)"	"11.1"	"感束顶,LR.Y病毒,抗X病毒"	"--"	"黄"	"国外"	"圆"	"--"	"粉红"	"Solanum tuberosum L.(马铃薯)"	"MSG00582"	"--"	"SA-388.A"	"--"	"Solanum(茄属)"	"秘鲁"	"--"	"--"	"中"	"黑院克 中院蔬"	"浅紫"	"--"
"414"	"晚"	"--"	"Solanaceae(茄科)"	"--"	"S.andigena"	"低"	"--"	"--"	"CIP (1984)"	"--"	"感花叶,束顶"	"--"	"黄"	"国外"	"圆"	"--"	"黄"	"Solanum tuberosum L.(马铃薯)"	"MSG00583"	"--"	"S.andigena"	"--"	"Solanum(茄属)"	"--"	"--"	"--"	"浅紫"	"黑院克 中院蔬"	"深紫"	"不整齐"
"415"	"中晚"	"--"	"Solanaceae(茄科)"	"--"	"S.andigena"	"低"	"--"	"--"	"CIP (1984)"	"13.1"	"感束顶"	"--"	"黄"	"国外"	"扁圆"	"--"	"黄"	"Solanum tuberosum L.(马铃薯)"	"MSG00584"	"--"	"S.andigena"	"--"	"Solanum(茄属)"	"--"	"--"	"--"	"浅"	"黑院克 中院蔬"	"白"	"整齐"
"416"	"中"	"--"	"Solanaceae(茄科)"	"--"	"Sangre"	"中"	"--"	"--"	"CIP (1985)"	"14.1"	"轻束顶"	"--"	"白"	"国外"	"椭圆"	"Viking×A6356.9"	"深红"	"Solanum tuberosum L.(马铃薯)"	"MSG00585"	"--"	"Sangre"	"--"	"Solanum(茄属)"	"美国"	"--"	"--"	"中"	"黑院克 中院蔬"	"紫"	"整齐"
"417"	"晚"	"--"	"Solanaceae(茄科)"	"--"	"Saturna"	"高"	"--"	"--"	"CIP (1985)"	"21.0"	"感束顶,皱缩花色"	"--"	"黄"	"国外"	"椭圆"	"--"	"黄"	"Solanum tuberosum L.(马铃薯)"	"MSG00586"	"--"	"Saturna"	"--"	"Solanum(茄属)"	"荷 兰"	"--"	"--"	"浅"	"黑院克 中院蔬"	"蓝"	"整齐"
"418"	"中"	"--"	"Solanaceae(茄科)"	"--"	"Serrana Inta"	"高"	"--"	"--"	"CIP (1984)"	"14.9"	"抗LR.Y病毒,对X免疫"	"--"	"黄"	"国外"	"椭圆"	"--"	"黄"	"Solanum tuberosum L.(马铃薯)"	"MSG00587"	"--"	"Serrana Inta"	"--"	"Solanum(茄属)"	"阿根廷"	"--"	"--"	"浅"	"黑院克 中院蔬"	"白"	"不整齐"
"419"	"晚"	"--"	"Solanaceae(茄科)"	"--"	"Seseni"	"低"	"--"	"--"	"CIP (1985)"	"13.3"	"感LR.X.Y病毒"	"--"	"淡黄"	"国外"	"长椭圆"	"--"	"淡黄"	"Solanum tuberosum L.(马铃薯)"	"MSG00588"	"--"	"Seseni"	"--"	"Solanum(茄属)"	"ZAP"	"--"	"--"	"浅"	"黑院克 中院蔬"	"白"	"不整齐"
"420"	"晚"	"--"	"Solanaceae(茄科)"	"--"	"Sierea Volcan"	"低"	"--"	"--"	"CIP (1985)"	"8.6"	"感束顶.LR.X.Y病毒"	"--"	"白"	"国外"	"圆"	"--"	"白"	"Solanum tuberosum L.(马铃薯)"	"MSG00589"	"--"	"Sierea Volcan"	"--"	"Solanum(茄属)"	"阿根廷"	"--"	"--"	"中"	"黑院克 中院蔬"	"白"	"不整齐"
"421"	"晚"	"--"	"Solanaceae(茄科)"	"--"	"Tolloan"	"低"	"--"	"--"	"CIP (1984)"	"16.4"	"感LR.X.Y病毒"	"--"	"黄"	"国外"	"扁圆"	"--"	"黄"	"Solanum tuberosum L.(马铃薯)"	"MSG00590"	"--"	"Tolloan"	"--"	"Solanum(茄属)"	"墨西哥"	"--"	"--"	"浅"	"黑院克 中院蔬"	"白"	"整齐"
