"id"	"异亮氨酸"	"单位编号"	"样品类型"	"棱翅"	"花色"	"蛋氨酸"	"维生素PP"	"主茎节数"	"酪氨酸"	"硒"	"苯丙氨酸"	"籽粒形状"	"脂肪"	"译名"	"磷"	"色氨酸"	"千粒重"	"苏氨酸"	"属名"	"种子来源地"	"丝氨酸"	"赖氨酸"	"甘氨酸"	"谷壳率"	"天冬氨酸"	"生育日数"	"茎色"	"谷氨酸"	"省"	"类型"	"精氨酸"	"库编号"	"品种名称"	"倒伏性"	"主茎分枝数"	"株型"	"丙氨酸"	"学名"	"叶色"	"维生素E"	"腹沟"	"铁"	"脯氨酸"	"籽粒颜色"	"株高"	"组氨酸"	"保存单位"	"缬氨酸"	"锌"	"统一编号"	"铜"	"蛋白质"	"落粒性"	"胱氨酸"	"亮氨酸"	"钙"	"总和"	"单株粒重"	"锰"	"科名"
"324"	"--"	"--"	"地方"	"--"	"--"	"--"	"--"	"--"	"--"	"--"	"--"	"--"	"--"	"--"	"--"	"--"	"--"	"--"	"Fagopyrum(荞麦属)"	"--"	"--"	"--"	"--"	"--"	"--"	"--"	"--"	"--"	"--"	"甜荞"	"--"	"--"	"--"	"--"	"--"	"--"	"--"	"Fagopyrum esculentum Moench(甜荞)"	"--"	"--"	"--"	"--"	"--"	"--"	"--"	"--"	"--"	"--"	"--"	"00002048"	"--"	"--"	"--"	"--"	"--"	"--"	"--"	"--"	"--"	"Polygonum(蓼科)"
"325"	"--"	"1-3"	"地方"	"无"	"粉红"	"--"	"6.44"	"10.4"	"--"	"--"	"--"	"三棱"	"1.30"	"QIAO MAI"	"--"	"--"	"37.1"	"--"	"Fagopyrum(荞麦属)"	"府谷"	"--"	"0.42"	"--"	"--"	"--"	"84"	"红"	"--"	"陕西"	"甜荞"	"--"	"I1M01588"	"荞麦"	"不抗"	"3.2"	"紧凑"	"--"	"Fagopyrum esculentum Moench(甜荞)"	"绿"	"1.27"	"无"	"--"	"--"	"棕"	"82.2"	"--"	"陕西榆林地区农科所"	"--"	"--"	"00002049"	"--"	"6.51"	"--"	"--"	"--"	"--"	"--"	"5.99"	"--"	"Polygonum(蓼科)"
"326"	"--"	"1-4"	"地方"	"无"	"粉红"	"--"	"5.60"	"10.4"	"--"	"--"	"--"	"三棱"	"1.32"	"QIAO MAI"	"--"	"--"	"36.0"	"--"	"Fagopyrum(荞麦属)"	"府谷"	"--"	"0.42"	"--"	"--"	"--"	"81"	"红"	"--"	"陕西"	"甜荞"	"--"	"I1M01589"	"荞麦"	"不抗"	"3.2"	"紧凑"	"--"	"Fagopyrum esculentum Moench(甜荞)"	"绿"	"1.55"	"无"	"--"	"--"	"棕"	"92.4"	"--"	"陕西榆林地区农科所"	"--"	"--"	"00002050"	"--"	"6.78"	"--"	"--"	"--"	"--"	"--"	"4.72"	"--"	"Polygonum(蓼科)"
"327"	"--"	"3-4"	"地方"	"无"	"粉红"	"--"	"1.51"	"12.8"	"--"	"--"	"--"	"三棱"	"1.15"	"QIAO MAI"	"--"	"--"	"38.1"	"--"	"Fagopyrum(荞麦属)"	"榆林"	"--"	"0.39"	"--"	"--"	"--"	"82"	"红"	"--"	"陕西"	"甜荞"	"--"	"I1M01590"	"荞麦"	"不抗"	"5.2"	"紧凑"	"--"	"Fagopyrum esculentum Moench(甜荞)"	"绿"	"1.64"	"无"	"--"	"--"	"棕"	"98.6"	"--"	"陕西榆林地区农科所"	"--"	"--"	"00002051"	"--"	"6.66"	"--"	"--"	"--"	"--"	"--"	"6.47"	"--"	"Polygonum(蓼科)"
"328"	"--"	"070"	"地方"	"无"	"白"	"--"	"0.52"	"10.0"	"--"	"--"	"--"	"三棱"	"2.50"	"QIAO MAI"	"--"	"--"	"23.3"	"--"	"Fagopyrum(荞麦属)"	"五河县"	"--"	"0.44"	"--"	"--"	"--"	"77"	"紫红"	"--"	"安徽"	"甜荞"	"--"	"I1M01991"	"荞麦"	"不抗"	"6.0"	"松散"	"--"	"Fagopyrum esculentum Moench(甜荞)"	"绿"	"1.43"	"无"	"--"	"--"	"棕"	"115.0"	"--"	"安徽省农科院作物所"	"--"	"--"	"00002147"	"--"	"8.14"	"--"	"--"	"--"	"--"	"--"	"3.40"	"--"	"Polygonum(蓼科)"
"329"	"--"	"071"	"地方"	"无"	"白"	"--"	"2.78"	"9.0"	"--"	"--"	"--"	"三棱"	"2.42"	"QIAO MAI"	"--"	"--"	"34.4"	"--"	"Fagopyrum(荞麦属)"	"五河县"	"--"	"0.54"	"--"	"--"	"--"	"75"	"紫红"	"--"	"安徽"	"甜荞"	"--"	"I1M02206"	"荞麦"	"不抗"	"6.0"	"松散"	"--"	"Fagopyrum esculentum Moench(甜荞)"	"浅绿"	"0.34"	"无"	"--"	"--"	"棕"	"114.0"	"--"	"安徽省农科院作物所"	"--"	"--"	"00002148"	"--"	"8.51"	"--"	"--"	"--"	"--"	"--"	"3.20"	"--"	"Polygonum(蓼科)"
"330"	"--"	"072"	"地方"	"无"	"白"	"--"	"2.10"	"12.0"	"--"	"--"	"--"	"三棱"	"2.48"	"HUA QIAO MAI"	"--"	"--"	"27.7"	"--"	"Fagopyrum(荞麦属)"	"当涂县"	"--"	"0.42"	"--"	"--"	"--"	"77"	"紫红"	"--"	"安徽"	"甜荞"	"--"	"I1M02207"	"花荞麦"	"抗"	"5.0"	"松散"	"--"	"Fagopyrum esculentum Moench(甜荞)"	"浅绿"	"1.07"	"无"	"--"	"--"	"黑"	"99.0"	"--"	"安徽省农科院作物所"	"--"	"--"	"00002149"	"--"	"8.75"	"--"	"--"	"--"	"--"	"--"	"4.30"	"--"	"Polygonum(蓼科)"
"331"	"--"	"073"	"地方"	"无"	"粉红"	"--"	"2.90"	"7.0"	"--"	"--"	"--"	"三棱"	"2.15"	"QIAO MAI"	"--"	"--"	"44.7"	"--"	"Fagopyrum(荞麦属)"	"宿松县"	"--"	"0.41"	"--"	"--"	"--"	"77"	"紫红"	"--"	"安徽"	"甜荞"	"--"	"I1M02208"	"荞麦"	"抗"	"6.0"	"松散"	"--"	"Fagopyrum esculentum Moench(甜荞)"	"浅绿"	"2.75"	"无"	"--"	"--"	"棕"	"75.0"	"--"	"安徽省农科院作物所"	"--"	"--"	"00002150"	"--"	"9.56"	"--"	"--"	"--"	"--"	"--"	"3.40"	"--"	"Polygonum(蓼科)"
"332"	"--"	"074"	"地方"	"无"	"白"	"--"	"1.57"	"11.0"	"--"	"--"	"--"	"三棱"	"2.08"	"QIAO MAI"	"--"	"--"	"21.3"	"--"	"Fagopyrum(荞麦属)"	"宿松县"	"--"	"0.42"	"--"	"--"	"--"	"77"	"紫红"	"--"	"安徽"	"甜荞"	"--"	"I1M02209"	"荞麦"	"不抗"	"4.0"	"松散"	"--"	"Fagopyrum esculentum Moench(甜荞)"	"浅绿"	"1.52"	"无"	"--"	"--"	"棕"	"126.0"	"--"	"安徽省农科院作物所"	"--"	"--"	"00002151"	"--"	"10.27"	"--"	"--"	"--"	"--"	"--"	"13.80"	"--"	"Polygonum(蓼科)"
"333"	"--"	"075"	"地方"	"无"	"白"	"--"	"1.10"	"9.0"	"--"	"--"	"--"	"三棱"	"1.58"	"QIAO MAI"	"--"	"--"	"28.0"	"--"	"Fagopyrum(荞麦属)"	"宿松县"	"--"	"0.46"	"--"	"--"	"--"	"75"	"紫红"	"--"	"安徽"	"甜荞"	"--"	"I1M02210"	"荞麦"	"不抗"	"5.0"	"松散"	"--"	"Fagopyrum esculentum Moench(甜荞)"	"绿"	"0.54"	"无"	"--"	"--"	"棕"	"102.0"	"--"	"安徽省农科院作物所"	"--"	"--"	"00002152"	"--"	"8.92"	"--"	"--"	"--"	"--"	"--"	"3.00"	"--"	"Polygonum(蓼科)"
"334"	"--"	"076"	"地方"	"无"	"白"	"--"	"3.79"	"6.0"	"--"	"--"	"--"	"三棱"	"1.38"	"QIAO MAI"	"--"	"--"	"27.2"	"--"	"Fagopyrum(荞麦属)"	"安庆市"	"--"	"0.41"	"--"	"--"	"--"	"75"	"紫红"	"--"	"安徽"	"甜荞"	"--"	"I1M02211"	"荞麦"	"抗"	"4.0"	"松散"	"--"	"Fagopyrum esculentum Moench(甜荞)"	"浅绿"	"0.38"	"无"	"--"	"--"	"棕"	"92.0"	"--"	"安徽省农科院作物所"	"--"	"--"	"00002153"	"--"	"7.81"	"--"	"--"	"--"	"--"	"--"	"4.00"	"--"	"Polygonum(蓼科)"
"335"	"--"	"077"	"地方"	"无"	"白"	"--"	"3.48"	"7.0"	"--"	"--"	"--"	"三棱"	"1.75"	"HUA QIAO"	"--"	"--"	"23.1"	"--"	"Fagopyrum(荞麦属)"	"宣城县"	"--"	"0.48"	"--"	"--"	"--"	"77"	"绿"	"--"	"安徽"	"甜荞"	"--"	"I1M02212"	"花荞"	"抗"	"4.0"	"松散"	"--"	"Fagopyrum esculentum Moench(甜荞)"	"浅绿"	"1.49"	"无"	"--"	"--"	"褐"	"95.6"	"--"	"安徽省农科院作物所"	"--"	"--"	"00002154"	"--"	"10.15"	"--"	"--"	"--"	"--"	"--"	"3.50"	"--"	"Polygonum(蓼科)"
"336"	"--"	"078"	"地方"	"无"	"白"	"--"	"6.93"	"9.0"	"--"	"--"	"--"	"三棱"	"2.27"	"HUA QIAO"	"--"	"--"	"24.2"	"--"	"Fagopyrum(荞麦属)"	"宣城县"	"--"	"0.43"	"--"	"--"	"--"	"77"	"红"	"--"	"安徽"	"甜荞"	"--"	"I1M02213"	"花荞"	"不抗"	"6.0"	"松散"	"--"	"Fagopyrum esculentum Moench(甜荞)"	"浅绿"	"1.10"	"无"	"--"	"--"	"褐"	"102.3"	"--"	"安徽省农科院作物所"	"--"	"--"	"00002155"	"--"	"10.52"	"--"	"--"	"--"	"--"	"--"	"3.70"	"--"	"Polygonum(蓼科)"
"337"	"--"	"079"	"地方"	"无"	"白"	"--"	"2.90"	"8.0"	"--"	"--"	"--"	"三棱"	"1.87"	"HUA QIAO"	"--"	"--"	"23.5"	"--"	"Fagopyrum(荞麦属)"	"宣城县"	"--"	"0.44"	"--"	"--"	"--"	"77"	"红"	"--"	"安徽"	"甜荞"	"--"	"I1M02214"	"花荞"	"抗"	"5.0"	"松散"	"--"	"Fagopyrum esculentum Moench(甜荞)"	"绿"	"0.86"	"无"	"--"	"--"	"褐"	"97.5"	"--"	"安徽省农科院作物所"	"--"	"--"	"00002156"	"--"	"8.99"	"--"	"--"	"--"	"--"	"--"	"3.40"	"--"	"Polygonum(蓼科)"
"338"	"--"	"Ip0054"	"地方"	"无"	"白"	"--"	"2.07"	"10.8"	"--"	"--"	"--"	"三棱"	"2.31"	"NAN QIAO"	"--"	"--"	"23.7"	"--"	"Fagopyrum(荞麦属)"	"竹溪"	"--"	"0.47"	"--"	"--"	"--"	"81"	"绿"	"--"	"湖北"	"甜荞"	"--"	"I1M02279"	"南荞"	"抗"	"2.8"	"松散"	"--"	"Fagopyrum esculentum Moench(甜荞)"	"绿"	"1.20"	"无"	"--"	"--"	"黑"	"72.7"	"--"	"湖北省农科院现代化所"	"--"	"--"	"00002204"	"--"	"9.01"	"--"	"--"	"--"	"--"	"--"	"1.93"	"--"	"Polygonum(蓼科)"
"339"	"--"	"Ip0055-1"	"地方"	"无"	"白"	"--"	"0.58"	"9.7"	"--"	"--"	"--"	"三棱"	"1.91"	"NAN QIAO"	"--"	"--"	"23.8"	"--"	"Fagopyrum(荞麦属)"	"竹溪"	"--"	"0.49"	"--"	"--"	"--"	"82"	"绿"	"--"	"湖北"	"甜荞"	"--"	"I1M02053"	"南荞"	"抗"	"3.8"	"松散"	"--"	"Fagopyrum esculentum Moench(甜荞)"	"绿"	"1.33"	"无"	"--"	"--"	"褐"	"62.5"	"--"	"湖北省农科院现代化所"	"--"	"--"	"00002205"	"--"	"7.51"	"--"	"--"	"--"	"--"	"--"	"2.68"	"--"	"Polygonum(蓼科)"
"340"	"--"	"Ip0055-2"	"地方"	"无"	"粉红"	"--"	"1.38"	"11.1"	"--"	"--"	"--"	"三棱"	"2.41"	"NAN QIAO"	"--"	"--"	"22.6"	"--"	"Fagopyrum(荞麦属)"	"竹溪"	"--"	"0.44"	"--"	"--"	"--"	"82"	"绿"	"--"	"湖北"	"甜荞"	"--"	"I1M02054"	"南荞"	"抗"	"3.8"	"松散"	"--"	"Fagopyrum esculentum Moench(甜荞)"	"绿"	"1.43"	"无"	"--"	"--"	"褐"	"74.6"	"--"	"湖北省农科院现代化所"	"--"	"--"	"00002206"	"--"	"7.30"	"--"	"--"	"--"	"--"	"--"	"4.40"	"--"	"Polygonum(蓼科)"
"341"	"--"	"Ip0056"	"地方"	"无"	"粉红"	"--"	"0.70"	"10.8"	"--"	"--"	"--"	"三棱"	"1.99"	"NAN QIAO"	"--"	"--"	"21.8"	"--"	"Fagopyrum(荞麦属)"	"竹溪"	"--"	"0.40"	"--"	"--"	"--"	"82"	"绿"	"--"	"湖北"	"甜荞"	"--"	"I1M02055"	"南荞"	"抗"	"4.0"	"松散"	"--"	"Fagopyrum esculentum Moench(甜荞)"	"绿"	"1.31"	"无"	"--"	"--"	"棕"	"73.2"	"--"	"湖北省农科院现代化所"	"--"	"--"	"00002207"	"--"	"7.05"	"--"	"--"	"--"	"--"	"--"	"3.72"	"--"	"Polygonum(蓼科)"
"342"	"--"	"Ip0057"	"地方"	"无"	"白"	"--"	"1.16"	"10.3"	"--"	"--"	"--"	"三棱"	"2.25"	"HUA QIAO"	"--"	"--"	"23.7"	"--"	"Fagopyrum(荞麦属)"	"竹溪"	"--"	"0.44"	"--"	"--"	"--"	"82"	"绿"	"--"	"湖北"	"甜荞"	"--"	"I1M02056"	"花荞"	"抗"	"3.1"	"紧凑"	"--"	"Fagopyrum esculentum Moench(甜荞)"	"绿"	"1.69"	"无"	"--"	"--"	"褐"	"72.7"	"--"	"湖北省农科院现代化所"	"--"	"--"	"00002208"	"--"	"6.41"	"--"	"--"	"--"	"--"	"--"	"3.15"	"--"	"Polygonum(蓼科)"
"343"	"--"	"Ip0058"	"地方"	"无"	"白"	"--"	"1.11"	"11.3"	"--"	"--"	"--"	"三棱"	"2.53"	"HUA QIAO"	"--"	"--"	"26.5"	"--"	"Fagopyrum(荞麦属)"	"竹溪"	"--"	"0.50"	"--"	"--"	"--"	"82"	"绿"	"--"	"湖北"	"甜荞"	"--"	"I1M02057"	"花荞"	"抗"	"4.5"	"松散"	"--"	"Fagopyrum esculentum Moench(甜荞)"	"绿"	"1.80"	"无"	"--"	"--"	"褐"	"86.3"	"--"	"湖北省农科院现代化所"	"--"	"--"	"00002209"	"--"	"8.07"	"--"	"--"	"--"	"--"	"--"	"3.24"	"--"	"Polygonum(蓼科)"
"344"	"--"	"Ip0059-1"	"地方"	"无"	"粉红"	"--"	"1.59"	"10.6"	"--"	"--"	"--"	"三棱"	"1.69"	"HUA QIAO"	"--"	"--"	"25.6"	"--"	"Fagopyrum(荞麦属)"	"竹溪"	"--"	"0.45"	"--"	"--"	"--"	"82"	"红"	"--"	"湖北"	"甜荞"	"--"	"I1M02058"	"花荞"	"抗"	"3.4"	"紧凑"	"--"	"Fagopyrum esculentum Moench(甜荞)"	"绿"	"1.00"	"无"	"--"	"--"	"褐"	"77.9"	"--"	"湖北省农科院现代化所"	"--"	"--"	"00002210"	"--"	"7.05"	"--"	"--"	"--"	"--"	"--"	"2.86"	"--"	"Polygonum(蓼科)"
"345"	"--"	"Ip0059-2"	"地方"	"有"	"白"	"--"	"--"	"11.0"	"--"	"--"	"--"	"三棱"	"--"	"HUA QIAO"	"--"	"--"	"21.3"	"--"	"Fagopyrum(荞麦属)"	"竹溪"	"--"	"--"	"--"	"--"	"--"	"82"	"绿"	"--"	"湖北"	"甜荞"	"--"	"--"	"花荞"	"抗"	"3.9"	"松散"	"--"	"Fagopyrum esculentum Moench(甜荞)"	"绿"	"--"	"无"	"--"	"--"	"棕"	"74.3"	"--"	"湖北省农科院现代化所"	"--"	"--"	"00002211"	"--"	"--"	"--"	"--"	"--"	"--"	"--"	"2.00"	"--"	"Polygonum(蓼科)"
"346"	"--"	"Ip0060-1"	"地方"	"有"	"白"	"--"	"--"	"11.6"	"--"	"--"	"--"	"三棱"	"--"	"HUA QIAO"	"--"	"--"	"25.2"	"--"	"Fagopyrum(荞麦属)"	"竹溪"	"--"	"--"	"--"	"--"	"--"	"82"	"绿"	"--"	"湖北"	"甜荞"	"--"	"--"	"花荞"	"抗"	"4.3"	"松散"	"--"	"Fagopyrum esculentum Moench(甜荞)"	"绿"	"--"	"无"	"--"	"--"	"褐"	"73.4"	"--"	"湖北省农科院现代化所"	"--"	"--"	"00002212"	"--"	"--"	"--"	"--"	"--"	"--"	"--"	"4.02"	"--"	"Polygonum(蓼科)"
"347"	"--"	"Ip0060-2"	"地方"	"无"	"白"	"--"	"0.74"	"12.8"	"--"	"--"	"--"	"三棱"	"1.92"	"HUA QIAO"	"--"	"--"	"22.0"	"--"	"Fagopyrum(荞麦属)"	"竹溪"	"--"	"0.47"	"--"	"--"	"--"	"80"	"红"	"--"	"湖北"	"甜荞"	"--"	"I1M02059"	"花荞"	"抗"	"5.2"	"松散"	"--"	"Fagopyrum esculentum Moench(甜荞)"	"绿"	"1.51"	"无"	"--"	"--"	"褐"	"78.7"	"--"	"湖北省农科院现代化所"	"--"	"--"	"00002213"	"--"	"7.32"	"--"	"--"	"--"	"--"	"--"	"3.84"	"--"	"Polygonum(蓼科)"
"348"	"--"	"F09"	"地方"	"无"	"红"	"--"	"2.43"	"12.1"	"--"	"--"	"--"	"三棱"	"2.78"	"DA LI TIAN QIAO"	"--"	"--"	"37.0"	"--"	"Fagopyrum(荞麦属)"	"桂阳县"	"--"	"0.55"	"--"	"--"	"--"	"85"	"红"	"--"	"湖南"	"甜荞"	"--"	"I1M02321"	"大粒甜荞"	"不抗"	"4.1"	"紧凑"	"--"	"Fagopyrum esculentum Moench(甜荞)"	"绿"	"0.73"	"无"	"--"	"--"	"褐"	"98.9"	"--"	"湖南风皇县种子公司"	"--"	"--"	"00002268"	"--"	"14.42"	"--"	"--"	"--"	"--"	"--"	"12.18"	"--"	"Polygonum(蓼科)"
"349"	"--"	"F10"	"地方"	"无"	"粉红"	"--"	"1.27"	"12.4"	"--"	"--"	"--"	"三棱"	"1.82"	"KU SHOU TIAN QIAO"	"--"	"--"	"29.0"	"--"	"Fagopyrum(荞麦属)"	"吉首市"	"--"	"0.46"	"--"	"--"	"--"	"85"	"红"	"--"	"湖南"	"甜荞"	"--"	"I1M02322"	"苦首甜荞"	"不抗"	"4.2"	"紧凑"	"--"	"Fagopyrum esculentum Moench(甜荞)"	"浅绿"	"0.79"	"无"	"--"	"--"	"棕"	"96.8"	"--"	"湖南风皇县种子公司"	"--"	"--"	"00002269"	"--"	"7.99"	"--"	"--"	"--"	"--"	"--"	"10.05"	"--"	"Polygonum(蓼科)"
"350"	"--"	"F12"	"地方"	"无"	"红"	"--"	"0.84"	"11.6"	"--"	"--"	"--"	"三棱"	"1.70"	"WU GANG QIAO ZI"	"--"	"--"	"32.5"	"--"	"Fagopyrum(荞麦属)"	"武冈县"	"--"	"0.49"	"--"	"--"	"--"	"84"	"--"	"--"	"湖南"	"甜荞"	"--"	"I1M01758"	"武冈荞子"	"不抗"	"3.2"	"紧凑"	"--"	"Fagopyrum esculentum Moench(甜荞)"	"浅绿"	"0.65"	"无"	"--"	"--"	"灰"	"86.4"	"--"	"湖南风皇县种子公司"	"--"	"--"	"00002270"	"--"	"7.20"	"--"	"--"	"--"	"--"	"--"	"12.26"	"--"	"Polygonum(蓼科)"
"351"	"--"	"001"	"地方"	"无"	"粉红"	"--"	"1.30"	"8.8"	"--"	"--"	"--"	"三棱"	"2.47"	"E QI"	"--"	"--"	"25.3"	"--"	"Fagopyrum(荞麦属)"	"越西县"	"--"	"0.41"	"--"	"--"	"--"	"72"	"紫红"	"--"	"四川"	"甜荞"	"--"	"I1M01997"	"额启"	"不抗"	"2.6"	"紧凑"	"--"	"Fagopyrum esculentum Moench(甜荞)"	"浅绿"	"1.05"	"无"	"--"	"--"	"棕"	"102.8"	"--"	"四川凉山州昭觉农科所"	"--"	"--"	"00002271"	"--"	"6.29"	"--"	"--"	"--"	"--"	"--"	"0.76"	"--"	"Polygonum(蓼科)"
"352"	"--"	"002"	"地方"	"无"	"淡红"	"--"	"1.30"	"9.6"	"--"	"--"	"--"	"三棱"	"2.39"	"TIAN QIAO"	"--"	"--"	"23.3"	"--"	"Fagopyrum(荞麦属)"	"喜德县"	"--"	"0.43"	"--"	"--"	"--"	"72"	"紫红"	"--"	"四川"	"甜荞"	"--"	"I1M01998"	"甜荞"	"不抗"	"2.6"	"紧凑"	"--"	"Fagopyrum esculentum Moench(甜荞)"	"浅绿"	"0.57"	"无"	"--"	"--"	"棕"	"102.9"	"--"	"四川凉山州昭觉农科所"	"--"	"--"	"00002272"	"--"	"7.50"	"--"	"--"	"--"	"--"	"--"	"0.30"	"--"	"Polygonum(蓼科)"
"353"	"--"	"003"	"地方"	"无"	"白"	"--"	"1.40"	"10.1"	"--"	"--"	"--"	"三棱"	"1.99"	"E QI"	"--"	"--"	"22.5"	"--"	"Fagopyrum(荞麦属)"	"昭觉县"	"--"	"0.34"	"--"	"--"	"--"	"72"	"紫红"	"--"	"四川"	"甜荞"	"--"	"I1M01999"	"额七"	"不抗"	"2.7"	"紧凑"	"--"	"Fagopyrum esculentum Moench(甜荞)"	"绿"	"1.21"	"无"	"--"	"--"	"棕"	"116.2"	"--"	"四川凉山州昭觉农科所"	"--"	"--"	"00002273"	"--"	"6.05"	"--"	"--"	"--"	"--"	"--"	"1.26"	"--"	"Polygonum(蓼科)"
"354"	"--"	"004"	"地方"	"无"	"淡红"	"--"	"1.80"	"9.3"	"--"	"--"	"--"	"三棱"	"1.55"	"E QI"	"--"	"--"	"21.1"	"--"	"Fagopyrum(荞麦属)"	"金阳县"	"--"	"0.39"	"--"	"--"	"--"	"72"	"紫红"	"--"	"四川"	"甜荞"	"--"	"I1M02000"	"额启"	"不抗"	"2.6"	"紧凑"	"--"	"Fagopyrum esculentum Moench(甜荞)"	"浅绿"	"1.09"	"无"	"--"	"--"	"棕"	"112.2"	"--"	"四川凉山州昭觉农科所"	"--"	"--"	"00002274"	"--"	"6.22"	"--"	"--"	"--"	"--"	"--"	"0.40"	"--"	"Polygonum(蓼科)"
"355"	"--"	"026"	"地方"	"无"	"粉红"	"--"	"--"	"14.6"	"--"	"--"	"--"	"三棱"	"--"	"FENG JIE TIAN QIAO"	"--"	"--"	"23.8"	"--"	"Fagopyrum(荞麦属)"	"奉节"	"--"	"--"	"--"	"24.10"	"--"	"72"	"绿"	"--"	"四川"	"甜荞"	"--"	"--"	"奉节甜荞"	"不抗"	"3.2"	"紧凑"	"--"	"Fagopyrum esculentum Moench(甜荞)"	"绿"	"--"	"无"	"--"	"--"	"灰"	"59.4"	"--"	"四川西昌农业专科学校"	"--"	"--"	"00002275"	"--"	"--"	"--"	"--"	"--"	"--"	"--"	"2.06"	"--"	"Polygonum(蓼科)"
"356"	"--"	"027"	"地方"	"无"	"粉红"	"--"	"--"	"13.8"	"--"	"--"	"--"	"三棱"	"--"	"NAN PING TIAN QIAO"	"--"	"--"	"26.5"	"--"	"Fagopyrum(荞麦属)"	"南坪"	"--"	"--"	"--"	"21.54"	"--"	"70"	"绿"	"--"	"四川"	"甜荞"	"--"	"--"	"南坪甜荞"	"不抗"	"2.4"	"紧凑"	"--"	"Fagopyrum esculentum Moench(甜荞)"	"绿"	"--"	"无"	"--"	"--"	"棕"	"57.6"	"--"	"四川西昌农业专科学校"	"--"	"--"	"00002276"	"--"	"--"	"--"	"--"	"--"	"--"	"--"	"0.72"	"--"	"Polygonum(蓼科)"
"357"	"--"	"028"	"地方"	"无"	"红"	"--"	"--"	"13.7"	"--"	"--"	"--"	"三棱"	"--"	"A XIAO TIAN QIAO"	"--"	"--"	"27.3"	"--"	"Fagopyrum(荞麦属)"	"小金"	"--"	"--"	"--"	"21.98"	"--"	"81"	"红"	"--"	"四川"	"甜荞"	"--"	"--"	"阿小甜荞"	"不抗"	"5.7"	"紧凑"	"--"	"Fagopyrum esculentum Moench(甜荞)"	"绿"	"--"	"无"	"--"	"--"	"灰"	"51.4"	"--"	"四川西昌农业专科学校"	"--"	"--"	"00002277"	"--"	"--"	"--"	"--"	"--"	"--"	"--"	"1.61"	"--"	"Polygonum(蓼科)"
"358"	"--"	"18"	"地方"	"无"	"白"	"--"	"3.54"	"5.7"	"--"	"--"	"--"	"三棱"	"1.58"	"QIAO MAI"	"--"	"--"	"23.1"	"--"	"Fagopyrum(荞麦属)"	"灵川"	"--"	"0.48"	"--"	"24.30"	"--"	"81"	"紫"	"--"	"广西"	"甜荞"	"--"	"I1M02237"	"荞麦"	"抗"	"3.2"	"紧凑"	"--"	"Fagopyrum esculentum Moench(甜荞)"	"浅绿"	"1.01"	"无"	"--"	"--"	"褐"	"64.8"	"--"	"广西农科院品资所"	"--"	"--"	"00002325"	"--"	"11.21"	"--"	"--"	"--"	"--"	"--"	"0.90"	"--"	"Polygonum(蓼科)"
"359"	"--"	"19"	"地方"	"无"	"粉红"	"--"	"0.93"	"6.3"	"--"	"--"	"--"	"三棱"	"2.47"	"QIU QIAO MAI"	"--"	"--"	"23.0"	"--"	"Fagopyrum(荞麦属)"	"全州"	"--"	"0.70"	"--"	"21.70"	"--"	"77"	"紫"	"--"	"广西"	"甜荞"	"--"	"I1M01973"	"秋荞麦"	"抗"	"3.2"	"紧凑"	"--"	"Fagopyrum esculentum Moench(甜荞)"	"浅绿"	"1.03"	"无"	"--"	"--"	"褐"	"63.8"	"--"	"广西农科院品资所"	"--"	"--"	"00002326"	"--"	"11.83"	"--"	"--"	"--"	"--"	"--"	"1.20"	"--"	"Polygonum(蓼科)"
"360"	"--"	"21"	"地方"	"无"	"白"	"--"	"2.23"	"7.5"	"--"	"--"	"--"	"三棱"	"2.75"	"QIU QIAO MAI"	"--"	"--"	"27.0"	"--"	"Fagopyrum(荞麦属)"	"融安"	"--"	"0.49"	"--"	"22.20"	"--"	"88"	"紫"	"--"	"广西"	"甜荞"	"--"	"I1M02238"	"秋荞麦"	"不抗"	"2.1"	"紧凑"	"--"	"Fagopyrum esculentum Moench(甜荞)"	"浅绿"	"0.79"	"无"	"--"	"--"	"褐"	"68.5"	"--"	"广西农科院品资所"	"--"	"--"	"00002327"	"--"	"11.16"	"--"	"--"	"--"	"--"	"--"	"0.60"	"--"	"Polygonum(蓼科)"
"361"	"--"	"22"	"地方"	"无"	"白"	"--"	"4.83"	"7.2"	"--"	"--"	"--"	"三棱"	"2.24"	"HONG GAN QIAO MAI"	"--"	"--"	"32.8"	"--"	"Fagopyrum(荞麦属)"	"来宾"	"--"	"0.57"	"--"	"23.70"	"--"	"88"	"紫"	"--"	"广西"	"甜荞"	"--"	"I1M02239"	"红杆荞麦"	"不抗"	"2.5"	"紧凑"	"--"	"Fagopyrum esculentum Moench(甜荞)"	"浅绿"	"1.96"	"无"	"--"	"--"	"褐"	"68.6"	"--"	"广西农科院品资所"	"--"	"--"	"00002328"	"--"	"9.15"	"--"	"--"	"--"	"--"	"--"	"1.80"	"--"	"Polygonum(蓼科)"
