"id"	"成熟期"	"主花序长度"	"科名"	"花序色"	"来源地"	"品种名称"	"原产地"	"叶色"	"千粒重"	"类别"	"株形"	"样品类型"	"省"	"粒色"	"保存编号"	"保存单位"	"库编号"	"播种期"	"学名"	"统一编号"	"译名"	"其它"	"属名"	"茎色"	"株高"
"61"	"11.05"	"20.0"	"Chenopodiaceae(藜科)"	"黄绿"	"--"	"扫把苗"	"南宁"	"绿"	"1.00"	"栽培"	"卵圆"	"地方"	"广西"	"黑"	"GD33"	"广西农科院品资所"	"--"	"4.05"	"Kochia scoparia (L.) Schrad.(地肤)"	"ZD000247"	"SAO BA MIAO"	"--"	"Kochia(地肤属)"	"黄褐"	"129.6"
"62"	"11.05"	"16.0"	"Chenopodiaceae(藜科)"	"黄绿"	"--"	"扫把苗"	"南宁"	"绿"	"0.70"	"栽培"	"卵圆"	"地方"	"广西"	"黑"	"GD34"	"广西农科院品资所"	"--"	"4.05"	"Kochia scoparia (L.) Schrad.(地肤)"	"ZD000248"	"SAO BA MIAO"	"--"	"Kochia(地肤属)"	"黄褐"	"147.0"
"63"	"11.05"	"21.4"	"Chenopodiaceae(藜科)"	"黄绿"	"--"	"扫把苗"	"南宁"	"绿"	"0.80"	"栽培"	"卵圆"	"地方"	"广西"	"黑"	"GD35"	"广西农科院品资所"	"--"	"4.05"	"Kochia scoparia (L.) Schrad.(地肤)"	"ZD000249"	"SAO BA MIAO"	"--"	"Kochia(地肤属)"	"黄褐"	"167.6"
"64"	"11.05"	"13.0"	"Chenopodiaceae(藜科)"	"黄绿"	"--"	"扫把苗"	"南宁"	"绿"	"1.00"	"栽培"	"卵圆"	"地方"	"广西"	"黑"	"GD36"	"广西农科院品资所"	"--"	"4.05"	"Kochia scoparia (L.) Schrad.(地肤)"	"ZD000250"	"SAO BA MIAO"	"--"	"Kochia(地肤属)"	"黄褐"	"140.8"
"65"	"11.05"	"21.0"	"Chenopodiaceae(藜科)"	"黄绿"	"--"	"扫把苗"	"南宁"	"绿"	"1.00"	"栽培"	"长卵圆"	"地方"	"广西"	"黑"	"GD37"	"广西农科院品资所"	"--"	"4.05"	"Kochia scoparia (L.) Schrad.(地肤)"	"ZD000251"	"SAO BA MIAO"	"--"	"Kochia(地肤属)"	"黄褐"	"147.2"
"66"	"11.05"	"16.6"	"Chenopodiaceae(藜科)"	"黄绿"	"--"	"扫把苗"	"南宁"	"绿"	"1.00"	"栽培"	"卵圆"	"地方"	"广西"	"黑"	"GD38"	"广西农科院品资所"	"--"	"4.05"	"Kochia scoparia (L.) Schrad.(地肤)"	"ZD000252"	"SAO BA MIAO"	"--"	"Kochia(地肤属)"	"黄褐"	"117.2"
"67"	"11.25"	"17.8"	"Chenopodiaceae(藜科)"	"黄绿"	"--"	"扫把苗"	"南宁"	"绿"	"0.96"	"栽培"	"卵圆"	"地方"	"广西"	"黑"	"GD39"	"广西农科院品资所"	"--"	"4.15"	"Kochia scoparia (L.) Schrad.(地肤)"	"ZD000253"	"SAO BA MIAO"	"--"	"Kochia(地肤属)"	"黄褐"	"212.5"
"68"	"11.05"	"13.8"	"Chenopodiaceae(藜科)"	"黄绿"	"--"	"扫把苗"	"南宁"	"绿"	"0.90"	"栽培"	"卵圆"	"地方"	"广西"	"黑"	"GD40"	"广西农科院品资所"	"--"	"4.05"	"Kochia scoparia (L.) Schrad.(地肤)"	"ZD000254"	"SAO BA MIAO"	"--"	"Kochia(地肤属)"	"黄褐"	"98.0"
"69"	"11.05"	"18.2"	"Chenopodiaceae(藜科)"	"黄绿"	"--"	"扫把苗"	"南宁"	"绿"	"0.82"	"栽培"	"长卵圆"	"地方"	"广西"	"黑"	"GD41"	"广西农科院品资所"	"--"	"4.05"	"Kochia scoparia (L.) Schrad.(地肤)"	"ZD000255"	"SAO BA MIAO"	"--"	"Kochia(地肤属)"	"黄褐"	"130.6"
"70"	"11.05"	"16.0"	"Chenopodiaceae(藜科)"	"黄绿"	"--"	"扫把苗"	"南宁"	"绿"	"0.96"	"栽培"	"卵圆"	"地方"	"广西"	"黑"	"GD42"	"广西农科院品资所"	"--"	"4.05"	"Kochia scoparia (L.) Schrad.(地肤)"	"ZD000256"	"SAO BA MIAO"	"--"	"Kochia(地肤属)"	"黄褐"	"139.4"
