"id"	"叶蜡粉"	"保存编号"	"品种名称"	"生育期"	"叶鞘颜色"	"叶色"	"香气"	"叶态"	"栽培季节"	"叶形"	"亩产"	"译名"	"备注"	"抗病虫性"	"辣味"	"叶宽"	"单株重"	"统一编号"	"保存单位"	"抗逆性"	"用途"	"种质库编号"	"种子来源"	"株高"	"分蘖性"	"花色"
"30"	"--"	"68"	"大白根韭菜"	"--"	"--"	"绿"	"--"	"--"	"4上移苗5上收获"	"宽条"	"2625"	"DA BAI GEN JIU CAI"	"--"	"--"	"--"	"--"	"5.2"	"V08A0058"	"吉林省蔬菜所"	"中"	"--"	"Ⅱ8A0149"	"吉林引自内蒙"	"30.2"	"中"	"--"
"31"	"--"	"119"	"二丕子"	"--"	"--"	"绿"	"--"	"平展"	"5上-6中"	"宽条"	"1875"	"ER PI ZI"	"--"	"--"	"--"	"--"	"5.0"	"V08A0059"	"吉林省蔬菜所"	"--"	"--"	"Ⅱ8A0151"	"吉林永吉县"	"27.4"	"中"	"--"
"32"	"--"	"122"	"镇贲韭菜"	"--"	"--"	"绿"	"--"	"中"	"5上-6中"	"窄条"	"2125"	"ZHEN BEN JIU CAI"	"--"	"--"	"--"	"--"	"2.5"	"V08A0060"	"吉林省蔬菜所"	"--"	"--"	"Ⅱ8A0049"	"吉林镇贲县"	"28.0"	"中"	"--"
"33"	"--"	"80-5-9"	"小韭菜"	"180"	"浅绿"	"绿"	"--"	"直立"	"春秋4上播次年3下始收"	"窄条"	"3250"	"XIAO JIU CAI"	"*抽薹迟"	"抗病"	"强"	"--"	"4.4"	"V08A0073"	"江苏农科院蔬菜所"	"耐寒中"	"鲜熟食"	"Ⅱ8A0135"	"江苏新沂县"	"32.5"	"弱"	"--"
"34"	"--"	"80-5-8"	"大韭菜"	"180"	"浅绿"	"绿"	"--"	"平展"	"春秋4上播次年3下始收"	"宽条"	"3500"	"DA JIU CAI"	"*引自陕西汉中抽薹迟"	"抗病"	"弱"	"--"	"5.2"	"V08A0074"	"江苏农科院蔬菜所"	"耐寒中"	"鲜熟食"	"Ⅱ8A0041"	"江苏新沂县"	"35.0"	"中"	"--"
"35"	"--"	"78-5-1"	"马鞭韭"	"170"	"浅绿"	"绿"	"--"	"平展"	"春夏4上-次年3中始收"	"宽条"	"2500"	"MA BIAN JIU"	"*抽薹迟"	"抗病"	"强"	"--"	"3.4"	"V08A0075"	"江苏农科院蔬菜所"	"耐寒中"	"鲜熟食"	"Ⅱ8A0040"	"江苏徐州市"	"29.0"	"弱"	"--"
"36"	"无"	"87-5-19"	"朱庄分韭"	"25"	"浅绿"	"绿"	"浓"	"平展"	"秋冬"	"窄条"	"--"	"ZHU ZHUANG FEN JIU"	"--"	"强"	"强"	"--"	"5.0"	"V08A0076"	"江苏农科院蔬菜所"	"强"	"鲜熟食"	"Ⅱ8A0098"	"江苏徐州市"	"35.0"	"强"	"浅绿"
"37"	"--"	"79-7-4"	"本地韭菜"	"180"	"浅绿"	"绿"	"--"	"平展"	"3中播次年3下始收"	"宽条"	"4250"	"BEN DI JIU CAI"	"*抽薹迟"	"--"	"强"	"--"	"--"	"V08A0077"	"江苏农科院蔬菜所"	"耐寒"	"鲜熟食"	"Ⅱ8A0097"	"江苏扬州市"	"40.0"	"强"	"--"
"38"	"--"	"8CA2"	"铁丝苗"	"--"	"紫红"	"浅绿"	"较淡"	"--"	"春播"	"剑形"	"4375"	"TIE SI MIAO"	"*叶片扭曲"	"--"	"弱"	"--"	"3.2"	"V08A0088"	"辽宁农科院园艺所"	"--"	"鲜熟食"	"Ⅱ8A0148"	"辽宁凌源县"	"37.0"	"很强"	"--"
"39"	"--"	"8CB1"	"薤韭"	"--"	"--"	"绿"	"--"	"直立"	"--"	"扁条"	"3750"	"XIE JIU"	"*休眠目长次年春返青晚"	"--"	"中"	"--"	"2.9"	"V08A0089"	"辽宁农科院园艺所"	"--"	"鲜熟食"	"Ⅱ8A0145"	"辽宁营口市"	"30.0"	"较强"	"白色"
"40"	"--"	"8CA6"	"宽叶韭"	"--"	"紫红"	"绿"	"浓"	"直立"	"春播"	"宽条"	"2875"	"KUAN YE JIU"	"*"	"--"	"弱"	"--"	"1.9"	"V08A0090"	"辽宁农科院园艺所"	"较抗病"	"鲜熟食"	"Ⅱ8A0143"	"辽宁营口县"	"30.0"	"较强"	"--"
"41"	"少"	"内8A021"	"巴林左旗马蔺韭"	"25"	"浅绿"	"深绿"	"浓"	"平展"	"4上-9中"	"宽条"	"1375"	"BA LIN ZUO QI MA LIN JIU"	"地方品种"	"较强"	"中"	"--"	"16.0"	"V08A0091"	"内蒙农科院蔬菜所"	"较强"	"鲜熟食"	"Ⅱ8A0107"	"内蒙巴林左旗"	"27.0"	"弱"	"白色"
