"id"	"品资所编号"	"品种名称"	"系谱"	"原名"	"来源"	"原产地"	"选育单位"	"株高"	"千粒重"	"选育年限"	"备注"
"149"	"3"	"原冬762"	"安京1号/农大141"				"中国农科院原子能所"	"90"	"38.0"	"1976"	
"150"	"3"	"原冬767"	"12040/凡46//科冬58/3/农大155"				"中国农科院原子能所"	"90"	"38.0"	"1976"	
"151"	"3"	"原冬7612"	"(农大141/达西亚)辐射处理"				"中国农科院原子能所"	"100"	"40.0"	"1976"	
"152"	"3"	"原冬7627"	"(1227/辐四//科冬58)辐射处理"				"中国农科院原子能所"	"90"	"38.0"	"1976"	
"153"	"3"	"原冬772"	"(11141/12040)辐射处理"				"中国农科院原子能所"	"90"	"40.0"	"1977"	
"154"	"3"	"原冬7847"	"(12040/阿芙乐尔)辐射处理"				"中国农科院原子能所"	"80"	"42.0"	"1978"	
"155"	"3"	"原冬7617"	"早洋麦/东方红3号"				"中国农科院原子能所"	"90"	"40.0"	"1976"	
"156"	"3"	"原冬7635"	"068/小樱粟"				"中国农科院原子能所"	"70"	"35.0"	"1976"	
"157"	"3"	"原春7112"	"墨巴66/原农60"				"中国农科院原子能所"	"80"	"27.0"	"1972"	
"158"	"3"	"原7512"	"原农61/美乐兰"				"中国农科院原子能所"	"85"	"33.0"	"1975"	
"159"	"3"	"原7514"	"美乐兰/原农1号"				"中国农科院原子能所"	"80"	"37.0"	"1975"	
"160"	"3"	"原农50"	"南大2419/印度798//原农1号"				"中国农科院原子能所"	"100"	"0.0"	"1975"	
"161"	"3"	"原农51"	"(原农39/欧柔)辐射处理"				"中国农科院原子能所"	"100"	"35.0"	"197"	
"162"	"3"	"原农52"	"(原农39/欧柔)辐射处理"				"中国农科院原子能所"	"100"	"38.0"	"197"	
"163"	"3"	"原农53"	"(原农39/欧柔)辐射处理"				"中国农科院原子能所"	"110"	"38.0"	"197"	
"164"	"3"	"原农54"	"(原农24/欧柔)辐射处理"				"中国农科院原子能所"	"90"	"40.0"	"197"	
"165"	"3"	"原农56"	"南大2419/印度798//原农1号"				"中国农科院原子能所"	"110"	"33.0"	"197"	
"166"	"3"	"原农57"	"(原农39/欧柔)辐射处理"				"中国农科院原子能所"	"95"	"35.0"	"197"	
"167"	"3"	"原农58"	"(原农39/欧柔)辐射处理"				"中国农科院原子能所"	"100"	"36.0"	"1971"	
"168"	"3"	"原农59"	"(原农39/欧柔)辐射处理"				"中国农科院原子能所"	"103"	"34.0"	"1971"	
"169"	"3"	"原农60"	"(原农39/欧柔)辐射处理"				"中国农科院原子能所"	"100"	"40.0"	"1971"	
"170"	"3"	"原农61"	"(原农39/欧柔)辐射处理"				"中国农科院原子能所"	"100"	"0.0"	"1971"	
"171"	"3"	"6508.0"	"从引入的6507中系选"				"中国农科院原子能所"	"75"	"0.0"	"1971"	
"172"	"3"	"70-7"	"北京8号/(内乡36+石特14)"				"北京市农科院"				
"173"	"3"	"70-8"	"北京8号/(内乡36+石特14)"				"北京市农科院"				
"174"	"3"	"70-15"	"北京8号/(内乡36+石特14)"				"北京市农科院"				
"175"	"3"	"70-16"	"北京8号/(内乡36+石特14)"				"北京市农科院"	"104"	"0.0"		
"176"	"3"	"京741"	"京红1号/纳里诺59"				"北京市农科院"	"80"	"38.0"	"1977"	
"177"	"3"	"京742"	"京红1号/纳里诺59"				"北京市农科院"	"80"	"44.0"	"1977"	
"178"	"3"	"京746"	"京红1号/纳里诺59"				"北京市农科院"	"90"	"0.0"	"1977"	
"179"	"3"	"农大16"	"胜利麦/1817"				"北京农业大学"	"105"	"32.0"	"1957"	
