"id"	"熟性"	"炭疽病指"	"保存编号"	"品种名称"	"着果方向"	"食熟果皮色"	"维生素C"	"CMV病指"	"CMV发病率"	"果肉厚"	"统一编号"	"TMV发病率"	"风味"	"老熟种果色"	"外皮薄厚"	"亩产"	"单果重"	"译名"	"备注"	"省"	"首花节位"	"TMV病指"	"果实水分"	"生育期"	"保存单位"	"果形"	"干物质"	"用途"	"辣椒素"	"种子来源"	"株高"	"抗逆性"	"炭疽发病率"	"种质库编号"	"栽培季节"
"60"	"--"	"0.4500"	"6-c-b-22-76"	"燕楼辣椒"	"向下"	"绿"	"158.90"	"1.6400"	"86.49"	"0.1"	"V06C0147"	"100.00"	"中辣"	"红"	"--"	"1500"	"8.0"	"YAN LOU LA JIAO"	"--"	"贵州"	"16"	"1.3900"	"--"	"89"	"贵州农科院园艺所"	"圆锥形"	"16.8400"	"熟食制干"	"0.059"	"贵州贵阳市"	"71.5"	"强"	"11.7"	"Ⅱ6C0300"	"3下-5下"
"61"	"中"	"0.7400"	"6-C-22-115"	"大辣椒"	"向下"	"绿"	"120.09"	"1.5300"	"87.80"	"--"	"V06C0153"	"100.00"	"中辣"	"红"	"--"	"--"	"--"	"DA LA JIAO"	"*"	"贵州"	"--"	"1.8600"	"中"	"--"	"贵州农科院园艺所"	"圆锥形"	"11.1400"	"生食"	"0.058"	"贵州贵阳市"	"--"	"耐寒"	"100.0"	"Ⅱ6C0884"	"--"
"62"	"早"	"0.7400"	"6-C-22-114"	"牛角椒"	"向下"	"绿"	"79.87"	"1.1600"	"100.00"	"0.1"	"V06C0154"	"100.00"	"中辣"	"红"	"薄"	"--"	"12.5"	"NIU JIAO JIAO"	"*"	"贵州"	"12"	"1.3900"	"多"	"--"	"贵州农科院园艺所"	"圆锥形"	"13.4900"	"生食腌制"	"0.114"	"贵州贵阳市"	"74.0"	"强"	"98.3"	"Ⅱ6C0883"	"--"
"63"	"--"	"-0.2500"	"6-C-22-56"	"剑河牛角椒"	"向下"	"绿"	"139.00"	"1.3200"	"100.00"	"0.1"	"V06C0155"	"100.00"	"中辣"	"红"	"--"	"--"	"4.3"	"JIAN HE NIU JIAO JIAO"	"--"	"贵州"	"13"	"0.9900"	"--"	"83"	"贵州农科院园艺所"	"长柱形"	"11.2600"	"生食熟食"	"0.092"	"贵州剑河县"	"68.0"	"强"	"100.0"	"Ⅱ6C0650"	"3下-5下"
"64"	"--"	"2.4428"	"6-C-22-82"	"短牛角椒"	"向下"	"绿"	"156.14"	"0.8212"	"31.10"	"0.2"	"V06C0156"	"26.70"	"辣甜"	"红"	"--"	"--"	"21.4"	"DUAN NIU JIAO JIAO"	"--"	"贵州"	"16"	"1.7504"	"--"	"99"	"贵州农科院园艺所"	"圆锥形"	"11.9000"	"生食熟食"	"0.090"	"贵州江口县"	"82.5"	"中"	"8.7"	"Ⅱ6C0658"	"3下-5下"
"65"	"中"	"-0.1100"	"6-C-b-22-35"	"金沙辣椒"	"向下"	"绿"	"73.14"	"0.9400"	"72.40"	"0.2"	"V06C0157"	"100.00"	"甜辣"	"红"	"--"	"1250"	"19.8"	"JIN SHA LA JIAO"	"--"	"贵州"	"11"	"1.1800"	"--"	"--"	"贵州农科院园艺所"	"圆锥形"	"12.6100"	"生食"	"0.065"	"贵州金沙县"	"59.5"	"中"	"58.3"	"Ⅱ6C0290"	"3上-5中"
"66"	"--"	"0.6400"	"6-C-22-59"	"雷山辣椒"	"向下"	"绿"	"196.30"	"1.0700"	"100.00"	"0.1"	"V06C0161"	"76.00"	"中辣"	"红"	"--"	"--"	"6.4"	"LEI SHAN LA JIAO"	"--"	"贵州"	"14"	"1.3100"	"--"	"91"	"贵州农科院园艺所"	"长柱形"	"12.5800"	"熟食"	"0.114"	"贵州雷山县"	"74.0"	"强"	"96.6"	"Ⅱ6C0955"	"3下-5下"
"67"	"中"	"0.2300"	"6-C-22-21"	"牛角椒"	"向下"	"绿"	"109.70"	"1.0700"	"100.00"	"0.1"	"V06C0167"	"100.00"	"甜辣"	"红"	"--"	"1000"	"13.2"	"NIU JIAO JIAO"	"--"	"贵州"	"12"	"0.2100"	"--"	"--"	"贵州农科院园艺所"	"长柱形"	"13.7100"	"生食"	"0.098"	"贵州清镇县"	"55.5"	"强"	"100.0"	"Ⅱ6C0619"	"3上-5中"
"68"	"--"	"0.1700"	"6-C-22-71"	"仁怀菜椒"	"向下"	"绿"	"88.60"	"1.0700"	"100.00"	"0.2"	"V06C0168"	"64.00"	"辣甜"	"桔黄"	"--"	"--"	"15.5"	"REN HUAI CAI JIAO"	"--"	"贵州"	"11"	"1.1000"	"--"	"91"	"贵州农科院园艺所"	"圆锥形"	"12.9600"	"生食熟食"	"0.077"	"贵州仁怀县"	"66.5"	"中"	"100.0"	"Ⅱ6C0654"	"3下-5下"
"69"	"--"	"0.5900"	"6-C-22-18"	"印江长线椒"	"向下"	"绿"	"104.50"	"1.4600"	"100.00"	"0.2"	"V06C0184"	"100.00"	"甜辣"	"红"	"--"	"--"	"19.8"	"YIN JIANG CHANG XIAN JIAO"	"--"	"贵州"	"12"	"0.6800"	"--"	"77"	"贵州农科院园艺所"	"圆锥形"	"12.9300"	"生食熟食"	"0.117"	"贵州印江县"	"49.5"	"中"	"95.1"	"Ⅱ6C0636"	"3下-5下"
