"id"	"抗逆性"	"老瓜斑纹"	"品种名称"	"抗病虫性"	"保存编号"	"备注"	"商瓜次色"	"种子来源"	"瓜形"	"瓜棱形状"	"译名"	"商瓜皮色"	"单瓜重"	"叶形"	"生育期"	"老瓜皮色"	"亩产"	"保存单位"	"肉质"	"老瓜次色"	"种质库编号"	"统一编号"	"栽培季节"	"熟性"	"分枝性"	"瓜面腊粉"	"省"	"商瓜斑纹"	"生长习性"	"雌首花节位"	"风味"
"11"	"不耐寒"	"--"	"团秧番瓜"	"中"	"甘Ⅱ5B001"	"*1930年引自广东"	"绿色"	"甘肃兰州市"	"圆柱形"	"棱"	"TUAN YANG FAN GUA"	"绿"	"1.0"	"掌状"	"55"	"黄色"	"2250"	"甘肃农科院蔬菜所"	"细致密"	"--"	"Ⅱ5Ba016"	"V05B0011"	"3中下-5中始收"	"早"	"强"	"--"	"甘肃"	"线条状"	"矮生"	"7"	"淡而无味"
"12"	"--"	"--"	"阿尔及利亚番瓜"	"中"	"甘Ⅱ5B002"	"*"	"绿色"	"甘肃兰州市"	"圆柱形"	"棱"	"A ER JI LI YA FAN GUA"	"绿"	"1.0"	"掌状"	"55"	"黄色"	"5000"	"甘肃农科院蔬菜所"	"细汁多"	"--"	"Ⅱ5Ba015"	"V05B0012"	"3中下-5中始收"	"早"	"强"	"--"	"甘肃"	"线条状"	"矮生"	"6"	"淡而无味"
"13"	"耐旱贮"	"--"	"长蔓番瓜"	"中"	"甘Ⅱ5B004"	"*"	"绿色"	"甘肃武威市"	"圆柱形"	"棱"	"CHANG MAN FAN GUA"	"绿"	"4.8"	"掌状"	"70"	"桔黄色"	"5000"	"甘肃农科院蔬菜所"	"细致密"	"--"	"Ⅱ5Ba188"	"V05B0013"	"4上-6中下始收"	"中"	"强"	"--"	"甘肃"	"线条状"	"葡匐蔓生"	"13"	"淡而无味"
"14"	"中"	"--"	"破皮瓜"	"中"	"5-B-a-22-39"	"--"	"--"	"贵州毕节县"	"圆柱形"	"平"	"PO PI GUA"	"绿"	"0.5"	"掌状"	"86"	"奶油色"	"--"	"贵州农科院园艺所"	"中"	"--"	"Ⅱ5Ba178"	"V05B0014"	"3-8"	"晚"	"弱"	"无"	"贵州"	"--"	"半蔓生"	"13"	"中"
"15"	"中"	"--"	"毕节无藤瓜"	"不抗白粉"	"5-B-a-22-31"	"*"	"--"	"贵州毕节县"	"梨形"	"平"	"BI JIE WU TENG GUA"	"绿"	"0.5"	"掌状"	"70"	"奶油色"	"1500"	"贵州农科院园艺所"	"--"	"--"	"Ⅱ5Ba124"	"V05B0015"	"3中-6下"	"早"	"弱"	"少"	"贵州"	"--"	"矮生"	"6"	"微甜"
"16"	"中"	"--"	"白皮短藤瓜"	"中"	"5-B-a-22-15"	"--"	"--"	"贵州毕节县"	"圆柱形"	"平"	"BAI PI DUAN TENG GUA"	"白"	"0.6"	"掌状"	"78"	"奶油色"	"--"	"贵州农科院园艺所"	"中"	"--"	"Ⅱ5Ba128"	"V05B0016"	"3-8"	"中"	"弱"	"无"	"贵州"	"--"	"矮生"	"4"	"中"
"17"	"强"	"--"	"独山白瓜"	"抗"	"5-B-a-22-19"	"*"	"--"	"贵州独山县"	"圆形"	"--"	"DU SHAN BAI GUA"	"绿"	"0.5"	"掌状"	"90"	"奶油色"	"1000"	"贵州农科院园艺所"	"--"	"--"	"Ⅱ5Ba121"	"V05B0017"	"3-57"	"早"	"中"	"少"	"贵州"	"--"	"矮生"	"0"	"微甜"
"18"	"中"	"--"	"福泉短藤白瓜"	"中"	"5-B-a-22-37"	"--"	"--"	"贵州福泉县"	"圆柱形"	"平"	"FU QUAN DUAN TENG BAI GUA"	"白"	"0.6"	"掌状"	"77"	"奶油色"	"--"	"贵州农科院园艺所"	"中"	"--"	"Ⅱ5Ba131"	"V05B0018"	"3-8"	"中"	"弱"	"无"	"贵州"	"--"	"矮生"	"5"	"中"
"19"	"中"	"--"	"贵宝白瓜"	"中"	"5-B-a-22-21"	"--"	"--"	"贵州贵定县"	"圆柱形"	"平"	"GUI BAO BAI GUA"	"绿"	"3.5"	"掌状"	"100"	"奶油色"	"625"	"贵州农科院园艺所"	"疏松熟食"	"--"	"Ⅱ5Ba122"	"V05B0019"	"2中下-6月"	"早"	"弱"	"多"	"贵州"	"--"	"矮生"	"6"	"--"
"20"	"中"	"--"	"短藤瓜"	"中"	"5-B-a-22-25"	"--"	"--"	"贵州赫章县"	"圆柱形"	"平"	"DUAN TENG GUA"	"绿"	"0.6"	"掌状"	"86"	"黄色"	"--"	"贵州农科院园艺所"	"中"	"--"	"Ⅱ5Ba130"	"V05B0020"	"3-8"	"晚"	"弱"	"无"	"贵州"	"--"	"半蔓生"	"4"	"中"
"21"	"中"	"--"	"青皮西葫芦"	"不抗白粉"	"美10号"	"--"	"--"	"河北承德县"	"圆柱形"	"平"	"QING PI XI HU LU"	"绿"	"2.0"	"掌状"	"102"	"--"	"1300"	"河北农科院蔬菜所"	"--"	"--"	"Ⅱ5Ba139"	"V05B0033"	"3下-7上"	"晚"	"中"	"无"	"河北"	"线条状"	"半蔓生"	"9"	"--"
"22"	"中"	"--"	"定州白皮"	"重感"	"美12号"	"--"	"--"	"河北定州市"	"圆形"	"平"	"DING ZHOU BAI PI"	"奶油色"	"1.5"	"掌状"	"97"	"--"	"1375"	"河北农科院蔬菜所"	"--"	"--"	"Ⅱ5Ba141"	"V05B0034"	"3下-6下"	"中"	"中"	"无"	"河北"	"--"	"半蔓生"	"7"	"--"
"23"	"中"	"--"	"张庄西葫芦"	"不抗白粉"	"美42号"	"--"	"--"	"河北高邑县"	"圆柱形"	"棱"	"ZHANG ZHUANG XI HU LU"	"白"	"1.1"	"心形"	"90"	"--"	"1375"	"河北农科院蔬菜所"	"--"	"--"	"Ⅱ5Ba189"	"V05B0035"	"3下-6下"	"中"	"弱"	"无"	"河北"	"--"	"半蔓生"	"12"	"--"
"24"	"中"	"--"	"角瓜"	"中"	"美14号"	"--"	"--"	"河北沽原县"	"圆柱形"	"平"	"JIAO GUA"	"绿"	"0.8"	"掌状"	"102"	"--"	"1500"	"河北农科院蔬菜所"	"--"	"--"	"Ⅱ5Ba143"	"V05B0036"	"3下-7上"	"晚"	"弱"	"无"	"河北"	"线条状"	"蔓生"	"9"	"--"
"25"	"中"	"--"	"刘园西葫芦"	"不抗白粉"	"美40号"	"--"	"--"	"河北固安县"	"圆柱形"	"棱"	"LIU YUAN XI HU LU"	"绿"	"1.9"	"心形"	"90"	"--"	"1713"	"河北农科院蔬菜所"	"--"	"--"	"Ⅱ5Ba196"	"V05B0037"	"3下-6下"	"中"	"弱"	"无"	"河北"	"--"	"半蔓生"	"8"	"--"
"26"	"--"	"--"	"长春一窝蜂"	"中"	"6Ba0009"	"*引进品种"	"--"	"河南三门峡市"	"圆柱形"	"--"	"CHANG CHUN YI WO FENG"	"奶油色"	"1.3"	"掌状"	"60"	"--"	"4000"	"河南农科院园艺所"	"--"	"--"	"Ⅱ5Ba118"	"V05B0079"	"4下-5中,6下"	"中"	"弱"	"--"	"河南"	"--"	"半蔓生"	"8"	"--"
"27"	"--"	"--"	"武陟搅瓜"	"中"	"6Bc0042"	"--"	"--"	"河南武陟县"	"椭圆形"	"棱"	"WU ZHI JIAO GUA"	"--"	"3.2"	"掌状"	"90"	"--"	"3250"	"河南农科院园艺所"	"--"	"--"	"Ⅱ5Ba011"	"V05B0080"	"4下-7下"	"中"	"中"	"--"	"河南"	"--"	"葡匐蔓生"	"14"	"--"
"28"	"耐热"	"--"	"西华西葫芦"	"中"	"6Ba0017"	"*"	"--"	"河南西华县"	"圆柱形"	"--"	"XI HUA XI HU LU"	"奶油色"	"1.6"	"掌状"	"65"	"--"	"3000"	"河南农科院园艺所"	"--"	"--"	"Ⅱ5Ba114"	"V05B0081"	"4下-5下,6下"	"晚"	"弱"	"--"	"河南"	"--"	"半蔓生"	"10"	"--"
